
Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1
"simple","01010-P","Автоаларма 2185","1","0","visible","Автоаларма 2185. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","<big>01010</big><h4>Автоаларма 2185</h4><br><br><strong>Автоаларма с Централно Заключване Paolo (модел 2185) </strong>предлага два режима на работа, които може да избирате според Вашите предпочитания. Автоматично централно заключване с локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал. Напомняне за незатворена врата/ за забравено осветление в купето-при активиране на алармата. Автоматично реактивиране на режим охрана след 25 секунди<br>
<br>
<strong>Режими на работа:</strong><br>
<br>
<strong>Първи режим</strong> - работят всички датчици и входове на алармата.<br>
<strong>Втори режим</strong> - алармата сработва и алармира само при отваряне на капак или врата(ударния шок датчик не работи).<br>
<br>
Предлага се с 2 броя дистанционни, реле за централно заключване (0.7/3,5 секунди), вход бутони при отрицателни и положително задействане.
<ul>
	<li><strong>Модел: 2185</strong></li>
	<li>Дистанционни: 2 броя</li>
	<li>Охрана със звук</li>
	<li>Охрана с изключен звук (тиха охрана)</li>
	<li>Локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал</li>
	<li>Автоматично централно заключване</li>
	<li>Светодиоден индикатор</li>
	<li>Шок сензор</li>
	<li>Напомняне за незатворена врата/ за забравено осветление в купето-при активиране на алармата.</li>
	<li>Автоматично реактивиране на режим охрана след 25 секунди.</li>
	<li>Предупреждение за отворена врата, при спиране на автомобила.</li>
	<li>Обучение на дистанционно управление в случай на загубено или повредено такова.</li>
	<li>Дистанционо освобождаване на багажника.</li>
</ul>
<span style=""font-family: BebasNeueBold, sans-serif; font-size: 20px !important;"">Комплекта включва:</span>

<ul>
	<li>Модул аларма</li>
	<li>Звукова сирена</li>
	<li>Шок датчик</li>
	<li>Окабеляване&nbsp;</li>
	<li>2 броя дистанционни управления</li>
</ul>
","","","taxable","","1","","","0","0","","","","","1","","","44","Интериор, Интериор > Автоаларми","","","0","","","","","","","","","0","Производител","Universal","1","1"
"simple","0172-P","Автоаларма 2183","1","0","visible","Автоаларма 2183. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","<big>0172</big><h4>Автоаларма 2183</h4><div align=""justify"">Автоаларма с Централно Заключване Paolo (модел 2183)&nbsp;предлага два режима на работа, които може да избирате според Вашите предпочитания. Автоматично централно заключване с локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал.</div>
<br><br><strong>Автоаларма с Централно Заключване Paolo (модел 2183) </strong>предлага два режима на работа, които може да избирате според Вашите предпочитания. Автоматично централно заключване с локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал. Напомняне за незатворена врата/ за забравено осветление в купето-при активиране на алармата. Автоматично реактивиране на режим охрана след 25 секунди<br>
<br>
<strong>Режими на работа:</strong><br>
<br>
<strong>Първи режим</strong> - работят всички датчици и входове на алармата.<br>
<strong>Втори режим</strong> - алармата сработва и алармира само при отваряне на капак или врата(ударния шок датчик не работи).<br>
<br>
Предлага се с 2 броя дистанционни, реле за централно заключване (0.7/3,5 секунди), вход бутони при отрицателни и положително задействане.
<ul>
	<li><strong>Модел: 2183</strong></li>
	<li>Дистанционни: 2 броя</li>
	<li>Охрана със звук</li>
	<li>Охрана с изключен звук (тиха охрана)</li>
	<li>Локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал</li>
	<li>Автоматично централно заключване</li>
	<li>Светодиоден индикатор</li>
	<li>Шок сензор</li>
	<li>Напомняне за незатворена врата/ за забравено осветление в купето-при активиране на алармата</li>
	<li>Автоматично реактивиране на режим охрана след 25 секунди</li>
	<li>Предупреждение за отворена врата, при спиране на автомобила</li>
	<li>Обучение на дистанционно управление в случай на загубено или повредено такова</li>
	<li>Дистанционо освобождаване на багажника</li>
</ul>
<span style=""font-family: BebasNeueBold, sans-serif; font-size: 20px !important;"">Комплекта включва:</span>

<ul>
	<li>Модул аларма</li>
	<li>Звукова сирена</li>
	<li>Шок датчик</li>
	<li>Окабеляване&nbsp;</li>
	<li>2 броя дистанционни управления</li>
</ul>
","","","taxable","","1","","","0","0","","","","","1","","","44","Интериор, Интериор > Автоаларми","","","0","","","","","","","","","0","Производител","Universal","1","1"
"simple","01007-P","Автоаларма 2319","1","0","visible","Автоаларма 2319. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","<big>01007</big><h4>Автоаларма 2319</h4>Автоаларма 2319 разполага с два режима на работа, които може да избирате според Вашите предпочитания.&nbsp;Локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал<br>
Автоматично централно заключване.<br><br>Автоаларма 2319 Разполага с два режима на работа, които може да избирате според Вашите предпочитания.<br>
<strong>Първи режим</strong> - работят всички датчици и входове на алармата.<br>
<strong>Втори режим</strong> - алармата сработва и алармира само при отваряне на капак или врата(ударния шок датчик не работи).<br>
<br>
Предлага се с 2 броя дистанционни, реле за централно заключване (0.7/3,5 секунди), вход бутони при отрицателни и положително задействане.<br>
<br>
<strong>Характеристики:</strong>

<ul>
	<li>Модел: 2319</li>
	<li>Дистанционни: 2 броя</li>
	<li>Охрана със звук</li>
	<li>Охрана с изключен звук (тиха охрана)</li>
	<li>Локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал</li>
	<li>Автоматично централно заключване</li>
	<li>Светодиоден индикатор</li>
	<li>Шок сензор</li>
	<li>Напомняне за незатворена врата/ за забравено осветление в купето-при активиране на алармата</li>
	<li>Автоматично реактивиране на режим охрана след 25 секунди</li>
	<li>Предупреждение за отворена врата, при спиране на автомобила</li>
	<li>Обучение на дистанционно управление в случай на загубено или повредено такова</li>
	<li>Дистанционо освобождаване на багажника</li>
</ul>
<span style=""font-family: BebasNeueBold, sans-serif; font-size: 20px !important;"">Комплекта включва:</span>

<ul>
	<li>Модул аларма</li>
	<li>Звукова сирена</li>
	<li>Шок датчик</li>
	<li>Окабеляване</li>
	<li>2 бр. дистанционни управления</li>
</ul>
","","","taxable","","1","","","0","0","","","","","1","","","44","Интериор, Интериор > Автоаларми","","","0","","","","","","","","","0","Производител","Universal","1","1"
"simple","01008-P","Автоаларма 2236","1","0","visible","Автоаларма 2236. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","<big>01008</big><h4>Автоаларма 2236</h4>Автоаларма&nbsp; Paolo 2236 разполага с два режима на работа, които може да избирате според Вашите предпочитания.&nbsp;Локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал. Автоматично централно заключване.<br><br><strong>Автоаларма 2236</strong>&nbsp;- разполага с два режима на работа, които може да избирате според Вашите предпочитания.&nbsp;<br>
<br>
<strong>Първи режим</strong> - работят всички датчици и входове на <strong><em><a href=""https://maxauto24.com/avtoalarmi/"">автоалармата</a></em></strong><br>
<strong>Втори режим</strong> - алармата сработва и алармира само при отваряне на капак или врата(ударния шок датчик не работи<br>
Предлага се с 2 броя дистанционни, реле за централно заключване (0.7/3,5 секунди), вход бутони при отрицателни и положително задействане<br>
<br>
<strong>Характеристики:</strong>
<ul>
	<li>Модел: 2236</li>
	<li>Дистанционни: 2 броя</li>
	<li>Охрана със звук</li>
	<li>Охрана с изключен звук (тиха охрана)</li>
	<li>Локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал</li>
	<li>Автоматично централно заключване</li>
	<li>Светодиоден индикатор</li>
	<li>Шок сензор</li>
	<li>Напомняне за незатворена врата/ за забравено осветление в купето-при активиране на алармата</li>
	<li>Автоматично реактивиране на режим охрана след 25 секунди</li>
	<li>Предупреждение за отворена врата, при спиране на автомобила</li>
	<li>Обучение на дистанционно управление в случай на загубено или повредено такова</li>
	<li>Дистанционо освобождаване на багажника</li>
</ul>
<strong>Комплекта включва:</strong>

<ul>
	<li>Модул аларма</li>
	<li>Звукова сирена</li>
	<li>Шок датчик</li>
	<li>Окабеляване</li>
	<li>2 бр. дистанционни управления</li>
</ul>
","","","taxable","","1","","","0","0","","","","","1","","","44","Интериор, Интериор > Автоаларми","","","0","","","","","","","","","0","Производител","Universal","1","1"
"simple","0172-P","Автоаларма 2188","1","0","visible","Автоаларма 2188. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","<big>0172</big><h4>Автоаларма 2188</h4>Автоаларма 2188 разполага с два режима на работа, които може да избирате според Вашите предпочитания.<br><br><em><strong>Автоаларма 2188</strong></em> Разполага с два режима на работа, които може да избирате според Вашите предпочитания. Първи режим - работят всички датчици и входове на алармата. Втори режим - алармата сработва и алармира само при отваряне на капак или врата(ударния шок датчик не работи). <em><strong>Автоаларма 2188</strong></em> се предлага с 2 броя дистанционни, реле за централно заключване (0.7/3,5 секунди), вход бутони при отрицателни и положително задействане.
<ul>
	<li><strong>Модел: 0172- 2188</strong></li>
	<li>Дистанционни: 2 броя</li>
	<li>Охрана със звук</li>
	<li>Охрана с изключен звук (тиха охрана)</li>
	<li>Локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал</li>
	<li>Автоматично централно заключване</li>
	<li>Светодиоден индикатор</li>
	<li>Шок сензор</li>
	<li>Напомняне за незатворена врата/ за забравено осветление в купето-при активиране на алармата</li>
	<li>Автоматично реактивиране на режим охрана след 25 секунди</li>
	<li>Предупреждение за отворена врата, при спиране на автомобила</li>
	<li>Обучение на дистанционно управление в случай на загубено или повредено такова</li>
	<li>Дистанционо освобождаване на багажника</li>
</ul>
<span style=""font-family: BebasNeueBold, sans-serif; font-size: 20px !important;"">Комплекта включва:</span>

<ul>
	<li>Модул аларма</li>
	<li>Звукова сирена</li>
	<li>Шок датчик</li>
	<li>Окабеляване</li>
	<li>2 бр. дистанционни управления
	<p>&nbsp;</p>
	</li>
</ul>
","","","taxable","","1","","","0","0","","","","","1","","","44","Интериор, Интериор > Автоаларми","","","0","","","","","","","","","0","Производител","Universal","1","1"
"simple","0172-P","Автоаларма 2240","1","0","visible","Автоаларма 2240. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","<big>0172</big><h4>Автоаларма 2240</h4>Автоаларма 2240 разполага с два режима на работа.<br><br><em><strong>Автоаларма 2240</strong></em> Разполага с два режима на работа, които може да избирате според Вашите предпочитания.<br>
Първи режим - работят всички датчици и входове на алармата. Втори режим - алармата сработва и алармира само при отваряне на капак или врата(ударния шок датчик не работи).<br>
<em><strong>Автоаларма 2240</strong></em>&nbsp;се предлага с 2 броя дистанционни, реле за централно заключване (0.7/3,5 секунди), вход бутони при отрицателни и положително задействане.
<ul>
	<li><strong>Модел: 0172- 2240</strong></li>
	<li>Дистанционни: 2 броя</li>
	<li>Охрана със звук</li>
	<li>Охрана с изключен звук (тиха охрана)</li>
	<li>Локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал.</li>
	<li>Автоматично централно заключване.</li>
	<li>Светодиоден индикатор.</li>
	<li>Шок сензор.</li>
	<li>Напомняне за незатворена врата/ за забравено осветление в купето-при активиране на алармата.</li>
	<li>Автоматично реактивиране на режим охрана след 25 секунди.</li>
	<li>Предупреждение за отворена врата, при спиране на автомобила.</li>
	<li>Обучение на дистанционно управление в случай на загубено или повредено такова.</li>
	<li>Дистанционо освобождаване на багажника.</li>
</ul>
<span style=""font-family: BebasNeueBold, sans-serif; font-size: 20px !important;"">Комплекта включва:</span>

<ul>
	<li>Модул аларма</li>
	<li>Звукова сирена</li>
	<li>Шок датчик</li>
	<li>Окабеляване</li>
	<li>2 бр. дистанционни управления</li>
</ul>
","","","taxable","","1","","","0","0","","","","","1","","","44","Интериор, Интериор > Автоаларми","","","0","","","","","","","","","0","Производител","Universal","1","1"
"simple","01013-P","Автоаларма 2270","1","0","visible","Автоаларма 2270. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","<big>01013</big><h4>Автоаларма 2270</h4>Автоаларма 2270 разполага с два режима на работа.<br><br><p style=""text-align: justify;""><span style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;""><strong>Автоаларма 2270&nbsp;</strong>Разполага с два режима на работа, които може да избирате според Вашите предпочитания.<br>
Първи режим - работят всички датчици и входове на алармата. Втори режим - алармата сработва и алармира само при отваряне на капак или врата(ударния шок датчик не работи).<br>
Предлага се с 2 броя дистанционни, реле за централно заключване (0.7/3,5 секунди), вход бутони при отрицателни и положително задействане.<br>
<br>
<strong>Модел: 2270</strong><br>
Дистанционни: 2 броя<br>
Охрана със звук<br>
Охрана с изключен звук (тиха охрана)<br>
Локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал<br>
Автоматично централно заключване<br>
Светодиоден индикатор<br>
Шок сензор<br>
Напомняне за незатворена врата/ за забравено осветление в купето-при активиране на алармата<br>
Автоматично реактивиране на режим охрана след 25 секунди<br>
Предупреждение за отворена врата, при спиране на автомобила<br>
Обучение на дистанционно управление в случай на загубено или повредено такова<br>
Дистанционо освобождаване на багажника<br>
<br>
Комплекта включва:<br>
<br>
Модул аларма<br>
<br>
Звукова сирена<br>
<br>
Шок датчик<br>
<br>
Окабеляване<br>
<br>
2 бр. дистанционни управления</span></p>
","","","taxable","","1","","","0","0","","","","","1","","","44","Интериор, Интериор > Автоаларми","","","0","","","","","","","","","0","Производител","Universal","1","1"
"simple","01011-P","Автоаларма  2243","1","0","visible","Автоаларма  2243. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","<big>01011</big><h4>Автоаларма  2243</h4>Автоаларма 2243 разполага с два режима на работа.<br><br><strong>Автоаларма 2243</strong> Разполага с два режима на работа, които може да избирате според Вашите предпочитания.<br>
Първи режим - работят всички датчици и входове на алармата. Втори режим - алармата сработва и алармира само при отваряне на капак или врата(ударния шок датчик не работи).<br>
Предлага се с 2 броя дистанционни, реле за централно заключване (0.7/3,5 секунди), вход бутони при отрицателни и положително задействане.
<ul>
	<li><strong>Модел: 2243</strong></li>
	<li>Дистанционни: 2 броя</li>
	<li>Охрана със звук</li>
	<li>Охрана с изключен звук (тиха охрана)</li>
	<li>Локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал</li>
	<li>Автоматично централно заключване</li>
	<li>Светодиоден индикатор</li>
	<li>Шок сензор</li>
	<li>Напомняне за незатворена врата/ за забравено осветление в купето-при активиране на алармата</li>
	<li>Автоматично реактивиране на режим охрана след 25 секунди</li>
	<li>Предупреждение за отворена врата, при спиране на автомобила</li>
	<li>Обучение на дистанционно управление в случай на загубено или повредено такова</li>
	<li>Дистанционо освобождаване на багажника</li>
</ul>
<span style=""font-family: BebasNeueBold, sans-serif; font-size: 20px !important;"">Комплекта включва:</span>

<ul>
	<li>Модул аларма</li>
	<li>Звукова сирена</li>
	<li>Шок датчик</li>
	<li>Окабеляване</li>
	<li>2 бр. дистанционни управления</li>
</ul>
","","","taxable","","1","","","0","0","","","","","1","","","44","Интериор, Интериор > Автоаларми","","","0","","","","","","","","","0","Производител","Universal","1","1"
"simple","01006-P","Автоаларма 2157","1","0","visible","Автоаларма 2157. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","<big>01006</big><h4>Автоаларма 2157</h4>Автоаларма Paolo 2157 разполага с два режима на работа.<br><br><strong>Автоаларма 2157</strong> Разполага с два режима на работа, които може да избирате според Вашите предпочитания.<br>
Първи режим - работят всички датчици и входове на алармата. Втори режим - алармата сработва и алармира само при отваряне на капак или врата(ударния шок датчик не работи).<br>
Предлага се с 2 броя дистанционни, реле за централно заключване (0.7/3,5 секунди), вход бутони при отрицателни и положително задействане.
<ul>
	<li><strong>Модел: 2157</strong></li>
	<li>Дистанционни: 2 броя</li>
	<li>Охрана със звук</li>
	<li>Охрана с изключен звук (тиха охрана)</li>
	<li>Локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал</li>
	<li>Автоматично централно заключване</li>
	<li>Светодиоден индикатор</li>
	<li>Шок сензор</li>
	<li>Напомняне за незатворена врата/ за забравено осветление в купето-при активиране на алармата</li>
	<li>Автоматично реактивиране на режим охрана след 25 секунди</li>
	<li>Предупреждение за отворена врата, при спиране на автомобила</li>
	<li>Обучение на дистанционно управление в случай на загубено или повредено такова</li>
	<li>Дистанционо освобождаване на багажника</li>
</ul>
<span style=""font-family: BebasNeueBold, sans-serif; font-size: 20px !important;"">Комплекта включва:</span>

<ul>
	<li>Модул аларма</li>
	<li>Звукова сирена</li>
	<li>Шок датчик</li>
	<li>Окабеляване</li>
	<li>2 бр. дистанционни управления</li>
</ul>
","","","taxable","","1","","","0","0","","","","","1","","","44","Интериор, Интериор > Автоаларми","","","0","","","","","","","","","0","Производител","Universal","1","1"
"simple","01012-P","Автоаларма 2249","1","0","visible","Автоаларма 2249. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","<big>01012</big><h4>Автоаларма 2249</h4>Купи автоаларма 2249 на ниска цена от онлайн магазин за автоаксесоари MaxAuto24.Com<br><br><em><strong>Автоаларма 2249</strong></em> Разполага с два режима на работа, които може да избирате според Вашите предпочитания.<br>
Първи режим - работят всички датчици и входове на алармата. Втори режим - алармата сработва и алармира само при отваряне на капак или врата(ударния шок датчик не работи).<br>
<em><strong>Автоаларма 2249</strong></em>&nbsp;се предлага с 2 броя дистанционни, реле за централно заключване (0.7/3,5 секунди), вход бутони при отрицателни и положително задействане.

<ul>
	<li><strong>Модел: 01012 - 2249</strong></li>
	<li>Дистанционни: 2 броя</li>
	<li>Охрана със звук</li>
	<li>Охрана с изключен звук (тиха охрана)</li>
	<li>Локализиране на превозното средство, посредством мигане на мигачи и звуков сигнал</li>
	<li>Автоматично централно заключване</li>
	<li>Светодиоден индикатор</li>
	<li>Шок сензор</li>
	<li>Напомняне за незатворена врата/ за забравено осветление в купето-при активиране на алармата</li>
	<li>Автоматично реактивиране на режим охрана след 25 секунди</li>
	<li>Предупреждение за отворена врата, при спиране на автомобила</li>
	<li>Обучение на дистанционно управление в случай на загубено или повредено такова</li>
	<li>Дистанционо освобождаване на багажника</li>
</ul>
<span style=""font-family: BebasNeueBold, sans-serif; font-size: 20px !important;"">Комплекта включва:</span>

<ul>
	<li>Модул аларма</li>
	<li>Звукова сирена</li>
	<li>Шок датчик</li>
	<li>Окабеляване</li>
	<li>2 бр. дистанционни управления</li>
</ul>
","","","taxable","","1","","","0","0","","","","","1","","","44","Интериор, Интериор > Автоаларми","","","0","","","","","","","","","0","Производител","Universal","1","1"
