Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","1804-P","Универсална жабка за ремарке","1","0","visible","Универсална жабка за ремарке. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Универсална жабка за ремарке
<h4>Характеристики</h4>
<ul>
	
	<li>Жабка за ремарке тип ""Лапа"".</li>
	<li>Материал: Метална.</li>
	<li>Разстояние м/у отворите за болтовете 7.5 см</li>
	<li>Подходяща за всики модели тегличи.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","31","Аксесоари, Аксесоари > Букси за ремарке","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","888","Универсална жабка за ремарке","Универсална жабка за ремарке. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","185230-P","Букса ремарке метална - 911 - 12V","1","0","visible","Букса ремарке метална - 911 - 12V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Букса ремарке метална - 911 - 12V
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 12V.</li>
	<li>Стандартен 7 пинов конектор.</li>
	<li>Захващане на кабела: Механично чрез винтове.</li>
	<li>Влагозащитна: Да.</li>
	<li>Приложение: За монтаж на автомобилно ремърке.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Аксесоари, Аксесоари > Букси за ремарке","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","888","Букса ремарке метална - 911 - 12V","Букса ремарке метална - 911 - 12V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","185229-P","Букса ремарке 7/13 - 910","1","0","visible","Букса ремарке 7/13 - 910. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Букса ремарке 7/13 - 910
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 12/24V.</li>
	<li>Използва се при автомобили с 7 пинова букса и ремърке с щепсел 13 пина.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Аксесоари, Аксесоари > Букси за ремарке","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","888","Букса ремарке 7/13 - 910","Букса ремарке 7/13 - 910. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","183210-P","Букса ремарке пластмасова - 908","1","0","visible","Букса ремарке пластмасова - 908. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Букса ремарке пластмасова - 908
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 12V.</li>
	<li>13&nbsp;пинов конектор.</li>
	<li>Захващане на кабела: Механично чрез винтове.</li>
	<li>Влагозащитна: Да.</li>
	<li>Приложение: За монтаж на автомобилно ремърке.</li>
</ul>
<p>&nbsp;</p>","","","taxable","","1","","","0","0","","","","","1","","","6","Аксесоари, Аксесоари > Букси за ремарке","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","888","Букса ремарке пластмасова - 908","Букса ремарке пластмасова - 908. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","1801-P","Букса ремарке PVC-559","1","0","visible","Букса ремарке PVC-559. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Букса ремарке PVC-559
<h4>Характеристики</h4>
<ul>
	
	<li>Захранване на кабела: Механично чрез винтове.</li>
	<li>Материал корпус: Пластмасов.</li>
	<li>Влагозащитен: Да.</li>
	<li>Версия: Прав.</li>
	<li>Система за блокиране: Ограничител на корпуса.</li>
	<li>Форма на конектора: Кръгла.</li>
	<li>Външен диаметър на мъжкият конектор: 35мм.</li>
	<li>Външен диаметър на женският конектор: 36мм.</li>
	<li>Дължина на цялата букса: 118мм.</li>
	<li>Диаметър на буксата: 69мм.</li>
	<li>Приложение: За монтаж на автомобилно ремърке.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Аксесоари, Аксесоари > Букси за ремарке","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","888","Букса ремарке PVC-559","Букса ремарке PVC-559. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181163-P","Букса ремарке пластмасова-902","1","0","visible","Букса ремарке пластмасова-902. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Букса ремарке пластмасова-902
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 12V.</li>
	<li>Мъжка, пластмасова букса за автомобилно ремaрке със 7 пина.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Букси за ремарке","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","888","Букса ремарке пластмасова-902","Букса ремарке пластмасова-902. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181164-P","Букса ремарке метална-903","1","0","visible","Букса ремарке метална-903. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Букса ремарке метална-903
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 12V.</li>
	<li>Мъжка, метална букса за автомобилно ремaрке със 7 пина.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Аксесоари, Аксесоари > Букси за ремарке","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","888","Букса ремарке метална-903","Букса ремарке метална-903. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181165-P","Букса ремарке пластмасова - 904","1","0","visible","Букса ремарке пластмасова - 904. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Букса ремарке пластмасова - 904
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 12/24V.</li>
	<li>Използва се при автомобили с 7 пинова букса и ремърке с щепсел 13 пина.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Аксесоари, Аксесоари > Букси за ремарке","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","888","Букса ремарке пластмасова - 904","Букса ремарке пластмасова - 904. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181436-P","Букса ремарке пластмасова - 906","1","0","visible","Букса ремарке пластмасова - 906. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Букса ремарке пластмасова - 906
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 12V.</li>
	<li>Стандартен 7 пинов конектор.</li>
	<li>Захващане на кабела: Механично чрез винтове.</li>
	<li>Влагозащитна: Да.</li>
	<li>Приложение: За монтаж на автомобилно ремърке.</li>
</ul>
<p>&nbsp;</p>","","","taxable","","1","","","0","0","","","","","1","","","5","Аксесоари, Аксесоари > Букси за ремарке","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","888","Букса ремарке пластмасова - 906","Букса ремарке пластмасова - 906. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","1802-P","Букса ремарке метална-560","1","0","visible","Букса ремарке метална-560. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Букса ремарке метална-560
<h4>Характеристики</h4>
<ul>
	
	<li>Захранване на кабела: Механично чрез винтове.</li>
	<li>Материал корпус: Метален.</li>
	<li>Влагозащитен: Да.</li>
	<li>Версия: Прав.</li>
	<li>Система за блокиране: Ограничител на корпуса.</li>
	<li>Форма на конектора: Кръгла.</li>
	<li>Външен диаметър на мъжкият конектор: 35мм.</li>
	<li>Външен диаметър на женският конектор: 36мм.</li>
	<li>Дължина на цялата букса: 118мм.</li>
	<li>Диаметър на буксата: 69мм.</li>
	<li>Приложение: За монтаж на автомобилно ремърке.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Букси за ремарке","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","888","Букса ремарке метална-560","Букса ремарке метална-560. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
