Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","16150-P","Декорация за чистачки - 617","1","0","visible","Декорация за чистачки - 617. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декорация за чистачки - 617
<h4>Характеристики</h4>
<ul>
	
	<li>Лесна инсталация и демонтаж.</li>
	<li>Цвят: черен</li>
	<li>Материал: пластмаса</li>
	<li>Дължина: 20 см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","3","Аксесоари, Аксесоари > Декорации","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","898","Декорация за чистачки - 617","Декорация за чистачки - 617. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","16066-P","Декорация PVC 701 - сива","1","0","visible","Декорация PVC 701 - сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декорация PVC 701 - сива
<h4>Характеристики</h4>
<ul>
	
	<li>Декорация наподобяваща въздуховод.</li>
	<li>Придава спортен вид на автомобила.</li>
	<li>Универсална, пасваща на повечето автомобили.</li>
	<li>Изработена от ABS пластмаса с алуминиева решетка.</li>
	<li>Лесно монтиране с двойнозалепващо тиксо.</li>
	<li>Размер: Д25,5 х Ш18 х В3,5 см.</li>
	<li>Цвят: Сив.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Декорации","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","898","Декорация PVC 701 - сива","Декорация PVC 701 - сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","16207-P","Декорация PVC 701 - черна","1","0","visible","Декорация PVC 701 - черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декорация PVC 701 - черна
<h4>Характеристики</h4>
<ul>
	
	<li>Декорация наподобяваща въздуховод.</li>
	<li>Придава спортен вид на автомобила.</li>
	<li>Универсална,пасваща на повечето автомобили.</li>
	<li>Изработена от ABS пластмаса с алуминиева решетка.</li>
	<li>Лесно монтиране с двойнозалепващо тиксо.</li>
	<li>Размер: Д25,5 х Ш18 х В3,5 см.</li>
	<li>Цвят: Черна</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Декорации","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","898","Декорация PVC 701 - черна","Декорация PVC 701 - черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","3666-P","Декорация заден капак 3201","1","0","visible","Декорация заден капак 3201. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декорация заден капак 3201
<h4>Характеристики</h4>
<ul>
	
	<li>Декорация заден капак</li>
	<li>Светеща</li>
	<li>Захранване: 12V</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","15","Аксесоари, Аксесоари > Декорации","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","898","Декорация заден капак 3201","Декорация заден капак 3201. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","1657-P","Декорация заден капак 589","1","0","visible","Декорация заден капак 589. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декорация заден капак 589
<h4>Характеристики</h4>
<ul>
	
	<li>Декорация заден капак</li>
	<li>Светеща</li>
	<li>Захранване: 12V</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","11","Аксесоари, Аксесоари > Декорации","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","898","Декорация заден капак 589","Декорация заден капак 589. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","1614-P","Декорация за броня ауспух","1","0","visible","Декорация за броня ауспух. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декорация за броня ауспух
<h4>Характеристики</h4>
<ul>
	
	<li>Декорация за задна броня, имитираща ауспух.</li>
	<li>Лесна инсталация и демонтаж,&nbsp;монтира се с двойнолепяща лепенка върху бронята.</li>
	<li>Цвят: Никел</li>
	<li>Материал - пластмаса.</li>
	<li>Размери: 10см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Аксесоари, Аксесоари > Декорации","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","898","Декорация за броня ауспух","Декорация за броня ауспух. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","16270-P","Декорация за броня на МПС - 050","1","0","visible","Декорация за броня на МПС - 050. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декорация за броня на МПС - 050
<h4>Характеристики</h4>
<ul>
	
	<li>Декорация за задна броня на автомобил.</li>
	<li>Универсална тунинг добавка, подходяща за всякакъв тип автомобили.</li>
	<li>Прикрепя се към автомобила посредством двойно залепваща лепенка или чрез винтове!</li>
	<li>Лесна инсталация и демонтаж.</li>
	<li>Материал - пластмаса.</li>
</ul>
<ul>
	<li>Дължина 660 мм</li>
	<li>Ширина 135 мм</li>
	<li>Височина 60 мм</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","37","Аксесоари, Аксесоари > Декорации","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","898","Декорация за броня на МПС - 050","Декорация за броня на МПС - 050. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","1652-P","Декорация за дръжка Е36","1","0","visible","Декорация за дръжка Е36. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декорация за дръжка Е36
<h4>Характеристики</h4>
<ul>
	
	<li>Подходяща за БМВ Е36</li>
	<li>Цвят: хром</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","16","Аксесоари, Аксесоари > Декорации","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","898","Декорация за дръжка Е36","Декорация за дръжка Е36. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","1633-P-1","Декорация за задна броня 146 - черна","1","0","visible","Декорация за задна броня 146 - черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декорация за задна броня 146 - черна
<h4>Характеристики</h4>
<ul>
	
	<li><strong>Размер: 45.5 х 6.5 см</strong></li>
	<li><strong>Монтаж: двойнолепящо тиксо</strong></li>
	<li><strong>Цвят: черен</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","13","Аксесоари, Аксесоари > Декорации","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","898","Декорация за задна броня 146 - черна","Декорация за задна броня 146 - черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","1633-P","Декорация за задна броня 146 - хром","1","0","visible","Декорация за задна броня 146 - хром. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декорация за задна броня 146 - хром
<h4>Характеристики</h4>
<ul>
	
	<li><strong>Размер: 45.5 х 6.5 см</strong></li>
	<li><strong>Монтаж: двойнолепящо тиксо</strong></li>
	<li><strong>Цвят: хром</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","13","Аксесоари, Аксесоари > Декорации","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","898","Декорация за задна броня 146 - хром","Декорация за задна броня 146 - хром. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
