Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","3556-P","Накрайник за въздушен филтър - 2114 АЛУМИНИЕВ","1","0","visible","Накрайник за въздушен филтър - 2114 АЛУМИНИЕВ. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Накрайник за въздушен филтър - 2114 АЛУМИНИЕВ
<h4>Характеристики</h4>
<ul>
	
	<li>Материал: Алуминий</li>
	<li>Размери: диаметър-75мм / широчина&nbsp;- 94мм /&nbsp;дължина - 110мм</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","11","Аксесоари","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","879","Накрайник за въздушен филтър - 2114 АЛУМИНИЕВ","Накрайник за въздушен филтър - 2114 АЛУМИНИЕВ. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","441014-P","Стойка за регистрационен номер - 2356 - черна","1","0","visible","Стойка за регистрационен номер - 2356 - черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Стойка за регистрационен номер - 2356 - черна
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална поставка за регистрационен номер.</li>
	<li>Изработена от висококачесвена пласмаса.</li>
	<li>Цвят: Черен</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","879","Стойка за регистрационен номер - 2356 - черна","Стойка за регистрационен номер - 2356 - черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","441015-P","Стойка за регистрационен номер - 2357 - сива","1","0","visible","Стойка за регистрационен номер - 2357 - сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Стойка за регистрационен номер - 2357 - сива
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална поставка за регистрационен номер.</li>
	<li>Изработена от висококачесвена пласмаса.</li>
	<li>Цвят: Сив</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","879","Стойка за регистрационен номер - 2357 - сива","Стойка за регистрационен номер - 2357 - сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","68008-P","Прахосмукачка Sparco SPV1305_12V","1","0","visible","Прахосмукачка Sparco SPV1305_12V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Прахосмукачка Sparco SPV1305_12V
<h4>Характеристики</h4>
<ul>
	
	<li>Изчистете най-трудните места в колата бързо и лесно</li>
	<li>Миещ се HEPA филтър</li>
	<li>Вакумна степен : 3.5 KPA</li>
	<li>Размери: 38 x 9,5 x 11,2 см.</li>
	<li>Дължина на кабела: 4.5м</li>
	<li>Напрежение: 12v</li>
	<li>Накрайници : 4&nbsp;бр.</li>
	<li>Батерия (литиево-йонна): 2200 mAH*3.</li>
	<li>Кабел за захранване от слот за запалка : 1бр</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","62","Аксесоари","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","879","Прахосмукачка Sparco SPV1305_12V","Прахосмукачка Sparco SPV1305_12V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","44019-P","Стойка за регистрационен номер - Карбон","1","0","visible","Стойка за регистрационен номер - Карбон. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Стойка за регистрационен номер - Карбон
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална поставка за регистрационен номер.</li>
	<li>Материал: Висококачествена пластмаса с карбоново покритие по края.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Аксесоари","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","879","Стойка за регистрационен номер - Карбон","Стойка за регистрационен номер - Карбон. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","441007-P","Поставка за номер Компласт USB Стандарт","1","0","visible","Поставка за номер Компласт USB Стандарт. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за номер Компласт USB Стандарт
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят: черен</li>
	<li>Метериал: PVC</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","6","Аксесоари","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","879","Поставка за номер Компласт USB Стандарт","Поставка за номер Компласт USB Стандарт. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","441006-P","Поставка за номер TIGER","1","0","visible","Поставка за номер TIGER. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за номер TIGER
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят: черен</li>
	<li>Метериал: PVC</li>
	<li>Захващане&nbsp; : Двойнолепещо / Видия</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Аксесоари","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","879","Поставка за номер TIGER","Поставка за номер TIGER. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","16270-P","Декорация за броня на МПС - 050","1","0","visible","Декорация за броня на МПС - 050. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декорация за броня на МПС - 050
<h4>Характеристики</h4>
<ul>
	
	<li>Декорация за задна броня на автомобил.</li>
	<li>Универсална тунинг добавка, подходяща за всякакъв тип автомобили.</li>
	<li>Прикрепя се към автомобила посредством двойно залепваща лепенка или чрез винтове!</li>
	<li>Лесна инсталация и демонтаж.</li>
	<li>Материал - пластмаса.</li>
</ul>
<ul>
	<li>Дължина 660 мм</li>
	<li>Ширина 135 мм</li>
	<li>Височина 60 мм</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","37","Аксесоари","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","879","Декорация за броня на МПС - 050","Декорация за броня на МПС - 050. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","16087-P","Спойлер за багажник 2555","1","0","visible","Спойлер за багажник 2555. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Спойлер за багажник 2555
<h4>Характеристики</h4>
<ul>
	
	<li>Универсално еднокрилно алуминиево антикрило</li>
	<li>Подходящо за всички марки автомобили, които са хечбек и комби</li>
	<li>Цвят на корпуса: Черен</li>
	<li>Широчина: 110см</li>
	<li>Материал: алуминий</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","77","Аксесоари","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","879","Спойлер за багажник 2555","Спойлер за багажник 2555. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","16088-P","Спойлер за багажник 2556","1","0","visible","Спойлер за багажник 2556. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Спойлер за багажник 2556
<h4>Характеристики</h4>
<ul>
	
	<li>Универсално еднокрилно алуминиево антикрило</li>
	<li>Подходящо за всички марки автомобили, които са седан, хечбек и комби,</li>
	<li>Цвят на корпуса: Черен</li>
	<li>Широчина: 110см</li>
	<li>Материал: алуминий</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","77","Аксесоари","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","879","Спойлер за багажник 2556","Спойлер за багажник 2556. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
