Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","46012-P","Гнездо за запалка - 304621","1","0","visible","Гнездо за запалка - 304621. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Гнездо за запалка - 304621
<h4>Характеристики</h4>
<ul>
	
	<li>Разклонител за запалка с щипки за акумулатор.</li>
	<li>Обща дължина 406мм.</li>
	<li>Максимално натоварване 5А.</li>
	<li>Напрежение: 12V.</li>
	<li>Подходящ за всякакви 12V - ви превозни средства, автомобили, коли, микробуси, мотоциклети, лодки, трактори, каравани и др.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","6","Аксесоари, Аксесоари > Запалки за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","889","Гнездо за запалка - 304621","Гнездо за запалка - 304621. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182044-P","Запалка за автомобил Peugeot 206 / 308 / 406 / 607","1","0","visible","Запалка за автомобил Peugeot 206 / 308 / 406 / 607. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Запалка за автомобил Peugeot 206 / 308 / 406 / 607
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение 12v</li>
	<li>Цвят на светлина жълт</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Запалки за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","889","Запалка за автомобил Peugeot 206 / 308 / 406 / 607","Запалка за автомобил Peugeot 206 / 308 / 406 / 607. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182045-P","Запалка за автомобил Ford Focus 98-04","1","0","visible","Запалка за автомобил Ford Focus 98-04. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Запалка за автомобил Ford Focus 98-04
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение 12v</li>
	<li>Цвят на светлина зелен</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Запалки за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","889","Запалка за автомобил Ford Focus 98-04","Запалка за автомобил Ford Focus 98-04. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182604-P","Универсална запалка за автомобили - 12V","1","0","visible","Универсална запалка за автомобили - 12V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Универсална запалка за автомобили - 12V
<h4>Характеристики</h4>
<ul>
	
	<li>Захранване:12V.</li>
	<li>Вграден водоустойчив керамичен протектор.</li>
	<li>Автоматично изскачане при готовност.</li>
	<li>Осветеност в цвят.</li>
	<li>Лесна за монтаж,всички части са включени в пакета.</li>
	<li>Универсален размер(трябва да се монтира в отвор с диаметър 28-29).</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Запалки за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","889","Универсална запалка за автомобили - 12V","Универсална запалка за автомобили - 12V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182049-P","Запалка за автомобил VW 6213","1","0","visible","Запалка за автомобил VW 6213. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Запалка за автомобил VW 6213
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 12V</li>
	<li>Цвят на светлина: <span style=""color: #00ff00;""><strong>Зелен</strong></span></li>
</ul>
<p>&nbsp;<strong> Подходяща за Volkswagen:</strong></p>
<ul>
	<li>New Beetle - (1999-2007)</li>
	<li>Beetle Cabriolet - (2003-2007)</li>
	<li>Bora - (1999-2005)</li>
	<li>Caddy - (1996-2007)</li>
	<li>Campmobil - (2004-2007)</li>
	<li>Eos - (2006-2007)</li>
	<li>Fox EU - (2005-2007)</li>
	<li>Fox Africa - (2004-2007)</li>
	<li>Golf 2 / Golf 3 - (1986-1998)</li>
	<li>Golf 4 - (1998-2007)</li>
	<li>Golf&nbsp; Plus - (2005-2007)</li>
	<li>Golf Cabriolet - (1999-2002)</li>
	<li>Golf Citi - (2004-2007)</li>
	<li>Jetta - (1986-2007)</li>
	<li>LT - (1983-1989)</li>
	<li>Lupo - (1999-2006)</li>
	<li>Passat - (1986-2007)</li>
	<li>Polo - (1982-2007)</li>
	<li>Sharan - (1996-2000)</li>
	<li>Touran - (2003-2007)</li>
	<li>Transporter - (1998-2007)</li>
	<li>Vento - (1992-1994)</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Аксесоари, Аксесоари > Запалки за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","889","Запалка за автомобил VW 6213","Запалка за автомобил VW 6213. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182050-P","Запалка за автомобил Audi А4 B8 / A5 / Q5","1","0","visible","Запалка за автомобил Audi А4 B8 / A5 / Q5. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Запалка за автомобил Audi А4 B8 / A5 / Q5
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение 12v</li>
	<li>Цвят на светлина червен</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","16","Аксесоари, Аксесоари > Запалки за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","889","Запалка за автомобил Audi А4 B8 / A5 / Q5","Запалка за автомобил Audi А4 B8 / A5 / Q5. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182051-P","Запалка за автомобил Audi А4 B5 / B6 / B7 / Q7","1","0","visible","Запалка за автомобил Audi А4 B5 / B6 / B7 / Q7. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Запалка за автомобил Audi А4 B5 / B6 / B7 / Q7
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение 12v</li>
	<li>Цвят на светлина червен</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","16","Аксесоари, Аксесоари > Запалки за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","889","Запалка за автомобил Audi А4 B5 / B6 / B7 / Q7","Запалка за автомобил Audi А4 B5 / B6 / B7 / Q7. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182052-P","Запалка за автомобил Audi А6 C6  04-08","1","0","visible","Запалка за автомобил Audi А6 C6  04-08. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Запалка за автомобил Audi А6 C6  04-08
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение 12v</li>
	<li>Цвят на светлина червен.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","16","Аксесоари, Аксесоари > Запалки за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","889","Запалка за автомобил Audi А6 C6  04-08","Запалка за автомобил Audi А6 C6  04-08. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182043-P","Запалка за автомобил Renault Clio / Logan / Sandero 6123","1","0","visible","Запалка за автомобил Renault Clio / Logan / Sandero 6123. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Запалка за автомобил Renault Clio / Logan / Sandero 6123
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение 12v</li>
	<li>Цвят на светлина жълт</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Аксесоари, Аксесоари > Запалки за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","889","Запалка за автомобил Renault Clio / Logan / Sandero 6123","Запалка за автомобил Renault Clio / Logan / Sandero 6123. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182047-P","Запалка за автомобил Chevrolet Cruze 6138","1","0","visible","Запалка за автомобил Chevrolet Cruze 6138. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Запалка за автомобил Chevrolet Cruze 6138
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение 12v</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Запалки за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","889","Запалка за автомобил Chevrolet Cruze 6138","Запалка за автомобил Chevrolet Cruze 6138. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
