Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","46053-P","Универсално USB зарядно с 4 USB порта - 2461","1","0","visible","Универсално USB зарядно с 4 USB порта - 2461. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Универсално USB зарядно с 4 USB порта - 2461
<h4>Характеристики</h4>
<ul>
	
	<li>С три порта за бързо зареждане и един порт за много бързо зареждане 3.0, ще можете да зареждате множество устройства по време на пътуването си.</li>
	<li>Подходящ за смартфони, таблети, GPS навигация, банки за захранване и други акумулаторни електронни устройства.</li>
	<li>3 x USB 2.1A порта и един Quick Charge 3.</li>
	<li>LED индикаторите показват състоянието на зареждан.</li>
	<li>Здрав захват в запалката, без прекъсвания на захранванет.</li>
	<li>Вход: 12V-24V</li>
	<li>Изход: 5V/7A</li>
	<li>Размери: 70 мм х 40 мм</li>
	<li>Цвят: Черен.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Аксесоари, Аксесоари > Зарядни за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","890","Универсално USB зарядно с 4 USB порта - 2461","Универсално USB зарядно с 4 USB порта - 2461. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","46054-P","Адаптер за запалка 3088 с 2 USB порта и волтметър","1","0","visible","Адаптер за запалка 3088 с 2 USB порта и волтметър. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Адаптер за запалка 3088 с 2 USB порта и волтметър
<h4>Характеристики</h4>
<ul>
	
	<li>2 x USB порта Quick Charge 3.</li>
	<li>Панел с волтметър</li>
	<li>On/Off бутон</li>
	<li>Подходящ за 12V-24V DC.</li>
	<li>Монтажен диаметър 28 mm.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","22","Аксесоари, Аксесоари > Зарядни за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","890","Адаптер за запалка 3088 с 2 USB порта и волтметър","Адаптер за запалка 3088 с 2 USB порта и волтметър. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181997-P","Универсално USB зарядно за кола Qualcomm 3.0 с два порта - 1892","1","0","visible","Универсално USB зарядно за кола Qualcomm 3.0 с два порта - 1892. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Универсално USB зарядно за кола Qualcomm 3.0 с два порта - 1892
<h4>Характеристики</h4>
<ul>
	
	<li>Зарядно за автомобил с два USB порта</li>
	<li>Входно напрежение: DC 10-30V</li>
	<li>Изходен ток: &nbsp;5V 3.1A ,максимално 30W
	<ul>
		<li>1-ви изход 5V 3.1A, 9V 1.8A, 12V 1.5A</li>
		<li>2-ри изход 5V 2.4A</li>
	</ul>
	</li>
	<li>Материал: PC+ABS огнеустройчива пластмаса.</li>
	<li>Защита: късо съединение,пренапрежение,претоварване посредством умен микрочип.</li>
	<li>Температурна защита.</li>
	<li>Тегло:48гр.</li>
	<li>Размери:3х6см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Зарядни за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","890","Универсално USB зарядно за кола Qualcomm 3.0 с два порта - 1892","Универсално USB зарядно за кола Qualcomm 3.0 с два порта - 1892. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182732-P","Универсално USB зарядно за кола с четири порта 2457","1","0","visible","Универсално USB зарядно за кола с четири порта 2457. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Универсално USB зарядно за кола с четири порта 2457
<h4>Характеристики</h4>
<ul>
	
	<li>Зарядно за автомобил с четири USB порта.</li>
	<li>Порт 1: 9V-12V 1.8A;5v 3.1A</li>
	<li>Порт 2,3,4: 5V 3.1A</li>
	<li>Поддържа бързо зареждане.</li>
	<li>Работно напрежение: 12/24V</li>
	<li>Зарядното има защита, която се активира при претоварване, прегряване, късо съединение и т.н.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Зарядни за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","890","Универсално USB зарядно за кола с четири порта 2457","Универсално USB зарядно за кола с четири порта 2457. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182272-P","Универсално USB зарядно за кола с два порта и USB кабел 3 в 1 2011","1","0","visible","Универсално USB зарядно за кола с два порта и USB кабел 3 в 1 2011. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Универсално USB зарядно за кола с два порта и USB кабел 3 в 1 2011
<h4>Характеристики</h4>
<ul>
	
	<li>Зарядно за автомобил с два USB порта.</li>
	<li>Кабел за зареждане 3 в 1 - Lighting / Micro USB / Type-C Usb.</li>
	<li>Порт 1: 9V-12V 1.8A</li>
	<li>Порт 2: 5V 3.1A</li>
	<li>До 80% по-бързо зареждане на телефон, таблет и т.н.</li>
	<li>4 пъти по-бърз от стандартните зарядни за автомобил.</li>
	<li>Работно напрежение: 12/24V</li>
	<li>Зарядното има защита, която се активира при претоварване, прегряване, късо съединение и т.н.</li>
	<li>Дължина на кабела: ~1.5 метра.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","11","Аксесоари, Аксесоари > Зарядни за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","890","Универсално USB зарядно за кола с два порта и USB кабел 3 в 1 2011","Универсално USB зарядно за кола с два порта и USB кабел 3 в 1 2011. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","46015-P","Универсално USB зарядно за кола с два порта - 1641","1","0","visible","Универсално USB зарядно за кола с два порта - 1641. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Универсално USB зарядно за кола с два порта - 1641
<h4>Характеристики</h4>
<ul>
	
	<li>Зарядно за автомобил с два USB порта.</li>
	<li><span>Лесен и бърз начин да зареждате вашия мобилен телефон, таблет или друго устройство през запалката на колата.</span></li>
	<li><span>Изключително леко и компактно.</span></li>
	<li>Входно напрежение: 12/24V</li>
	<li>Изходен ток: DC <span>4.8V - 5.3V / 3.1A</span></li>
	<li>Работна температура: 0°C ~ 60°C</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Зарядни за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","890","Универсално USB зарядно за кола с два порта - 1641","Универсално USB зарядно за кола с два порта - 1641. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","46019-P","Универсално USB зарядно за кола с два порта - 13611","1","0","visible","Универсално USB зарядно за кола с два порта - 13611. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Универсално USB зарядно за кола с два порта - 13611
<h4>Характеристики</h4>
<ul>
	
	<li>Зарядно за автомобил с два USB порта.</li>
	<li><span>Лесен и бърз начин да зареждате вашия мобилен телефон, таблет или друго устройство през запалката на колата.</span></li>
	<li><span>Изключително леко и компактно.</span></li>
	<li>Входно напрежение: 12/24V</li>
	<li>Изходен ток: DC 5V<span> / 2.1A</span></li>
	<li>Работна температура: 0°C ~ 60°C</li>
	<li>Различни цветове.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Зарядни за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","890","Универсално USB зарядно за кола с два порта - 13611","Универсално USB зарядно за кола с два порта - 13611. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182099-P","Зарядно за телефон 1666","1","0","visible","Зарядно за телефон 1666. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Зарядно за телефон 1666
<h4>Характеристики</h4>
<ul>
	
	<li>Зарядно за автомобил с два USB порта плюс 3 накрайника за IPHONE 4,IPHONE 5S,IPHONE 6/6S,IPAD/4G/4S/P1000/IPAD MINI.</li>
	<li>Зарядното за кола е с 2 USB изходa за зареждане на смартфон или таблет или два смартфона едновременно.</li>
	<li>Лесен и бърз начин да зареждате вашия мобилен телефон или таблет през запалката на колата.</li>
	<li>Изработка от здрав, нераждаем метал.</li>
	<li>Три накрайника с кабел с дължина 114см.</li>
	<li>
	<div>Обща мощност: 3.1А.&nbsp;</div>

	<div>
	<div>Вход: DC, 12-24V.</div>

	<div>Изход:&nbsp;</div>

	<div>- USB 2.1A<br>
	- USB 1.0A</div>

	<div>Размери: 60х25мм.</div>
	</div>
	</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","12","Аксесоари, Аксесоари > Зарядни за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","890","Зарядно за телефон 1666","Зарядно за телефон 1666. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","46024-P","USB Зарядно с 2 порта 12v - 1665","1","0","visible","USB Зарядно с 2 порта 12v - 1665. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","USB Зарядно с 2 порта 12v - 1665
<h4>Характеристики</h4>
<ul>
	
	<li>+ Led индикатор показващ волтовете на автомобилът (в реално време)</li>
	<li>Може да се използва за бързо зареждане на мобилен телефон, навигация, таблет и други.</li>
	<li>Защита против претоварване и прегряване.</li>
	<li>Изходен ток: USB 1 - 2.10A</li>
	<li>Изходен ток: USB 2&nbsp;- 2.10A</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","13","Аксесоари, Аксесоари > Зарядни за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","890","USB Зарядно с 2 порта 12v - 1665","USB Зарядно с 2 порта 12v - 1665. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","44249-P","Безжично зарядно за телефон - 117","1","0","visible","Безжично зарядно за телефон - 117. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Безжично зарядно за телефон - 117
<h4>Характеристики</h4>
<ul>
	
	<li>Безжично зарядно за телефон</li>
</ul>
<ul>
	<li>10W</li>
	<li>Материал: ABS</li>
	<li>Входящо напрежение: 12V</li>
	<li>Изходящо напрежение: 8V</li>
	<li>Бързо зареждане</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","16","Аксесоари, Аксесоари > Зарядни за кола","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","890","Безжично зарядно за телефон - 117","Безжично зарядно за телефон - 117. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
