Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","2220-P","Капачка за газова уредба 8мм","1","0","visible","Капачка за газова уредба 8мм. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капачка за газова уредба 8мм
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална капачка за газова уредба.</li>
	<li>Размер - 8мм.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","1","Аксесоари, Аксесоари > Капачки за резервоар","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","883","Капачка за газова уредба 8мм","Капачка за газова уредба 8мм. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","22094-P","Капачка за газова уредба 14мм","1","0","visible","Капачка за газова уредба 14мм. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капачка за газова уредба 14мм
<h4>Характеристики</h4>
<ul>
	
	<li>Размер - 14 мм.</li>
	<li>Материал - пластмаса.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","1","Аксесоари, Аксесоари > Капачки за резервоар","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","883","Капачка за газова уредба 14мм","Капачка за газова уредба 14мм. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","22080-P","Заключваща капачка за резервоар - 60мм","1","0","visible","Заключваща капачка за резервоар - 60мм. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Заключваща капачка за резервоар - 60мм
<h4>Характеристики</h4>
<ul>
	
	<li>Заключваща капачка за резервоар на камион.</li>
	<li>Капачката покрива цялата гърловина,&nbsp;предотвратяваща&nbsp;кражба на гориво.</li>
	<li>Материал: Метал.</li>
	<li>Диаметър на гърловината: 60мм.</li>
	<li><strong>В цената не е включен катинар.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","34","Аксесоари, Аксесоари > Капачки за резервоар","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","883","Заключваща капачка за резервоар - 60мм","Заключваща капачка за резервоар - 60мм. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","22064-P","Капачка за резервоар - 1075","1","0","visible","Капачка за резервоар - 1075. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капачка за резервоар - 1075
<h4>Характеристики</h4>
<ul>
	
	<li>Капачката се заключва с ключ.</li>
	<li>Размер на закрепване: 57мм.</li>
	<li>В комплекта има 2 бр. ключове.</li>
	<li>Материал:&nbsp;пластмаса/метал.</li>
	<li>Външен диаметър:930мм.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Капачки за резервоар","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","883","Капачка за резервоар - 1075","Капачка за резервоар - 1075. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","22062-P","Капачка за резервоар Scania P/G/R/T - 060","1","0","visible","Капачка за резервоар Scania P/G/R/T - 060. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капачка за резервоар Scania P/G/R/T - 060
<h4>Характеристики</h4>
<ul>
	
	<li>Капачката се заключва с ключ.</li>
	<li>Размер на закрепване: 59мм.</li>
	<li>Капачката е с резба.</li>
	<li>В комплекта има 2 бр. ключове.</li>
	<li>Изработена от висококачествена пластмаса.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","11","Аксесоари, Аксесоари > Капачки за резервоар","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","883","Капачка за резервоар Scania P/G/R/T - 060","Капачка за резервоар Scania P/G/R/T - 060. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","22060-P","Капачка за резервоар - 051","1","0","visible","Капачка за резервоар - 051. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капачка за резервоар - 051
<h4>Характеристики</h4>
<ul>
	
	<li>Капачката се заключва с ключ.</li>
	<li>Размер на закрепване: 76мм.</li>
	<li>В комплекта има 2 бр. ключове.</li>
	<li>Изработена от висококачествена пластмаса.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","13","Аксесоари, Аксесоари > Капачки за резервоар","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","883","Капачка за резервоар - 051","Капачка за резервоар - 051. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","2270-P","Капачка резервоар подходящa за Golf III","1","0","visible","Капачка резервоар подходящa за Golf III. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капачка резервоар подходящa за Golf III
<h4>Характеристики</h4>
<ul>
	
	<li>Капачката се заключва с ключ.</li>
	<li>В комплекта има 2 бр. ключове.</li>
	<li>Изработена от висококачествена пластмаса.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","6","Аксесоари, Аксесоари > Капачки за резервоар","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","883","Капачка резервоар подходящa за Golf III","Капачка резервоар подходящa за Golf III. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","22063-P","Капачка за резервоар - 1073","1","0","visible","Капачка за резервоар - 1073. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капачка за резервоар - 1073
<h4>Характеристики</h4>
<ul>
	
	<li>Капачката се заключва с ключ.</li>
	<li>Размер на закрепване: 76мм.</li>
	<li>В комплекта има 2 бр. ключове.</li>
	<li>Изработена от висококачествена пластмаса.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","27","Аксесоари, Аксесоари > Капачки за резервоар","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","883","Капачка за резервоар - 1073","Капачка за резервоар - 1073. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","22059-P","Капачка за резервоар - 1049","1","0","visible","Капачка за резервоар - 1049. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капачка за резервоар - 1049
<h4>Характеристики</h4>
<ul>
	
	<li>Капачката се заключва с ключ.</li>
	<li>Размер на закрепване: 75мм.</li>
	<li>В комплекта има 2 бр. ключове.</li>
	<li>Изработена от висококачествена пластмаса.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","19","Аксесоари, Аксесоари > Капачки за резервоар","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","883","Капачка за резервоар - 1049","Капачка за резервоар - 1049. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","22152-P","Капачка за резервоар 045","1","0","visible","Капачка за резервоар 045. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капачка за резервоар 045
<h4>Характеристики</h4>
<ul>
	
	<li>Капачката е подходяща за Mercedes.</li>
	<li>Размер на закрепване: 80мм.</li>
	<li>Капачката се заключва с ключ.</li>
	<li>В комплекта има 2 бр. ключове.</li>
	<li>Изработена от висококачествена пластмаса.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Капачки за резервоар","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","883","Капачка за резервоар 045","Капачка за резервоар 045. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
