Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","181654-P-1","Ключодържател теглич - Черен","1","0","visible","Ключодържател теглич - Черен. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ключодържател теглич - Черен
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят: Черен</li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Прецизна изработка от метал.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Стилно и интересно допълнение към вашите ключове.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Предлага се във три цвята: черен, син и червен.</span></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Аксесоари, Аксесоари > Ключодържатели","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","895","Ключодържател теглич - Черен","Ключодържател теглич - Черен. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181654-P","Ключодържател теглич - Червен","1","0","visible","Ключодържател теглич - Червен. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ключодържател теглич - Червен
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят: Червен</li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Прецизна изработка от метал.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Стилно и интересно допълнение към вашите ключове.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Предлага се във три цвята: черен, син и червен.</span></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Аксесоари, Аксесоари > Ключодържатели","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","895","Ключодържател теглич - Червен","Ключодържател теглич - Червен. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181654-P-2","Ключодържател теглич - Син","1","0","visible","Ключодържател теглич - Син. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ключодържател теглич - Син
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят:Син.</li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Прецизна изработка от метал.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Стилно и интересно допълнение към вашите ключове.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Предлага се във три цвята: черен, син и червен.</span></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Аксесоари, Аксесоари > Ключодържатели","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","895","Ключодържател теглич - Син","Ключодържател теглич - Син. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181966-P-1","Ключодържател пожарогасител - Син","1","0","visible","Ключодържател пожарогасител - Син. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ключодържател пожарогасител - Син
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят: Син</li>
	<li><span style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">Прецизна изработка от метал.</span></li>
	<li><span style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">Стилно и интересно допълнение към вашите ключове.</span></li>
	<li><span style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">Идеалния подарък за всеки автомобилен фен.</span></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Ключодържатели","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","895","Ключодържател пожарогасител - Син","Ключодържател пожарогасител - Син. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181966-P-2","Ключодържател пожарогасител - Черен","1","0","visible","Ключодържател пожарогасител - Черен. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ключодържател пожарогасител - Черен
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят: Черен</li>
	<li><span style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">Прецизна изработка от метал.</span></li>
	<li><span style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">Стилно и интересно допълнение към вашите ключове.</span></li>
	<li><span style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">Идеалния подарък за всеки автомобилен фен.</span></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Ключодържатели","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","895","Ключодържател пожарогасител - Черен","Ключодържател пожарогасител - Черен. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181966-P","Ключодържател пожарогасител - Червен","1","0","visible","Ключодържател пожарогасител - Червен. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ключодържател пожарогасител - Червен
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят: Червен</li>
	<li><span style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">Прецизна изработка от метал.</span></li>
	<li><span style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">Стилно и интересно допълнение към вашите ключове.</span></li>
	<li><span style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">Идеалния подарък за всеки автомобилен фен.</span></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Ключодържатели","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","895","Ключодържател пожарогасител - Червен","Ключодържател пожарогасител - Червен. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181316-P-1","Ключодържател бутало","1","0","visible","Ключодържател бутало. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ключодържател бутало
<h4>Характеристики</h4>
<ul>
	
	<li>Прецизна изработка от метал.</li>
	<li>Стилно и интересно допълнение към вашите ключове.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","3","Аксесоари, Аксесоари > Ключодържатели","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","895","Ключодържател бутало","Ключодържател бутало. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181316-P-2","Ключодържател диск Брембо","1","0","visible","Ключодържател диск Брембо. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ключодържател диск Брембо
<h4>Характеристики</h4>
<ul>
	
	<li>Прецизна изработка от метал.</li>
	<li>Стилно и интересно допълнение към вашите ключове.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","3","Аксесоари, Аксесоари > Ключодържатели","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","895","Ключодържател диск Брембо","Ключодържател диск Брембо. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181316-P","Ключодържател свещ","1","0","visible","Ключодържател свещ. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ключодържател свещ
<h4>Характеристики</h4>
<ul>
	
	<li>Прецизна изработка от метал.</li>
	<li>Стилно и интересно допълнение към вашите ключове.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","3","Аксесоари, Аксесоари > Ключодържатели","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","895","Ключодържател свещ","Ключодържател свещ. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181967-P-1","Ключодържател човече - Хром","1","0","visible","Ключодържател човече - Хром. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ключодържател човече - Хром
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят: Хром</li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Прецизна изработка от метал.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Стилно и интересно допълнение към вашите ключове.</span></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Ключодържатели","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","895","Ключодържател човече - Хром","Ключодържател човече - Хром. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
