Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","3002-P","Пистолет с манометър за помпене на гуми 25D","1","0","visible","Пистолет с манометър за помпене на гуми 25D. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Пистолет с манометър за помпене на гуми 25D
<h4>Характеристики</h4>
<ul>
	
	<li>Манометъра е идеален за коли, мотори, колела и много други пригодени за него.</li>
	<li>Лесно видима четяща се скала за отчитане 0-16bar.</li>
	<li>Бърза връзка евро стандарт.</li>
	<li>Метална дръжка.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","14","Аксесоари, Аксесоари > Манометри за гуми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","886","Пистолет с манометър за помпене на гуми 25D","Пистолет с манометър за помпене на гуми 25D. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","30073-P","Пистолет с манометър за помпене на гуми  - 2195","1","0","visible","Пистолет с манометър за помпене на гуми  - 2195. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Пистолет с манометър за помпене на гуми  - 2195
<h4>Характеристики</h4>
<ul>
	
	<li>Манометъра е идеален за коли, мотори, колела&nbsp;и т.н.</li>
	<li><span>Механичен - работи перфектно при всякакви метеорологични условия.</span></li>
	<li>Лесно видима четяща се скала за отчитане 0-16 Bar.</li>
	<li>Бърза връзка стандартна.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","24","Аксесоари, Аксесоари > Манометри за гуми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","886","Пистолет с манометър за помпене на гуми  - 2195","Пистолет с манометър за помпене на гуми  - 2195. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","30024-P","Пистолет с глицеринов манометър за помпене на гуми - 1171","1","0","visible","Пистолет с глицеринов манометър за помпене на гуми - 1171. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Пистолет с глицеринов манометър за помпене на гуми - 1171
<h4>Характеристики</h4>
<ul>
	
	<li>Манометъра е идеален за коли, мотори, колела и много други пригодени за него.</li>
	<li>Лесно видима четяща се скала за отчитане 0-16bar.</li>
	<li>Бърза връзка евро&nbsp; стандарт.</li>
	<li>Метална дръжка.</li>
	<li>Цвят на дръжката: Кафява.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","24","Аксесоари, Аксесоари > Манометри за гуми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","886","Пистолет с глицеринов манометър за помпене на гуми - 1171","Пистолет с глицеринов манометър за помпене на гуми - 1171. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","30076-P","Манометър за гуми - 2236","1","0","visible","Манометър за гуми - 2236. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Манометър за гуми - 2236
<h4>Характеристики</h4>
<ul>
	
	<li>Обхват на измерване от 0,5 до 5 Bar.</li>
	<li>За проверка на налягането в гумите.</li>
	<li>Подходящ за коли, мотоциклети, бусове, каравани, АТВ, велосипеди и др.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Манометри за гуми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","886","Манометър за гуми - 2236","Манометър за гуми - 2236. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","3010-P","Манометър за гуми метален-442","1","0","visible","Манометър за гуми метален-442. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Манометър за гуми метален-442
<h4>Характеристики</h4>
<ul>
	
	<li>Манометъра е идеален за коли, мотори, колела и много други пригодени за него.</li>
	<li>Лесно видима четяща се скала за отчитане 0.5-7.5bar.</li>
	<li>Бърза връзка стандартна.</li>
	<li>Метална дръжка.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","6","Аксесоари, Аксесоари > Манометри за гуми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","886","Манометър за гуми метален-442","Манометър за гуми метален-442. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","30122-P","Манометър за гуми-917","1","0","visible","Манометър за гуми-917. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Манометър за гуми-917
<h4>Характеристики</h4>
<ul>
	
	<li>Манометъра е идеален за коли, мотори, колела и много други пригодени за него.</li>
	<li>Лесно видима четяща се скала за отчитане 0-16bar.</li>
	<li>Бърза връзка евро стандарт.</li>
	<li>Метална дръжка.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","9","Аксесоари, Аксесоари > Манометри за гуми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","886","Манометър за гуми-917","Манометър за гуми-917. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","30102-P","Пистолет за въздух - PAS-4","1","0","visible","Пистолет за въздух - PAS-4. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Пистолет за въздух - PAS-4
<h4>Характеристики</h4>
<ul>
	
	<li>Този въздушен пистолет е направен от висококачествен&nbsp; материал, здрав, безопасен, антикорозионен и издръжлив на употреба.</li>
	<li>Дизайна на пистолета го прави удобен и лесен за хващане.</li>
	<li>Подходящ за почистване на прах върху всяка машина, гаражна работилница, автомивка, сервизи.</li>
	<li>Мощно издухване, ниска консумация и икономия на енергия.</li>
	<li>Доставя се в блистерна опаковка с включени дълъг накрайник и два адаптера за бърза връзка и маркуч.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","14","Аксесоари, Аксесоари > Манометри за гуми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","886","Пистолет за въздух - PAS-4","Пистолет за въздух - PAS-4. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","30186-P","Пистолет за въздух - 2444","1","0","visible","Пистолет за въздух - 2444. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Пистолет за въздух - 2444
<h4>Характеристики</h4>
<ul>
	
	<li>Този въздушен пистолет е направен от висококачествен&nbsp; материал, здрав, безопасен, антикорозионен и издръжлив на употреба.</li>
	<li>Дизайна на пистолета го прави удобен и лесен за хващане.</li>
	<li>Подходящ за почистване на прах върху всяка машина, гаражна работилница, автомивка,сервизи.</li>
	<li>Мощно издухване, ниска консумация и икономия на енергия.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","6","Аксесоари, Аксесоари > Манометри за гуми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","886","Пистолет за въздух - 2444","Пистолет за въздух - 2444. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","30077-P","Пистолет за обдухване 2274","1","0","visible","Пистолет за обдухване 2274. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Пистолет за обдухване 2274
<h4>Характеристики</h4>
<ul>
	
	<li>Комплектът&nbsp;включва 4&nbsp;бр. накрайници + 5м. спираловиден маркуч.</li>
	<li>Маркучът в разпънато състояние достига дължина 4 метра.</li>
	<li>Пистолет с ПВЦ тяло и метална дюза.</li>
	<li>Т-образна бърза връзка с два накрайника от 6 мм и метален накрайник - 12мм.</li>
	<li>С ергономичен дизайн, лесен за употреба дори при по-продължителна работа.</li>
	<li>Почиства недостъпни зони.</li>
	<li>Работно налягане: От 2-6 бара.</li>
	<li>Максимално налягане на въздуха: 12 кг./кв.см.</li>
	<li>Комплектът пристига в пластмасова кутия за съхранение.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","19","Аксесоари, Аксесоари > Манометри за гуми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","886","Пистолет за обдухване 2274","Пистолет за обдухване 2274. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","18771-P","Пистолет за обдухване-B500 черен","1","0","visible","Пистолет за обдухване-B500 черен. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Пистолет за обдухване-B500 черен
<h4>Характеристики</h4>
<ul>
	
	<li><strong>Пневматичен пистолет за въздух с дълъг накрайник.</strong></li>
	<li>Комплекта включва&nbsp;5м. спираловиден маркуч.</li>
	<li>С ергономичен дизайн, лесен за употреба дори при по-продължителна работа.</li>
	<li>Почиства недостъпни зони.</li>
	<li>Работно налягане: От 2-6 Bar.</li>
	<li>Консумация на въздух: 200л./мин.</li>
	<li>Ергономичен дизайн.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","19","Аксесоари, Аксесоари > Манометри за гуми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","886","Пистолет за обдухване-B500 черен","Пистолет за обдухване-B500 черен. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
