Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","3798-P","Огледало FX003","1","0","visible","Огледало FX003. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Огледало FX003
<h4>Характеристики</h4>
<ul>
	
	<li>Допълнително огледало за обратно виждане.</li>
	<li>Захващане чрез вакуум вендуза.</li>
	<li>Универсално.</li>
	<li>Цвят: кафяво.</li>
	<li>Размери: 70мм х 95мм.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Огледала","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","897","Огледало FX003","Огледало FX003. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","37070-P","Телескопично огледало 2277","1","0","visible","Телескопично огледало 2277. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Телескопично огледало 2277
<h4>Характеристики</h4>
<ul>
	
	<li>Телескопично огледало&nbsp;</li>
	<li>Лед осветление</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Аксесоари, Аксесоари > Огледала","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","897","Телескопично огледало 2277","Телескопично огледало 2277. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","3766-P","Спортно огледало с мигач електрическо 031 - Черен карбон","1","0","visible","Спортно огледало с мигач електрическо 031 - Черен карбон. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Спортно огледало с мигач електрическо 031 - Черен карбон
<h4>Характеристики</h4>
<ul>
	
	<li>Спортно огледало с вграден мигач</li>
	<li>Електрическо</li>
	<li>Захват: Универсален</li>
	<li>Цвят: Черен карбон.</li>
	<li>Посочената цена е за 1бр.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","44","Аксесоари, Аксесоари > Огледала","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","897","Спортно огледало с мигач електрическо 031 - Черен карбон","Спортно огледало с мигач електрическо 031 - Черен карбон. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","37070-P-1","Огледало телескопично - 2277","1","0","visible","Огледало телескопично - 2277. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Огледало телескопично - 2277
<h4>Характеристики</h4>
<ul>
	
	<li>Тези инструменти служат за събиране, достигане и откриване на болтове и други дребни елементи на труднодостъпните места, а лед осветлението спомага това да стане по-лесно дори в тъмните неосветени пространства.&nbsp;</li>
	<li>Телескопично огледало с LED осветление .</li>
	<li>Неплъзгаща телескопична дръжка</li>
	<li>Въртящо се и сгъваемо огледало.</li>
	<li>2 LED.</li>
	<li>Включени батерии.</li>
	<li>Размери на огледалото&nbsp; 85 x 52 x 10 mm.</li>
	<li>Общата дължина прибрана&nbsp; 29 cm.</li>
	<li>Обща дължина разгъната&nbsp; 87 cm.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Аксесоари, Аксесоари > Огледала","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","897","Огледало телескопично - 2277","Огледало телескопично - 2277. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","3766-P-1","Спортно огледало с мигач електрическо 031 - хром","1","0","visible","Спортно огледало с мигач електрическо 031 - хром. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Спортно огледало с мигач електрическо 031 - хром
<h4>Характеристики</h4>
<ul>
	
	<li>Спортно огледало с вграден мигач</li>
	<li>Електрическо</li>
	<li>Захват: Универсален</li>
	<li>Цвят: Хром</li>
	<li>Посочената цена е за 1бр.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","44","Аксесоари, Аксесоари > Огледала","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","897","Спортно огледало с мигач електрическо 031 - хром","Спортно огледало с мигач електрическо 031 - хром. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","3715-P","Спортно огледало с мигач 3252 - хром","1","0","visible","Спортно огледало с мигач 3252 - хром. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Спортно огледало с мигач 3252 - хром
<h4>Характеристики</h4>
<ul>
	
	<li>Спортно огледало с вграден мигач</li>
	<li>Захват: Универсален</li>
	<li>Цвят: Хром</li>
	<li>Посочената цена е за 2бр.&nbsp;в комплект</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","31","Аксесоари, Аксесоари > Огледала","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","897","Спортно огледало с мигач 3252 - хром","Спортно огледало с мигач 3252 - хром. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","3716-P-2","Спортно огледало с мигач 3284 - сиво","1","0","visible","Спортно огледало с мигач 3284 - сиво. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Спортно огледало с мигач 3284 - сиво
<h4>Характеристики</h4>
<ul>
	
	<li>Спортно огледало с вграден мигач</li>
	<li>Захват: Универсален</li>
	<li>Цвят: Сив</li>
	<li>Посочената цена е за 2бр в комплект.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","31","Аксесоари, Аксесоари > Огледала","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","897","Спортно огледало с мигач 3284 - сиво","Спортно огледало с мигач 3284 - сиво. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","3716-P","Спортно огледало с мигач 3284 - червено","1","0","visible","Спортно огледало с мигач 3284 - червено. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Спортно огледало с мигач 3284 - червено
<h4>Характеристики</h4>
<ul>
	
	<li>Спортно огледало с вграден мигач</li>
	<li>Захват: Универсален</li>
	<li>Цвят: Червено</li>
	<li>Посочената цена е за 2бр в комплект.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","31","Аксесоари, Аксесоари > Огледала","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","897","Спортно огледало с мигач 3284 - червено","Спортно огледало с мигач 3284 - червено. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","3716-P-1","Спортно огледало с мигач 3284 - жълто","1","0","visible","Спортно огледало с мигач 3284 - жълто. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Спортно огледало с мигач 3284 - жълто
<h4>Характеристики</h4>
<ul>
	
	<li>Спортно огледало с вграден мигач</li>
	<li>Захват: Универсален</li>
	<li>Цвят: Жълт</li>
	<li>Посочената цена е за 2бр в комплект.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","31","Аксесоари, Аксесоари > Огледала","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","897","Спортно огледало с мигач 3284 - жълто","Спортно огледало с мигач 3284 - жълто. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","37037-P","Огледало за обратно виждане - 1891","1","0","visible","Огледало за обратно виждане - 1891. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Огледало за обратно виждане - 1891
<h4>Характеристики</h4>
<ul>
	
	<li>Панорамно огледало за обратно виждане, придава кристално чисто образ и намалява слепите петна. Закрепва се с щипки за оригиналното огледало.</li>
	<li>Плоско стъкло против отблясъци.</li>
	<li>Намалява слепите зони.</li>
	<li>Захващане чрез разтягащи се скоби върху фабричното огледало.</li>
	<li>Универсално.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Огледала","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","897","Огледало за обратно виждане - 1891","Огледало за обратно виждане - 1891. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
