Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","06112-P","Покривало за автомобил - 002 - M","1","0","visible","Покривало за автомобил - 002 - M. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Покривало за автомобил - 002 - M
<h4>Характеристики</h4>
<ul>
	
	<li>Покривалото предпазва Вашето превозно средство от UV лъчи, вятър, дъжд, мъгла и <span>птичи изпражнения</span>.</li>
	<li>Поставя се много бързо и лесно, закрепянето става чрез ластик.</li>
	<li>С помощта на отделни помещения<span>(джобове)</span> за страничните огледала, Вие може да не прибирате всеки път огледалата на Вашият автомобил и по този начин да предотвратите вероятността от нежелани и скъпи ремонти.</li>
	<li>Специален цип от шофьорската страна, за да може да влезете в колата без да се налага махане или частично махане на покривалото.</li>
	<li>Предпага се в удобна чанта за съхранение и транспорт.</li>
	<li>Цвят на брезента: Сив.<br>
	<br>
	<span style=""color: #ff0000;""><strong>ВНИМАНИЕ:</strong></span> Това покривало за автомобил НЕ е подходящо за защита против градушка. Нашите предложения за покривала за автомобил против градушка може да разгледате в нашата секция - <a href=""pokrivala-za-avtomobili"" rel=""next noopener noreferrer"" target=""_blank"">Покривала за автомобили</a>.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","65","Аксесоари, Аксесоари > Покривала за автомобили","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","884","Покривало за автомобил - 002 - M","Покривало за автомобил - 002 - M. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","06113-P","Покривало за автомобил - 002 - L","1","0","visible","Покривало за автомобил - 002 - L. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Покривало за автомобил - 002 - L
<h4>Характеристики</h4>
<ul>
	
	<li>Покривалото предпазва Вашето превозно средство от UV лъчи, вятър, дъжд, мъгла и <span>птичи изпражнения</span>.</li>
	<li>Поставя се много бързо и лесно, закрепянето става чрез ластик.</li>
	<li>С помощта на отделни помещения<span>(джобове)</span> за страничните огледала, Вие може да не прибирате всеки път огледалата на Вашият автомобил и по този начин да предотвратите вероятността от нежелани и скъпи ремонти.</li>
	<li>Специален цип от шофьорската страна, за да може да влезете в колата без да се налага махане или частично махане на покривалото.</li>
	<li>Предпага се в удобна чанта за съхранение и транспорт.</li>
	<li>Цвят на брезента: Сив.<br>
	<br>
	<span style=""color: #ff0000;""><strong>ВНИМАНИЕ:</strong></span> Това покривало за автомобил НЕ е подходящо за защита против градушка. Нашите предложения за покривала за автомобил против градушка може да разгледате в нашата секция - <a href=""pokrivala-za-avtomobili"" rel=""next noopener noreferrer"" target=""_blank"">Покривала за автомобили</a>.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","68","Аксесоари, Аксесоари > Покривала за автомобили","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","884","Покривало за автомобил - 002 - L","Покривало за автомобил - 002 - L. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","06114-P","Покривало за автомобил - 002 - XL","1","0","visible","Покривало за автомобил - 002 - XL. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Покривало за автомобил - 002 - XL
<h4>Характеристики</h4>
<ul>
	
	<li>Покривалото предпазва Вашето превозно средство от UV лъчи, вятър, дъжд, мъгла и <span>птичи изпражнения</span>.</li>
	<li>Поставя се много бързо и лесно, закрепянето става чрез ластик.</li>
	<li>С помощта на отделни помещения<span>(джобове)</span> за страничните огледала, Вие може да не прибирате всеки път огледалата на Вашият автомобил и по този начин да предотвратите вероятността от нежелани и скъпи ремонти.</li>
	<li>Специален цип от шофьорската страна, за да може да влезете в колата без да се налага махане или частично махане на покривалото.</li>
	<li>Предпага се в удобна чанта за съхранение и транспорт.</li>
	<li>Цвят на брезента: Сив.<br>
	<br>
	<span style=""color: #ff0000;""><strong>ВНИМАНИЕ:</strong></span> Това покривало за автомобил НЕ е подходящо за защита против градушка. Нашите предложения за покривала за автомобил против градушка може да разгледате в нашата секция - <a href=""pokrivala-za-avtomobili"" rel=""next noopener noreferrer"" target=""_blank"">Покривала за автомобили</a>.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","71","Аксесоари, Аксесоари > Покривала за автомобили","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","884","Покривало за автомобил - 002 - XL","Покривало за автомобил - 002 - XL. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","06115-P","Покривало за автомобил - 002 - XXL","1","0","visible","Покривало за автомобил - 002 - XXL. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Покривало за автомобил - 002 - XXL
<h4>Характеристики</h4>
<ul>
	
	<li>Покривалото предпазва Вашето превозно средство от UV лъчи, вятър, дъжд, мъгла и <span>птичи изпражнения</span>.</li>
	<li>Поставя се много бързо и лесно, закрепянето става чрез ластик.</li>
	<li>С помощта на отделни помещения<span>(джобове)</span> за страничните огледала, Вие може да не прибирате всеки път огледалата на Вашият автомобил и по този начин да предотвратите вероятността от нежелани и скъпи ремонти.</li>
	<li>Специален цип от шофьорската страна, за да може да влезете в колата без да се налага махане или частично махане на покривалото.</li>
	<li>Предпага се в удобна чанта за съхранение и транспорт.</li>
	<li>Цвят на брезента: Сив.<br>
	<br>
	<span style=""color: #ff0000;""><strong>ВНИМАНИЕ:</strong></span> Това покривало за автомобил НЕ е подходящо за защита против градушка. Нашите предложения за покривала за автомобил против градушка може да разгледате в нашата секция - <a href=""pokrivala-za-avtomobili"" rel=""next noopener noreferrer"" target=""_blank"">Покривала за автомобили</a>.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","74","Аксесоари, Аксесоари > Покривала за автомобили","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","884","Покривало за автомобил - 002 - XXL","Покривало за автомобил - 002 - XXL. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","06109-P","Покривало за джип и миниван 4х4","1","0","visible","Покривало за джип и миниван 4х4. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Покривало за джип и миниван 4х4
<h4>Характеристики</h4>
<ul>
	
	<li>Покривалото предпазва Вашето превозно средство от UV лъчи, вятър, дъжд, мъгла и <span>птичи изпражнения</span>.</li>
	<li>Поставя се много бързо и лесно, закрепянето става чрез ластик.</li>
	<li>Предпага се в удобна чанта за съхранение и транспорт.</li>
	<li>Цвят на брезента: Сив.<br>
	<br>
	<span style=""color: #ff0000;""><strong>ВНИМАНИЕ:</strong></span> Това покривало за автомобил НЕ е подходящо за защита против градушка. Нашите предложения за покривала за автомобил против градушка може да разгледате в нашата секция - <a href=""pokrivala-za-avtomobili"" rel=""next noopener noreferrer"" target=""_blank"">Покривала за автомобили</a>.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","70","Аксесоари, Аксесоари > Покривала за автомобили","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","884","Покривало за джип и миниван 4х4","Покривало за джип и миниван 4х4. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","06108-P","Покривало за джип и миниван 4х4","1","0","visible","Покривало за джип и миниван 4х4. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Покривало за джип и миниван 4х4
<h4>Характеристики</h4>
<ul>
	
	<li>Покривалото предпазва Вашето превозно средство от UV лъчи, вятър, дъжд, мъгла и <span>птичи изпражнения</span>.</li>
	<li>Поставя се много бързо и лесно, закрепянето става чрез ластик.</li>
	<li>Предпага се в удобна чанта за съхранение и транспорт.</li>
	<li>Цвят на брезента: Сив.<br>
	<br>
	<span style=""color: #ff0000;""><strong>ВНИМАНИЕ:</strong></span> Това покривало за автомобил НЕ е подходящо за защита против градушка. Нашите предложения за покривала за автомобил против градушка може да разгледате в нашата секция - <a href=""pokrivala-za-avtomobili"" rel=""next noopener noreferrer"" target=""_blank"">Покривала за автомобили</a>.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","70","Аксесоари, Аксесоари > Покривала за автомобили","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","884","Покривало за джип и миниван 4х4","Покривало за джип и миниван 4х4. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","06066-P","Покривало за автомобил - 1194 L","1","0","visible","Покривало за автомобил - 1194 L. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Покривало за автомобил - 1194 L
<h4>Характеристики</h4>
<ul>
	
	<li><strong>Размери: 480х175х120 см</strong></li>
	<li>Покривалото предпазва Вашият автомобил от вредни UV лъчи.</li>
	<li>Предпазва купето на автомобила, като прави сянка в горещите дни.</li>
	<li>Материал: Непромокаема материя, предотвратяваща надраскване.</li>
	<li>Ластик за по-добро фиксиране.</li>
	<li>Цвят на брезента: Сив.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","24","Аксесоари, Аксесоари > Покривала за автомобили","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","884","Покривало за автомобил - 1194 L","Покривало за автомобил - 1194 L. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","06067-P","Покривало за автомобил - 1194 XL","1","0","visible","Покривало за автомобил - 1194 XL. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Покривало за автомобил - 1194 XL
<h4>Характеристики</h4>
<ul>
	
	<li><strong>Размери: 540х175х120 см</strong></li>
	<li>Покривалото предпазва Вашият автомобил от вредни UV лъчи.</li>
	<li>Предпазва купето на автомобила, като прави сянка в горещите дни.</li>
	<li>Материал: Непромокаема материя, предотвратяваща надраскване.</li>
	<li>Ластик за по-добро фиксиране.</li>
	<li>Цвят на брезента: Сив.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","25","Аксесоари, Аксесоари > Покривала за автомобили","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","884","Покривало за автомобил - 1194 XL","Покривало за автомобил - 1194 XL. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","06068-P","Покривало за автомобил - 1194 XXL","1","0","visible","Покривало за автомобил - 1194 XXL. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Покривало за автомобил - 1194 XXL
<h4>Характеристики</h4>
<ul>
	
	<li><b>Размери: 580х175х120 см</b></li>
	<li>Покривалото предпазва Вашият автомобил от вредни UV лъчи.</li>
	<li>Предпазва купето на автомобила, като прави сянка в горещите дни.</li>
	<li>Материал: Непромокаема материя, предотвратяваща надраскване.</li>
	<li>Ластик за по-добро фиксиране.</li>
	<li>Цвят на брезента: Сив.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","27","Аксесоари, Аксесоари > Покривала за автомобили","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","884","Покривало за автомобил - 1194 XXL","Покривало за автомобил - 1194 XXL. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","06110-P","Покривало за ATV 1084 XL","1","0","visible","Покривало за ATV 1084 XL. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Покривало за ATV 1084 XL
<h4>Характеристики</h4>
<ul>
	
	<li>Размери XL: 220 х 98 х 106см</li>
	<li>Покривалото предпазва от замърсяване, вредни UV лъчи, дъжд, сняг.</li>
	<li>Материал: 100% полиестер.</li>
	<li>Водоустойчиво</li>
	<li>Пристягане на ластик.</li>
	<li>Цвят: Сив</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","37","Аксесоари, Аксесоари > Покривала за автомобили","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","884","Покривало за ATV 1084 XL","Покривало за ATV 1084 XL. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
