Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","43004-P","Помпа за източване на гориво 12V - 1017","1","0","visible","Помпа за източване на гориво 12V - 1017. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Помпа за източване на гориво 12V - 1017
<h4>Характеристики</h4>
<ul>
	
	<li>Максимален дебит за изсмукване на дизел: 4л./мин.</li>
	<li>Максимален дебит за изсмукване на моторно масло: 3л/мин.</li>
	<li>Шум на работа 70 dB (A)</li>
	<li>Да се използва минимум на 5А</li>
	<li>Помпата работи чрез свързване клемите на акумулатора.</li>
	<li>Работно напрежение: 12V.</li>
	<li>Оборудвана с всички необходими аксесоари.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","39","Аксесоари, Аксесоари > Помпи за гориво","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","882","Помпа за източване на гориво 12V - 1017","Помпа за източване на гориво 12V - 1017. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","43044-P","Ръчна помпа за подкачване ДИЗЕЛ - 10мм / 90 градуса","1","0","visible","Ръчна помпа за подкачване ДИЗЕЛ - 10мм / 90 градуса. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ръчна помпа за подкачване ДИЗЕЛ - 10мм / 90 градуса
<h4>Характеристики</h4>
<ul>
	
	<li>Подкачваща помпа за дизел.</li>
	<li>Помпата е с алуминиеви накрайници.</li>
	<li>Размер: 10мм</li>
	<li>Материал: Гума</li>
	<li>90<sup>о</sup></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Помпи за гориво","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","882","Ръчна помпа за подкачване ДИЗЕЛ - 10мм / 90 градуса","Ръчна помпа за подкачване ДИЗЕЛ - 10мм / 90 градуса. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","43045-P","Ръчна помпа за подкачване ДИЗЕЛ - 12мм / 90 градуса","1","0","visible","Ръчна помпа за подкачване ДИЗЕЛ - 12мм / 90 градуса. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ръчна помпа за подкачване ДИЗЕЛ - 12мм / 90 градуса
<h4>Характеристики</h4>
<ul>
	
	<li>Подкачваща помпа за дизел.</li>
	<li>Помпата е с алуминиеви накрайници.</li>
	<li>Размер: 12мм</li>
	<li>Материал: Гума</li>
	<li>90<sup>о</sup></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Помпи за гориво","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","882","Ръчна помпа за подкачване ДИЗЕЛ - 12мм / 90 градуса","Ръчна помпа за подкачване ДИЗЕЛ - 12мм / 90 градуса. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","43025-P","Ръчна помпа за подкачване ДИЗЕЛ - 6мм","1","0","visible","Ръчна помпа за подкачване ДИЗЕЛ - 6мм. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ръчна помпа за подкачване ДИЗЕЛ - 6мм
<h4>Характеристики</h4>
<ul>
	
	<li>Подкачваща помпа за дизел.</li>
	<li>Помпата е с алуминиеви накрайници.</li>
	<li>Размер: 6мм</li>
	<li>Материал: Гума</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Аксесоари, Аксесоари > Помпи за гориво","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","882","Ръчна помпа за подкачване ДИЗЕЛ - 6мм","Ръчна помпа за подкачване ДИЗЕЛ - 6мм. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","43020-P","Ръчна помпа за подкачване ДИЗЕЛ - 8мм","1","0","visible","Ръчна помпа за подкачване ДИЗЕЛ - 8мм. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ръчна помпа за подкачване ДИЗЕЛ - 8мм
<h4>Характеристики</h4>
<ul>
	
	<li>Подкачваща помпа за дизел.</li>
	<li>Помпата е с алуминиеви накрайници.</li>
	<li>Размер: 8мм</li>
	<li>Материал: Гума</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Аксесоари, Аксесоари > Помпи за гориво","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","882","Ръчна помпа за подкачване ДИЗЕЛ - 8мм","Ръчна помпа за подкачване ДИЗЕЛ - 8мм. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","43021-P","Ръчна помпа за подкачване ДИЗЕЛ - 12мм","1","0","visible","Ръчна помпа за подкачване ДИЗЕЛ - 12мм. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ръчна помпа за подкачване ДИЗЕЛ - 12мм
<h4>Характеристики</h4>
<ul>
	
	<li>Подкачваща помпа за дизел.</li>
	<li>Помпата е с алуминиеви накрайници.</li>
	<li>Размер: 12мм</li>
	<li>Материал: Гума</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Аксесоари, Аксесоари > Помпи за гориво","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","882","Ръчна помпа за подкачване ДИЗЕЛ - 12мм","Ръчна помпа за подкачване ДИЗЕЛ - 12мм. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","43009-P","Помпа ръчна за преливане на течности - 38123","1","0","visible","Помпа ръчна за преливане на течности - 38123. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Помпа ръчна за преливане на течности - 38123
<h4>Характеристики</h4>
<ul>
	
	<li>Ръчна помпа за прехвърляне на течности като дизел, бензин, масло, вода и т.н.</li>
	<li>Материал: гума&nbsp;</li>
	<li>Цвят на помпата: черен&nbsp;</li>
	<li>Прозрачен маркуч</li>
	<li><strong>Размери</strong>:
	<ul>
		<li>Вътрешен диаметър&nbsp;на&nbsp;маркуча:&nbsp;5мм</li>
		<li>Външен диаметър на&nbsp;маркуча: 7мм</li>
		<li>Диаметър на помпата: 53мм</li>
		<li>Цялостна дължина на маркуча: 190мм</li>
	</ul>
	</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Аксесоари, Аксесоари > Помпи за гориво","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","882","Помпа ръчна за преливане на течности - 38123","Помпа ръчна за преливане на течности - 38123. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","43024-P","Помпа ръчна за масло - 6003","1","0","visible","Помпа ръчна за масло - 6003. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Помпа ръчна за масло - 6003
<h4>Характеристики</h4>
<ul>
	
	<li>Полезна при прехвърляне на масло, вода, антифриз, химикали и почти всякаква течност.</li>
	<li>Ръчната помпа е лесна за употреба и съхранение.</li>
	<li>Начин на употреба.</li>
	<li>Поставете един от двата накрайника.</li>
	<li>Махнете маркуча от накрайника на помпата.</li>
	<li>Освободете дюзата и буталото,като завъртите помпата обратно на часовниковата стрелка.</li>
	<li>Отворете тубата, поставете маркуча вътре и затегнете капачката на помпата.</li>
	<li>Поставете здраво накрайника за захващане в тубата.</li>
	<li>Уверете се че скобата е стегната преди да започнете преливането.</li>
	<li>Натиснете помпата надолу,за да започнете.</li>
</ul>
<p>&nbsp;</p>","","","taxable","","1","","","0","0","","","","","1","","","9","Аксесоари, Аксесоари > Помпи за гориво","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","882","Помпа ръчна за масло - 6003","Помпа ръчна за масло - 6003. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","43008-P","Помпа за гориво - 1512","1","0","visible","Помпа за гориво - 1512. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Помпа за гориво - 1512
<h4>Характеристики</h4>
<ul>
	
	<li>Устойчива на корозия метал.</li>
	<li>Идеален инструмент при източване на гориво, аквариуми и много други.</li>
	<li>Дължина: 1.8 метра.</li>
	<li>Вътрешен диаметър на маркуча Ø 15 мм.</li>
	<li>Дебелина: ~1.7 мм.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","14","Аксесоари, Аксесоари > Помпи за гориво","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","882","Помпа за гориво - 1512","Помпа за гориво - 1512. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","43011-P","Електрическа помпа за гориво 12V - 3011","1","0","visible","Електрическа помпа за гориво 12V - 3011. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Електрическа помпа за гориво 12V - 3011
<h4>Характеристики</h4>
<ul>
	
	<li>Корпус на помпата: неръждаема стомана.</li>
	<li>Мотор: 8500 об./мин.</li>
	<li>Потребление на ток: 0.2А.</li>
	<li>Производителност: 12л./мин.</li>
	<li>Максимална височина:</li>
	<li>Покачване на течноста-3м.</li>
	<li>Диаметър на маркуча: 16мм.</li>
	<li>Диаметър на помпата: 38мм.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","22","Аксесоари, Аксесоари > Помпи за гориво","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","882","Електрическа помпа за гориво 12V - 3011","Електрическа помпа за гориво 12V - 3011. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
