Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","44123-P","Поставка за чаша - YI-16 синя","1","0","visible","Поставка за чаша - YI-16 синя. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за чаша - YI-16 синя
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална поставка за чашa с двойнолепящо.</li>
	<li>Монтира се на гладки повърхности, след залепянето на поставката, трябва да се остави празна 12 часа за по-добро прилепване.</li>
	<li>Дъното на поставката е покрита с мек материал, който обира вибрациите и намаля опасноста от разливане на напитката.</li>
	<li>Материал: Пластмаса.</li>
	<li>Цвят: Светло син.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","3","Аксесоари, Аксесоари > Поставки за чаша","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","892","Поставка за чаша - YI-16 синя","Поставка за чаша - YI-16 синя. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","44244-P","Поставка за чаша - AC-020 Сива","1","0","visible","Поставка за чаша - AC-020 Сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за чаша - AC-020 Сива
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална поставка за чаша.</li>
	<li>Закрепва се чрез лепенка към таблото.</li>
	<li>Дъното на поставката е покрита с мек материал, който обира вибрациите и намаля опасността от разливане на напитката.</li>
	<li>Материал: Пластмаса.</li>
	<li>Цвят: Сив.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Аксесоари, Аксесоари > Поставки за чаша","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","892","Поставка за чаша - AC-020 Сива","Поставка за чаша - AC-020 Сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","44242-P","Поставка за чаша - AC-020 червена","1","0","visible","Поставка за чаша - AC-020 червена. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за чаша - AC-020 червена
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална поставка за чаша.</li>
	<li>Закрепва се чрез лепенка към таблото.</li>
	<li>Дъното на поставката е покрита с мек материал, който обира вибрациите и намаля опасността от разливане на напитката.</li>
	<li>Материал: Пластмаса.</li>
	<li>Цвят: Червен.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Аксесоари, Аксесоари > Поставки за чаша","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","892","Поставка за чаша - AC-020 червена","Поставка за чаша - AC-020 червена. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","4409-P","Поставка за чаша - AC-020","1","0","visible","Поставка за чаша - AC-020. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за чаша - AC-020
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална поставка за чаша.</li>
	<li>Закрепва се чрез лепенка към таблото.</li>
	<li>Дъното на поставката е покрита с мек материал, който обира вибрациите и намаля опасността от разливане на напитката.</li>
	<li>Материал: Пластмаса.</li>
	<li>Цвят: Черен.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Аксесоари, Аксесоари > Поставки за чаша","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","892","Поставка за чаша - AC-020","Поставка за чаша - AC-020. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","44251-P","Поставка за чаша - черна","1","0","visible","Поставка за чаша - черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за чаша - черна
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят: черен.</li>
	<li>Класическа поставка за чаша.</li>
	<li>Закача се на вратата на автомобила.</li>
	<li>Предназначена за стандартни чаши с размер максимум до 70мм диаметър.</li>
	<li>Материал: Пластмаса.<br>
	<br>
	<span style=""color: #ff0000;""><strong>Посочената цена е за 1 брой.</strong></span></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","1","Аксесоари, Аксесоари > Поставки за чаша","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","892","Поставка за чаша - черна","Поставка за чаша - черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","44254-P","Поставка за чаша - сива","1","0","visible","Поставка за чаша - сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за чаша - сива
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят: сив.</li>
	<li>Класическа поставка за чаша.</li>
	<li>Закача се на вратата на автомобила.</li>
	<li>Предназначена за стандартни чаши с размер максимум до 70мм диаметър.</li>
	<li>Материал: Пластмаса.<br>
	<br>
	<span style=""color: #ff0000;""><strong>Посочената цена е за 1 брой.</strong></span></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","1","Аксесоари, Аксесоари > Поставки за чаша","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","892","Поставка за чаша - сива","Поставка за чаша - сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","44252-P","Поставка за чаша - синя","1","0","visible","Поставка за чаша - синя. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за чаша - синя
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят: син.</li>
	<li>Класическа поставка за чаша.</li>
	<li>Закача се на вратата на автомобила.</li>
	<li>Предназначена за стандартни чаши с размер максимум до 70мм диаметър.</li>
	<li>Материал: Пластмаса.<br>
	<br>
	<span style=""color: #ff0000;""><strong>Посочената цена е за 1 брой.</strong></span></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","1","Аксесоари, Аксесоари > Поставки за чаша","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","892","Поставка за чаша - синя","Поставка за чаша - синя. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","44253-P","Поставка за чаша - червена","1","0","visible","Поставка за чаша - червена. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за чаша - червена
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят: Червен.</li>
	<li>Класическа поставка за чаша.</li>
	<li>Закача се на вратата на автомобила.</li>
	<li>Предназначена за стандартни чаши с размер максимум до 70мм диаметър.</li>
	<li>Материал: Пластмаса.<br>
	<br>
	<span style=""color: #ff0000;""><strong>Посочената цена е за 1 брой.</strong></span></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","1","Аксесоари, Аксесоари > Поставки за чаша","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","892","Поставка за чаша - червена","Поставка за чаша - червена. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","44205-P","Поставка за чаша - 1002","1","0","visible","Поставка за чаша - 1002. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за чаша - 1002
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална поставка за чаша.</li>
	<li>Закрепва се със скоби към въздуховодите (парното) на автомобила.</li>
	<li>Перфектна устойчивост и стабилност.</li>
	<li>Материал: Пластмаса.</li>
	<li>Цвят:сив, син, черен, червен.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Аксесоари, Аксесоари > Поставки за чаша","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","892","Поставка за чаша - 1002","Поставка за чаша - 1002. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","4474-P","Поставка за чаша HS-57","1","0","visible","Поставка за чаша HS-57. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за чаша HS-57
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална поставка за чаша.</li>
	<li>Закрепва се със скоби към въздуховодите(парното) на автомобила.</li>
	<li>Перфектна устойчивост и стабилност.</li>
	<li>Материал: Пластмаса.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","3","Аксесоари, Аксесоари > Поставки за чаша","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","892","Поставка за чаша HS-57","Поставка за чаша HS-57. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
