Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","46046-P","Разклонител за запалка - 2603","1","0","visible","Разклонител за запалка - 2603. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Разклонител за запалка - 2603
<h4>Характеристики</h4>
<ul>
	
	<li>Разклонител с едно гнездо&nbsp;за запалка на МПС.</li>
	<li>Възможност за включване на две устройства чрез USB.</li>
	<li>Стилен и изчистен дизайн.</li>
	<li>Гумено капаче, против влага.</li>
	<li>Може да се използва за зареждане на мобилен телефон, навигация, таблет,видеорегистратори и др.</li>
	<li>2 USB порта разположени в горната част (2x5V Max 2A)</li>
	<li>Входно напрежение: 12V/24V.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Разклонители за запалка","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","891","Разклонител за запалка - 2603","Разклонител за запалка - 2603. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","46039-P","Разклонител за запалка 0652 с 2 гнезда","1","0","visible","Разклонител за запалка 0652 с 2 гнезда. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Разклонител за запалка 0652 с 2 гнезда
<h4>Характеристики</h4>
<ul>
	
	<li>Гнездо за запалка - 2 броя.</li>
	<li>Цвят: Черен.</li>
	<li>Дължина кабел: 300 мм</li>
	<li>Входно напрежение: 12/24V.</li>
	<li>максимален изходен ток: до 10A (общо)</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Аксесоари, Аксесоари > Разклонители за запалка","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","891","Разклонител за запалка 0652 с 2 гнезда","Разклонител за запалка 0652 с 2 гнезда. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","46057-P","Разклонител за запалка 3-ка + 2 USB 1636","1","0","visible","Разклонител за запалка 3-ка + 2 USB 1636. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Разклонител за запалка 3-ка + 2 USB 1636
<h4>Характеристики</h4>
<ul>
	
	<li>USB изход за зареждане на мобилни телефони: GPS, PDA, iPod, MP3 плеъри и др.</li>
	<li>Светодиодни бутони за&nbsp;включване захранването на изхода.</li>
	<li>Входящо напрежение: 12V/24V;</li>
	<li>Изходящо: 43роя гнезда запалка 100W (общо);</li>
	<li>Лед подсветка на гнездата;</li>
	<li>Изходящо USB: 5V, 3100mA;</li>
	<li>Работна температура: 0-60°С;</li>
	<li>Дължина на кабела: ~ 60 см;</li>
	<li>Вграден бушон в куплунга за запалката;</li>
	<li>Цвят - черен.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","11","Аксесоари, Аксесоари > Разклонители за запалка","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","891","Разклонител за запалка 3-ка + 2 USB 1636","Разклонител за запалка 3-ка + 2 USB 1636. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","46056-P","Разклонител за запалка 3-ка+волтметър 1634","1","0","visible","Разклонител за запалка 3-ка+волтметър 1634. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Разклонител за запалка 3-ка+волтметър 1634
<h4>Характеристики</h4>
<ul>
	
	<li>USB изход за зареждане на мобилни телефони: PDA, iPod, MP3 плеъри и др.</li>
	<li>Бурон за включване/изключване.</li>
	<li>Работно напрежение: 5V / 3100mA.</li>
	<li>3 броя стандартни гнезда за запалка с напрежение 12V-24V.</li>
	<li>Работен ток - 3.1 A</li>
	<li>Мощност - 120 W</li>
	<li>Материал - пластмаса</li>
	<li>Черен: цвят</li>
	<li>Дължина на захранващия кабел - приблизително 1 м.</li>
	<li>Работна температура: 0-60 градуса.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","24","Аксесоари, Аксесоари > Разклонители за запалка","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","891","Разклонител за запалка 3-ка+волтметър 1634","Разклонител за запалка 3-ка+волтметър 1634. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","46058-P","Разклонител за запалка 4-ка + 2 USB 1504","1","0","visible","Разклонител за запалка 4-ка + 2 USB 1504. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Разклонител за запалка 4-ка + 2 USB 1504
<h4>Характеристики</h4>
<ul>
	
	<li>USB изход за зареждане на мобилни телефони: GPS, PDA, iPod, MP3 плеъри и др.</li>
	<li>Светодиодни бутони за&nbsp;включване захранването на изхода.</li>
	<li>Входящо напрежение: 12V/24V;</li>
	<li>Изходящо: 4 броя гнезда запалка 120W (общо);</li>
	<li>Лед подсветка на гнездата;</li>
	<li>Изходящо USB: 5V, 3100mA;</li>
	<li>Работна температура: 0-60°С;</li>
	<li>Дължина на кабела: ~ 70 см;</li>
	<li>Вграден бушон в куплунга за запалката;</li>
	<li>Цвят - черен.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","19","Аксесоари, Аксесоари > Разклонители за запалка","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","891","Разклонител за запалка 4-ка + 2 USB 1504","Разклонител за запалка 4-ка + 2 USB 1504. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","46055-P","Разклонител за запалка 2-ка+USB 1645","1","0","visible","Разклонител за запалка 2-ка+USB 1645. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Разклонител за запалка 2-ка+USB 1645
<h4>Характеристики</h4>
<ul>
	
	<li>Двоен разклонител на запалката за зареждане на таблети, навигации, телефони, игри и др.</li>
	<li>Синя LED лампа</li>
	<li>Вграден предпазител.</li>
	<li>Работно напрежение: 5V/1000mA</li>
	<li>2 броя стандартни гнезда за запалка с напрежение 12V-24V.</li>
	<li>Мощност: 100W</li>
	<li>Макс. ток: 5А</li>
	<li>Дължина на кабела: 60см.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Аксесоари, Аксесоари > Разклонители за запалка","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","891","Разклонител за запалка 2-ка+USB 1645","Разклонител за запалка 2-ка+USB 1645. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","46051-P","Разклонител за запалка 047 / 2 гнезда 12-24V","1","0","visible","Разклонител за запалка 047 / 2 гнезда 12-24V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Разклонител за запалка 047 / 2 гнезда 12-24V
<h4>Характеристики</h4>
<ul>
	
	<li>Двойните контакти ви предлагат повече възможности, по -удобни и практични!</li>
	<li>2 броя стандартни гнезда за запалка с напрежение 12V-24V.</li>
	<li>Лесен монтаж и употреба.</li>
	<li>Вграден предпазител..</li>
	<li>Размери на артикула: 8,5 * 4,55 * 5,55 см</li>
	<li>Дължина на кабела- приблизително 20см.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","9","Аксесоари, Аксесоари > Разклонители за запалка","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","891","Разклонител за запалка 047 / 2 гнезда 12-24V","Разклонител за запалка 047 / 2 гнезда 12-24V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","46048-P","Разклонител за запалка с 2 гнезда - 14119","1","0","visible","Разклонител за запалка с 2 гнезда - 14119. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Разклонител за запалка с 2 гнезда - 14119
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 5V/500mA.</li>
	<li>2 броя стандартни гнезда за запалка с напрежение 12V-24V.</li>
	<li>Вграден предпазител..</li>
	<li>Изходна мощност -60W</li>
	<li>Дължина на кабела- приблизително 70см.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Аксесоари, Аксесоари > Разклонители за запалка","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","891","Разклонител за запалка с 2 гнезда - 14119","Разклонител за запалка с 2 гнезда - 14119. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182438-P","Удължител за запалка 12V - 1888","1","0","visible","Удължител за запалка 12V - 1888. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Удължител за запалка 12V - 1888
<h4>Характеристики</h4>
<ul>
	
	<li><strong>Удължител за запалка 12V</strong></li>
	<li><b>Максимум: 10амп.</b></li>
	<li><b>Подходящо за всички видове МПС, Лодки, Каравани</b></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Аксесоари, Аксесоари > Разклонители за запалка","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","891","Удължител за запалка 12V - 1888","Удължител за запалка 12V - 1888. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","46005-P","Разклонител за запалка с 2 гнезда - 39062","1","0","visible","Разклонител за запалка с 2 гнезда - 39062. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Разклонител за запалка с 2 гнезда - 39062
<h4>Характеристики</h4>
<ul>
	
	<li>Възможност за захранване на две устройства - смартфон, таблет, навигация и други.</li>
	<li>2 броя стандартни гнезда за запалка с напрежение 12V-24V.</li>
	<li>С вграден предпазител с цел по-голяма сигурност и безопасност.</li>
	<li>Работна температура: 0°C ~ 60°C</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Аксесоари, Аксесоари > Разклонители за запалка","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","891","Разклонител за запалка с 2 гнезда - 39062","Разклонител за запалка с 2 гнезда - 39062. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
