Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","441019-P","Поставка за телефон - 2080 черна","1","0","visible","Поставка за телефон - 2080 черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за телефон - 2080 черна
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална стойка за телефон с вакуум и удължено рамо, за по-добра видимост.</li>
	<li>Поставката е съвместима за всички модели телефони и GPS устройства, както и за някой модели таблети.</li>
	<li>Поставката може да бъде закрепена както върху стъкло, така и върху гладки повърхности като таблото на автомобил, бюро и т.н.</li>
	<li>Изключително лесно поставяне и премахване на телефона от поставката.</li>
	<li>Завъртане 360° на рамото за възможно най-удобния за Вас изглед към стойката.</li>
	<li>Материал: пластмаса.</li>
	<li>Цвят: Черен.</li>
	<li>Изработена от висококачествена пластмаса.</li>
	<li>Съвместим с : ширина на мобилния телефон 65-100 мм</li>
	<li>Диаметър на вендузата: 65мм</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","13","Аксесоари, Аксесоари > Стойки за телефон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","893","Поставка за телефон - 2080 черна","Поставка за телефон - 2080 черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","441021-P","Поставка за телефон 466","1","0","visible","Поставка за телефон 466. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за телефон 466
<h4>Характеристики</h4>
<ul>
	
	<li>Стойка за телефон с удобен и красив дизайн, много гъвкава и удобна.</li>
	<li>Поставката може да бъде закрепена както върху стъкло, така и върху гладки повърхности като таблото на автомобил, бюро и т.н.</li>
	<li>Завъртане 360° на рамото за възможно най-удобния за Вас изглед към стойката.</li>
	<li>Изработена от висококачествена пластмаса.</li>
	<li>Подходящ за устройство с ширина:&nbsp;60-105 мм</li>
	<li>Диаметър на вендузата: 70 мм.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","16","Аксесоари, Аксесоари > Стойки за телефон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","893","Поставка за телефон 466","Поставка за телефон 466. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","441020-P","Поставка за телефон 2433","1","0","visible","Поставка за телефон 2433. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за телефон 2433
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална стойка за телефон с вакуум и удължено рамо, за по-добра видимост.</li>
	<li>Поставката е съвместима за всички модели телефони и GPS устройства, както и за някой модели таблети.</li>
	<li>Поставката може да бъде закрепена както върху стъкло, така и върху гладки повърхности като таблото на автомобил, бюро и т.н.</li>
	<li>Завъртане 360° на рамото за възможно най-удобния за Вас изглед към стойката.</li>
	<li>Подсилен вариант с перфектна устойчивост и стабилност.</li>
	<li>Изработена от висококачествена пластмаса.</li>
	<li>Подходящ за устройство с ширина:&nbsp;60-90 мм</li>
	<li>Диаметър на вендузата: 65 мм.</li>
	<li>Материал: пластмаса.</li>
	<li>Цвят: Черен.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","13","Аксесоари, Аксесоари > Стойки за телефон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","893","Поставка за телефон 2433","Поставка за телефон 2433. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","441008-P","Поставка за телефон на МПС 2090","1","0","visible","Поставка за телефон на МПС 2090. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за телефон на МПС 2090
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална стойка за телефон с вакуум и разтегателно рамо.</li>
	<li>Поставката е съвместима с телефони и GPS устройства до 7"".</li>
	<li>Регулируема височина на монтиране на телефона и автоматично затваряне.</li>
	<li>Поставката може да бъде закрепена както върху стъкло, така и върху гладки повърхности като таблото на автомобил, бюро и т.н.</li>
	<li>Изключително лесно поставяне и премахване на телефона от поставката.</li>
	<li>Завъртане 360° на рамото.</li>
	<li>Материал: пластмаса.</li>
	<li>Цвят: Черен.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Аксесоари, Аксесоари > Стойки за телефон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","893","Поставка за телефон на МПС 2090","Поставка за телефон на МПС 2090. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","441013-P","Поставка за телефон на МПС 97","1","0","visible","Поставка за телефон на МПС 97. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за телефон на МПС 97
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална стойка за телефон с вакуум и разтегателно рамо.</li>
	<li>Поставката е съвместима с телефони и GPS устройства до 7"".</li>
	<li>Регулируема височина на монтиране на телефона и автоматично затваряне.</li>
	<li>Поставката може да бъде закрепена както върху стъкло, така и върху гладки повърхности като таблото на автомобил, бюро и т.н.</li>
	<li>Изключително лесно поставяне и премахване на телефона от поставката.</li>
	<li>Завъртане 360° на рамото.</li>
	<li>Материал: пластмаса.</li>
	<li>Цвят: Черен.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Стойки за телефон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","893","Поставка за телефон на МПС 97","Поставка за телефон на МПС 97. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","441010-P","Поставка за телефон магнитна 2023","1","0","visible","Поставка за телефон магнитна 2023. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за телефон магнитна 2023
<h4>Характеристики</h4>
<ul>
	
	<li>Магнитна поставка&nbsp;за мобилни устройства.</li>
	<li>Изработена от висококачествена пластмаса и&nbsp;силиконова гума.</li>
	<li>Изключително лесно поставяне и премахване на телефона от поставката.</li>
	<li>Със щипка за монтаж на въздуховодите в автомобила.</li>
	<li>Включени 2 броя магнита със силен захват.</li>
	<li>Размери 52 х 42 мм.</li>
	<li>Цвят: Черен.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Аксесоари, Аксесоари > Стойки за телефон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","893","Поставка за телефон магнитна 2023","Поставка за телефон магнитна 2023. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","441011-P","Поставка за телефон магнитна 0730","1","0","visible","Поставка за телефон магнитна 0730. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за телефон магнитна 0730
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална стойка за мобилни устройства с вакуум.</li>
	<li>Поставката може да бъде закрепена както върху стъкло, така и върху гладки повърхности като таблото на автомобил, бюро и т.н.</li>
	<li>Изключително лесно поставяне и премахване на телефона от поставката.</li>
	<li>Материал: пластмаса.</li>
	<li>Цвят: Черен.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","11","Аксесоари, Аксесоари > Стойки за телефон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","893","Поставка за телефон магнитна 0730","Поставка за телефон магнитна 0730. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","441012-P","Поставка за телефон - 017","1","0","visible","Поставка за телефон - 017. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за телефон - 017
<h4>Характеристики</h4>
<ul>
	
	<li>Универсалната регулируема стойка, която&nbsp;пасва на повечето смартфони и навигационни устройства с размер&nbsp;от 4 до 7 инча.</li>
	<li>Завъртане на 360 градуса, превключване между хоризонтални и вертикални екрани.</li>
	<li>С пружинна катарама, може да се постави на таблото на колата, сенника, огледалото за обратно виждане.</li>
	<li>Лесен и бърз монтаж.</li>
	<li>Изработена от издръжлива пластмаса с мека, неплъзгаща се силиконова подложка.</li>
	<li>Цвят: Черен</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Стойки за телефон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","893","Поставка за телефон - 017","Поставка за телефон - 017. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","441023-P","Поставка за телефон 05","1","0","visible","Поставка за телефон 05. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за телефон 05
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална стойка за телефон с вакуум и удължено рамо, за по-добра видимост.</li>
	<li>Поставката е съвместима за всички модели телефони и GPS устройства, както и за някой модели таблети.</li>
	<li>Поставката може да бъде закрепена както върху стъкло, така и върху гладки повърхности като таблото на автомобил, бюро и т.н.</li>
	<li>Завъртане 360° на рамото за възможно най-удобния за Вас изглед към стойката.</li>
	<li>Подсилен вариант с перфектна устойчивост и стабилност.</li>
	<li>Материал: пластмаса.</li>
	<li>Цвят: Черен.</li>
	<li>Изработена от висококачествена пластмаса.</li>
	<li>Подходящ за устройство с ширина:&nbsp;51-90 мм</li>
	<li>Диаметър на вендузата: 70 мм.</li>
	<li>Гъвкаво рамо 300мм</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","16","Аксесоари, Аксесоари > Стойки за телефон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","893","Поставка за телефон 05","Поставка за телефон 05. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","441022-P","Поставка за телефон 06","1","0","visible","Поставка за телефон 06. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Поставка за телефон 06
<h4>Характеристики</h4>
<ul>
	
	<li>Универсална стойка за телефон с вакуум и удължено рамо, за по-добра видимост.</li>
	<li>Поставката е съвместима за всички модели телефони и GPS устройства, както и за някой модели таблети.</li>
	<li>Поставката може да бъде закрепена както върху стъкло, така и върху гладки повърхности като таблото на автомобил, бюро и т.н.</li>
	<li>Завъртане 360° на рамото за възможно най-удобния за Вас изглед към стойката.</li>
	<li>Подсилен вариант с перфектна устойчивост и стабилност.</li>
	<li>Материал: пластмаса.</li>
	<li>Цвят: Черен.</li>
	<li>Изработена от висококачествена пластмаса.</li>
	<li>Подходящ за устройство с ширина:&nbsp;51-90 мм</li>
	<li>Диаметър на вендузата: 70 мм.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","16","Аксесоари, Аксесоари > Стойки за телефон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","893","Поставка за телефон 06","Поставка за телефон 06. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
