Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","54001-P","Силиконова четка - 2904","1","0","visible","Силиконова четка - 2904. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Силиконова четка - 2904
<h4>Характеристики</h4>
<ul>
	
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Служи за по-добро отмиване на водата и бързо изсъхване на целия автомобил след измиване.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Подходяща за професионална употреба.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Високо качество на изработка.<br>
	<br>
	<strong>Размери</strong><br>
	Дължина: 25см<br>
	Ширина: 8.5см</span></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","6","Аксесоари, Аксесоари > Стъргалки и четки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","881","Силиконова четка - 2904","Силиконова четка - 2904. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","5426-P","Силиконова четка 3392","1","0","visible","Силиконова четка 3392. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Силиконова четка 3392
<h4>Характеристики</h4>
<ul>
	
	<li>Силиконова четка за подсушаване на коли и всякакви други мокри повърхности.</li>
	<li>Подходяща за професионална употреба.</li>
	<li>Високо качество на изработка.</li>
</ul>
<p>&nbsp;</p>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Стъргалки и четки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","881","Силиконова четка 3392","Силиконова четка 3392. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","54023-P","Силиконова четка - 1102","1","0","visible","Силиконова четка - 1102. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Силиконова четка - 1102
<h4>Характеристики</h4>
<ul>
	
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Служи за по-добро отмиване на водата и бързо изсъхване на целия автомобил след измиване.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Меко острие,което не надрасква повърхността.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Подходяща за професионална употреба.</span></li>
	<li style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Високо качество на изработка.</li>
</ul>
<ul>
	<li style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Дължина: 30см.</li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Широчина&nbsp;на почистващата част: 4.5см.</span></li>
	<li><font face=""verdana, geneva, sans-serif""><span style=""font-size: 13.3333px;"">Широчина:12см.</span></font></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","6","Аксесоари, Аксесоари > Стъргалки и четки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","881","Силиконова четка - 1102","Силиконова четка - 1102. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","54040-P","Четка за почистване на прах-2371","1","0","visible","Четка за почистване на прах-2371. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Четка за почистване на прах-2371
<h4>Характеристики</h4>
<ul>
	
	<li>Професионална памучна четка за прах.</li>
	<li>Отлична за вътрешно и външно почистване.</li>
	<li>Изключително меките влакна събират прах от автомобили, камиони, лодки и каравани.</li>
	<li>Подходяща и за дома, офиса и вилата.</li>
	<li>Може да се пере в пералня.</li>
	<li>Размери: 60 см.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Аксесоари, Аксесоари > Стъргалки и четки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","881","Четка за почистване на прах-2371","Четка за почистване на прах-2371. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","54050-P","Четка за миене на автомобил Versaco 4 цвята","1","0","visible","Четка за миене на автомобил Versaco 4 цвята. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Четка за миене на автомобил Versaco 4 цвята
<h4>Характеристики</h4>
<ul>
	
	<li>Дръжка с дължина 27см.</li>
	<li>Дължина на четката: 46см</li>
	<li>Високо качество на изработка.</li>
</ul>
<p>&nbsp;</p>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Стъргалки и четки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","881","Четка за миене на автомобил Versaco 4 цвята","Четка за миене на автомобил Versaco 4 цвята. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","54002-P","Четка с разтеглива дръжка - 2117","1","0","visible","Четка с разтеглива дръжка - 2117. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Четка с разтеглива дръжка - 2117
<h4>Характеристики</h4>
<ul>
	
	<li>Гумирана лента, устойчива на UV лъчи.</li>
	<li>Дунапрен с високи абсорбиращи свойства.</li>
	<li><span>Дунапренът има високи абсорбиращи свойства и не позволява на попитата в него течност да се разлива или капе.</span></li>
	<li>Дръжка с дължина 35-65см.</li>
	<li>Работна част с широчина 20см.</li>
	<li><span>Чистачката е идеална за измиване на автостъкла.</span></li>
	<li>Високо качество на изработка.</li>
</ul>
<p>&nbsp;</p>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Стъргалки и четки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","881","Четка с разтеглива дръжка - 2117","Четка с разтеглива дръжка - 2117. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","54046-P","Четка - 1208","1","0","visible","Четка - 1208. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Четка - 1208
<h4>Характеристики</h4>
<ul>
	
	<li>Дръжката е изработена от алуминий за продължително използване, а горната й част (ръкохватката) е пластмасова с грапави елементи.&nbsp;</li>
	<li>Това подобрява захвата и не позволява изплъзване на четката.</li>
	<li>Чистачката за прозорци е снабдена с гъба, която има високи абсорбиращи свойства и не позволява на попитата в нея течност да се разлива или капе.</li>
	<li>За още по-добри резултати, четката за стъкла и прозорци притежава и гумирана лента с висока устойчивост на UV лъчи.</li>
	<li>Размери:В разтегнато положение - 112см / в сгънато положение - 70см.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Аксесоари, Аксесоари > Стъргалки и четки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","881","Четка - 1208","Четка - 1208. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","54003-P","Четка за почистване на стъкла - 9412","1","0","visible","Четка за почистване на стъкла - 9412. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Четка за почистване на стъкла - 9412
<h4>Характеристики</h4>
<ul>
	
	<li>Гумирана лента, устойчива на UV лъчи.</li>
	<li>Дунапрен с високи абсорбиращи свойства.</li>
	<li><span>Дунапренът има високи абсорбиращи свойства и не позволява на попитата в него течност да се разлива или капе.</span></li>
	<li>Дървена дръжка с дължина 50см.</li>
	<li>Работна част с широчина 20см.</li>
	<li><span>Чистачката е идеална за измиване на автостъкла.</span></li>
	<li>Високо качество на изработка.</li>
</ul>
<p>&nbsp;</p>","","","taxable","","1","","","0","0","","","","","1","","","6","Аксесоари, Аксесоари > Стъргалки и четки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","881","Четка за почистване на стъкла - 9412","Четка за почистване на стъкла - 9412. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","54012-P","Четка за почистване на стъкла - 2112","1","0","visible","Четка за почистване на стъкла - 2112. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Четка за почистване на стъкла - 2112
<h4>Характеристики</h4>
<ul>
	
	<li>Гумирана лента, устойчива на UV лъчи.</li>
	<li>Дунапрен с високи абсорбиращи свойства.</li>
	<li>Дунапренът има високи абсорбиращи свойства и не позволява на попитата в него течност да се разлива или капе.</li>
	<li>Чистачката е идеална за измиване на автостъкла.</li>
	<li>Високо качество на изработка.</li>
	<li>Размери на дръжката:
	<ul>
		<li>​В разпънато състояние: 120см.</li>
		<li>В прибрано състояние: 79см.</li>
	</ul>
	</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","11","Аксесоари, Аксесоари > Стъргалки и четки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","881","Четка за почистване на стъкла - 2112","Четка за почистване на стъкла - 2112. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","54013-P","Четка за почистване на стъкла - 2113","1","0","visible","Четка за почистване на стъкла - 2113. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Четка за почистване на стъкла - 2113
<h4>Характеристики</h4>
<ul>
	
	<li><strong>Четка за почистване на стъкла с разтеглива дръжка</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Аксесоари, Аксесоари > Стъргалки и четки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","881","Четка за почистване на стъкла - 2113","Четка за почистване на стъкла - 2113. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
