
Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","22099-P","Капачки за вентил - SPC1417A 5 БР/К-Т","1","0","visible","Капачки за вентил - SPC1417A 5 БР/К-Т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капачки за вентил - SPC1417A 5 БР/К-Т
<h4>Характеристики</h4>
<ul>
	
	<li>Капачки за вентил - SPC1417A 5 БР/К-Т</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","13","Екстериор > Вентили и капачета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","859","Капачки за вентил - SPC1417A 5 БР/К-Т","Капачки за вентил - SPC1417A 5 БР/К-Т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","185069-P","Вентил за датчик за налягане на гумите","1","0","visible","Вентил за датчик за налягане на гумите. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Вентил за датчик за налягане на гумите
<h4>Характеристики</h4>
<ul>
	
	<li>Метален вентил за безкамерни гуми на автомобил.</li>
	<li>Висококачествена изработка.</li>
	<li><strong>Вентила&nbsp;се, монтира на датчика&nbsp;в гумата.</strong></li>
	<li>Материал: алуминий.</li>
	<li><strong><span style=""color: #ff0000;"">Посочената цена е за брой.</span></strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Екстериор > Вентили и капачета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","859","Вентил за датчик за налягане на гумите","Вентил за датчик за налягане на гумите. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","0706-P","Вентил за безкамерни гуми TR414 1бр.","1","0","visible","Вентил за безкамерни гуми TR414 1бр.. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Вентил за безкамерни гуми TR414 1бр.
<h4>Характеристики</h4>
<ul>
	
	<li>Каучуковият вентил е специално разработен да устоява на озон и окислители.</li>
	<li>Вентилът е тестван при сурови метеорологични условия.</li>
	<li>Дупката на джантата трябва е гладка и без ръжда.</li>
	<li>Максимално налягане: 65 psi / 4.5 bar /.</li>
	<li>Препоръчваната дебелина на джантата при дупката за вентил е 3.96мм.</li>
	<li>При скорост над 210км/ч се препоръчват вентили със гайка.</li>
	<li><strong>Посочената цена е за 1бр.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","1","Екстериор > Вентили и капачета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","859","Вентил за безкамерни гуми TR414 1бр.","Вентил за безкамерни гуми TR414 1бр.. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182770-P","Капаче вентил 2586 - 4 цвята","1","0","visible","Капаче вентил 2586 - 4 цвята. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капаче вентил 2586 - 4 цвята
<h4>Характеристики</h4>
<ul>
	
	<li>Капаче вентил 4 бр в комплект</li>
	<li>Цвят: Зелен, Син, Червен, Златен</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Екстериор > Вентили и капачета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","859","Капаче вентил 2586 - 4 цвята","Капаче вентил 2586 - 4 цвята. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","22176-P","Капачета за вентил 4 бр/к-т 1062 - Зелено","1","0","visible","Капачета за вентил 4 бр/к-т 1062 - Зелено. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капачета за вентил 4 бр/к-т 1062 - Зелено
<h4>Характеристики</h4>
<ul>
	
	<li><strong>4бр в комплект</strong></li>
	<li>Материал - алуминий.</li>
	<li>Цвят: Зелен</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","3","Екстериор > Вентили и капачета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","859","Капачета за вентил 4 бр/к-т 1062 - Зелено","Капачета за вентил 4 бр/к-т 1062 - Зелено. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","22169-P","Капачета за вентил 4 бр/к-т 1062 - Жълто","1","0","visible","Капачета за вентил 4 бр/к-т 1062 - Жълто. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капачета за вентил 4 бр/к-т 1062 - Жълто
<h4>Характеристики</h4>
<ul>
	
	<li><strong>4бр в комплект</strong></li>
	<li>Материал - алуминий.</li>
	<li>Цвят: Жълто</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","3","Екстериор > Вентили и капачета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","859","Капачета за вентил 4 бр/к-т 1062 - Жълто","Капачета за вентил 4 бр/к-т 1062 - Жълто. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","22172-P","Капачета за вентил 4 бр/к-т 1062 - Хром","1","0","visible","Капачета за вентил 4 бр/к-т 1062 - Хром. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капачета за вентил 4 бр/к-т 1062 - Хром
<h4>Характеристики</h4>
<ul>
	
	<li><strong>4бр в комплект</strong></li>
	<li>Материал - алуминий.</li>
	<li>Цвят: Хром</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","3","Екстериор > Вентили и капачета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","859","Капачета за вентил 4 бр/к-т 1062 - Хром","Капачета за вентил 4 бр/к-т 1062 - Хром. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","22174-P","Капачета за вентил 4 бр/к-т 1062 - Кафяво","1","0","visible","Капачета за вентил 4 бр/к-т 1062 - Кафяво. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капачета за вентил 4 бр/к-т 1062 - Кафяво
<h4>Характеристики</h4>
<ul>
	
	<li><strong>4бр в комплект</strong></li>
	<li>Материал - алуминий.</li>
	<li>Цвят: Кафяв</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","3","Екстериор > Вентили и капачета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","859","Капачета за вентил 4 бр/к-т 1062 - Кафяво","Капачета за вентил 4 бр/к-т 1062 - Кафяво. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","35075-P","Накрайник антена и капачки за вентил - SPC1417A","1","0","visible","Накрайник антена и капачки за вентил - SPC1417A. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Накрайник антена и капачки за вентил - SPC1417A
<h4>Характеристики</h4>
<ul>
	
	<li>Антената е изработена от алуминий.</li>
	<li>В комплекта са включени адаптери за универсално прилягане.</li>
	<li>Предназначена е само за AM/FM и не може да се използва като заместител на GPS антена.</li>
	<li>Към комплекта са включени и капачки за вентил с логото на Sparco.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","15","Екстериор > Вентили и капачета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","859","Накрайник антена и капачки за вентил - SPC1417A","Накрайник антена и капачки за вентил - SPC1417A. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","182460-P","Капаче за вентил 462 4бр/к-т червено","1","0","visible","Капаче за вентил 462 4бр/к-т червено. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Капаче за вентил 462 4бр/к-т червено
<h4>Характеристики</h4>
<ul>
	
	<li>Материал:алуминиева сплав.</li>
	<li>Универсален дизайн, подходящ за всички модели автомобили и мотоциклети.</li>
	<li>Лесен монтаж и демонтаж.</li>
	<li>Цвят: Червен.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","3","Екстериор > Вентили и капачета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","859","Капаче за вентил 462 4бр/к-т червено","Капаче за вентил 462 4бр/к-т червено. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
