
Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","52103-P-2","Надпис R6","1","0","visible","Надпис R6. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Надпис R6
<h4>Характеристики</h4>
<ul>
	
	<li>Надпис - R6</li>
	<li>Размери: 6см х 2,5см</li>
	<li>Захват: Двойно залепващо</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Екстериор > Емблеми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","850","Надпис R6","Надпис R6. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","52103-P","Надпис R","1","0","visible","Надпис R. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Надпис R
<h4>Характеристики</h4>
<ul>
	
	<li>Надпис - R</li>
	<li>Размери: 6см х 2,5см</li>
	<li>Захват: Двойно залепващо</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Екстериор > Емблеми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","850","Надпис R","Надпис R. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","52103-P-1","Надпис Sport","1","0","visible","Надпис Sport. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Надпис Sport
<h4>Характеристики</h4>
<ul>
	
	<li>Надпис - Sport</li>
	<li>Размери: 12см х 2,5см</li>
	<li>Захват: Двойно залепващо</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Екстериор > Емблеми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","850","Надпис Sport","Надпис Sport. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","185343-P","СТИКЕР СПАРКО SPC4206 1 БРОЙ - PVC","1","0","visible","СТИКЕР СПАРКО SPC4206 1 БРОЙ - PVC. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","СТИКЕР СПАРКО SPC4206 1 БРОЙ - PVC
<h4>Характеристики</h4>
<ul>
	
	<li>Размери : 120x36mm</li>
	<li>Метериал: Алуминий</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Екстериор > Емблеми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","850","СТИКЕР СПАРКО SPC4206 1 БРОЙ - PVC","СТИКЕР СПАРКО SPC4206 1 БРОЙ - PVC. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","185342-P","СТИКЕР СПАРКО SPC4205 1 БРОЙ - PVC","1","0","visible","СТИКЕР СПАРКО SPC4205 1 БРОЙ - PVC. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","СТИКЕР СПАРКО SPC4205 1 БРОЙ - PVC
<h4>Характеристики</h4>
<ul>
	
	<li>Размери:&nbsp;120x35mm</li>
	<li>Метериал: Алуминий</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Екстериор > Емблеми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","850","СТИКЕР СПАРКО SPC4205 1 БРОЙ - PVC","СТИКЕР СПАРКО SPC4205 1 БРОЙ - PVC. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","185341-P","СТИКЕР СПАРКО SPC4203 1 БРОЙ - PVC","1","0","visible","СТИКЕР СПАРКО SPC4203 1 БРОЙ - PVC. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","СТИКЕР СПАРКО SPC4203 1 БРОЙ - PVC
<h4>Характеристики</h4>
<ul>
	
	<li>Размери : 450 x 40mm</li>
	<li>Метериал: Алуминий</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Екстериор > Емблеми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","850","СТИКЕР СПАРКО SPC4203 1 БРОЙ - PVC","СТИКЕР СПАРКО SPC4203 1 БРОЙ - PVC. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","19029-P-2","Надпис А3","1","0","visible","Надпис А3. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Надпис А3
<h4>Характеристики</h4>
<ul>
	
	<li>Размер - 90мм х 40мм</li>
	<li>Монтаж с двойно лепящо тиксо.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Екстериор > Емблеми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","850","Надпис А3","Надпис А3. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","19029-P","Надпис А4","1","0","visible","Надпис А4. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Надпис А4
<h4>Характеристики</h4>
<ul>
	
	<li>Размер - 90мм х 40мм</li>
	<li>Монтаж с двойно залепящо тиксо.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Екстериор > Емблеми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","850","Надпис А4","Надпис А4. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","19029-P-1","Надпис А6","1","0","visible","Надпис А6. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Надпис А6
<h4>Характеристики</h4>
<ul>
	
	<li>Размер - 90мм х 30мм</li>
	<li>Монтаж с двойно залепящо тиксо.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Екстериор > Емблеми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","850","Надпис А6","Надпис А6. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","1948-P","Надпис X1","1","0","visible","Надпис X1. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Надпис X1
<h4>Характеристики</h4>
<ul>
	
	<li>Размер - 120мм х 25мм</li>
	<li>Монтаж с двойно залепящо тиксо.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Екстериор > Емблеми","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","850","Надпис X1","Надпис X1. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
