Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","18108-P","Комплект поставяне на фолио PS-56","1","0","visible","Комплект поставяне на фолио PS-56. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Комплект поставяне на фолио PS-56
<h4>Характеристики</h4>
<ul>
	
	<li>Комплект от шпатули и макетни ножчета за по-лесено поставяне на фолио.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Екстериор, Екстериор > Карбоново фолио","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","840","Комплект поставяне на фолио PS-56","Комплект поставяне на фолио PS-56. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181226-P","Комплект поставяне на фолио АС - 57","1","0","visible","Комплект поставяне на фолио АС - 57. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Комплект поставяне на фолио АС - 57
<h4>Характеристики</h4>
<ul>
	
	<li>Удобен и стабилен комплект за полагане на фолио. Това е всичко което може да ви потрябва за да се справите, като професионалист.</li>
	<li>6 броя пластмасови шпакли за фолио.</li>
	<li>Бързо и лесно поставяне на фолио.</li>
	<li>Подходящ за всякакво фолио и прозорци.</li>
	<li>Различни видове шпакли.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Екстериор, Екстериор > Карбоново фолио","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","840","Комплект поставяне на фолио АС - 57","Комплект поставяне на фолио АС - 57. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62043-P","Фолио Черен Мат - широчина 1.52м","1","0","visible","Фолио Черен Мат - широчина 1.52м. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио Черен Мат - широчина 1.52м
<h4>Характеристики</h4>
<ul>
	
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Фолиото е подходящо както за интериора на Вашият автомобил, така и за екстериора му.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Фолиото е с изключително здраво и надеждно лепило, позволявайки залепването му на екстериорни детайли.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Оразмерено на гърба с квадратчета за по-лесно рязане и кроене спрямо детайла, който ще се облепя.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif;""><span style=""font-size: 10pt;"">Перфектния избор с който можете да смените облика на Вашия автомобил.</span></span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif;""><span style=""font-size: 10pt;""><strong>Размери на фолиото:&nbsp;</strong></span><span style=""font-size: 10pt;"">Широчина - 1.52м.</span></span></li>
	<li><strong><span style=""font-family: verdana, geneva, sans-serif;""><span style=""font-size: 10pt;"">Минимално количество за поръчка: 5 метра</span></span><br>
	<em>Посочената цена е за 1 метър</em></strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","13","Екстериор, Екстериор > Карбоново фолио","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","840","Фолио Черен Мат - широчина 1.52м","Фолио Черен Мат - широчина 1.52м. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62100-P","Фолио за облепяне черен металик 1.52х1м S6002","1","0","visible","Фолио за облепяне черен металик 1.52х1м S6002. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио за облепяне черен металик 1.52х1м S6002
<h4>Характеристики</h4>
<ul>
	
	<li>Фолио за облепяне е подходящо както за интериора на Вашият автомобил, така и за екстериора му.</li>
	<li>Придава тунинг вид на автомобила.</li>
	<li>Фолиото е с изключително здраво и с надеждно лепило, позволявайки залепването му на екстериорни и интериорни&nbsp;детайли.</li>
	<li>Перфектния избор с който можете да смените облика на Вашия автомобил.</li>
	<li>Широчина на фолиото:&nbsp;1,52 м.</li>
	<li><strong>Цента е за дължина 1м.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","50","Екстериор, Екстериор > Карбоново фолио","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","840","Фолио за облепяне черен металик 1.52х1м S6002","Фолио за облепяне черен металик 1.52х1м S6002. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62015-P","Фолио камуфлаж MC-01 - широчина 1.52м","1","0","visible","Фолио камуфлаж MC-01 - широчина 1.52м. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио камуфлаж MC-01 - широчина 1.52м
<h4>Характеристики</h4>
<ul>
	
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Фолио камуфлаж е подходящо както за интериора на Вашият автомобил, така и за екстериора му.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Фолиото е с изключително здраво и надеждно лепило, позволявайки залепването му на екстериорни детайли.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif; font-size: 10pt;"">Оразмерено на гърба с квадратчета за по-лесно рязане и кроене спрямо детайла, който ще се облепя.</span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif;""><span style=""font-size: 10pt;"">Перфектния избор с който можете да смените облика на Вашия автомобил.</span></span></li>
	<li><span style=""font-family: verdana, geneva, sans-serif;""><span style=""font-size: 10pt;""><strong>Размери на фолиото:&nbsp;</strong></span><span style=""font-size: 10pt;"">Широчина - 1.52м.</span></span></li>
	<li><strong>Минимално количество за поръчка: 5 метра</strong></li>
	<li><b>Посочената цена е за 1 метър</b></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","11","Екстериор, Екстериор > Карбоново фолио","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","840","Фолио камуфлаж MC-01 - широчина 1.52м","Фолио камуфлаж MC-01 - широчина 1.52м. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62045-P","Фолио камуфлаж - широчина 1.52м","1","0","visible","Фолио камуфлаж - широчина 1.52м. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио камуфлаж - широчина 1.52м
<h4>Характеристики</h4>
<ul>
	
	<li>Фолио камуфлаж е подходящо както за интериора на Вашият автомобил, така и за екстериора му.</li>
	<li>Фолиото е с изключително здраво и надеждно лепило, позволявайки залепването му на екстериорни детайли.</li>
	<li>Оразмерено на гърба с квадратчета за по-лесно рязане и кроене спрямо детайла, който ще се облепя.</li>
	<li>Перфектния избор с който можете да смените облика на Вашия автомобил.</li>
</ul>
<ul>
	<li>Широчина - 1.52</li>
	<li>Минимално количество за поръчка: 5 метра</li>
	<li>Посочената цена е за 1 метър</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","13","Екстериор, Екстериор > Карбоново фолио","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","840","Фолио камуфлаж - широчина 1.52м","Фолио камуфлаж - широчина 1.52м. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62081-P","Фолио за облепяне светло син 1.52m x 1m CST05L","1","0","visible","Фолио за облепяне светло син 1.52m x 1m CST05L. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио за облепяне светло син 1.52m x 1m CST05L
<h4>Характеристики</h4>
<ul>
	
	<li>Фолио за облепяне е подходящо както за интериора на Вашият автомобил, така и за екстериора му.</li>
	<li>Придава тунинг вид на автомобила.</li>
	<li>Фолиото е с изключително здраво и с надеждно лепило, позволявайки залепването му на екстериорни и интериорни&nbsp;детайли.</li>
	<li>Перфектния избор с който можете да смените облика на Вашия автомобил.</li>
</ul>
<ul>
	<li>Широчина - 1,52.</li>
	<li>Дължина - 1 метър.</li>
	<li><strong>Минимално количество за поръчка: 5 метра</strong></li>
	<li><strong>Цената е за 1 метър</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","22","Екстериор, Екстериор > Карбоново фолио","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","840","Фолио за облепяне светло син 1.52m x 1m CST05L","Фолио за облепяне светло син 1.52m x 1m CST05L. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62063-P","Фолио- широчина 1.52м - синьо","1","0","visible","Фолио- широчина 1.52м - синьо. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио- широчина 1.52м - синьо
<h4>Характеристики</h4>
<ul>
	
	<li>Фолио за облепяне е подходящо както за интериора на Вашият автомобил, така и за екстериора му.</li>
	<li>Придава тунинг вид на автомобила</li>
	<li>Фолиото е с изключително здраво и с надеждно лепило, позволявайки залепването му на екстериорни и интериорни&nbsp;детайли.</li>
	<li>Перфектния избор с който можете да смените облика на Вашия автомобил.</li>
	<li>Перфектния избор с който можете да смените облика на Вашия автомобил.</li>
	<li>Размери на фолиото:</li>
</ul>
<ol>
	<li>Широчина - 1,52.</li>
	<li>Дължина на ролката - 18&nbsp;метъра.</li>
	<li><strong>Минимално количество за поръчка: 5 метра</strong></li>
	<li><em><strong>Посочената цена е за 1 метър</strong></em></li>
</ol>","","","taxable","","1","","","0","0","","","","","1","","","17","Екстериор, Екстериор > Карбоново фолио","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","840","Фолио- широчина 1.52м - синьо","Фолио- широчина 1.52м - синьо. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62078-P","Фолио за облепяне лимонено зелено 1.52m x 1m CST04","1","0","visible","Фолио за облепяне лимонено зелено 1.52m x 1m CST04. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио за облепяне лимонено зелено 1.52m x 1m CST04
<h4>Характеристики</h4>
<ul>
	
	<li>Фолио за облепяне е подходящо както за интериора на Вашият автомобил, така и за екстериора му.</li>
	<li>Придава тунинг вид на автомобила</li>
	<li>Фолиото е с изключително здраво и с надеждно лепило, позволявайки залепването му на екстериорни и интериорни&nbsp;детайли.</li>
	<li>Перфектния избор с който можете да смените облика на Вашия автомобил.</li>
</ul>
<ul>
	<li>Широчина - 1,52.</li>
	<li>Дължина - 1 метър.</li>
	<li><strong>Минимално количество за поръчка: 5 метра</strong></li>
	<li><strong>Цената е за 1 метър</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","22","Екстериор, Екстериор > Карбоново фолио","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","840","Фолио за облепяне лимонено зелено 1.52m x 1m CST04","Фолио за облепяне лимонено зелено 1.52m x 1m CST04. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62082-P","Фолио за облепяне червен мат 1.52m x 1m CST01","1","0","visible","Фолио за облепяне червен мат 1.52m x 1m CST01. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио за облепяне червен мат 1.52m x 1m CST01
<h4>Характеристики</h4>
<ul>
	
	<li>Фолио за облепяне е подходящо както за интериора на Вашият автомобил, така и за екстериора му.</li>
	<li>Придава тунинг вид на автомобила</li>
	<li>Фолиото е с изключително здраво и с надеждно лепило, позволявайки залепването му на екстериорни и интериорни&nbsp;детайли.</li>
	<li>Перфектния избор с който можете да смените облика на Вашия автомобил.</li>
</ul>
<p>Размери на фолиото:</p>
<ul>
	<li>Широчина - 1,52.</li>
	<li>Дължина - 1 метър.</li>
	<li><strong>Минимално количество за поръчка: 5 метра</strong></li>
	<li><strong>Цената е за 1 метър</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","22","Екстериор, Екстериор > Карбоново фолио","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","840","Фолио за облепяне червен мат 1.52m x 1m CST01","Фолио за облепяне червен мат 1.52m x 1m CST01. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
