
Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","352004-P","Накрайник за ауспух 2029","1","0","visible","Накрайник за ауспух 2029. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Накрайник за ауспух 2029
<h4>Характеристики</h4>
<ul>
	
	<li>Универсален накрайник за ауспух изработен от никелиран метал.</li>
	<li>Начин на монтиране: чрез болтове.</li>
	<li>Придава спортен вид на вашият автомобил.</li>
	<li>Диаметър на входа: ф60 мм</li>
	<li>Дължина: 140мм</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","16","Екстериор > Накрайници за ауспух","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","860","Накрайник за ауспух 2029","Накрайник за ауспух 2029. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","35123-P","Универсален Накрайник за Ауспух 442A 1бр.","1","0","visible","Универсален Накрайник за Ауспух 442A 1бр.. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Универсален Накрайник за Ауспух 442A 1бр.
<h4>Характеристики</h4>
<ul>
	
	<li>Накрайникът е изработен от никелиран метал.</li>
	<li>Начин на монтиране: чрез скоба.</li>
	<li>След монтажа накрайника ще придаде спортен вид на автомобила.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","34","Екстериор > Накрайници за ауспух","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","860","Универсален Накрайник за Ауспух 442A 1бр.","Универсален Накрайник за Ауспух 442A 1бр.. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","1614-P","Декорация за броня ауспух","1","0","visible","Декорация за броня ауспух. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декорация за броня ауспух
<h4>Характеристики</h4>
<ul>
	
	<li>Декорация за задна броня, имитираща ауспух.</li>
	<li>Лесна инсталация и демонтаж,&nbsp;монтира се с двойнолепяща лепенка върху бронята.</li>
	<li>Цвят: Никел</li>
	<li>Материал - пластмаса.</li>
	<li>Размери: 10см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Екстериор > Накрайници за ауспух","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","860","Декорация за броня ауспух","Декорация за броня ауспух. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","35145-P","Универсален Накрайник за Ауспух 288 1бр.","1","0","visible","Универсален Накрайник за Ауспух 288 1бр.. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Универсален Накрайник за Ауспух 288 1бр.
<h4>Характеристики</h4>
<ul>
	
	<li>Накрайникът е изработен от никелиран метал.</li>
	<li>Начин на монтиране: чрез скоба.</li>
	<li>Визия: двоен, кръгъл.</li>
	<li>След монтажа накрайника ще придаде спортен вид на автомобила.</li>
	<li>Размери:
	<ul>
		<li>Дължина: 250 мм.</li>
		<li>Ширина: 167 мм.</li>
		<li>Височина: 80 мм.</li>
		<li>Подходящ за тръби с размери от 45 мм до 64 мм.</li>
	</ul>
	</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","31","Екстериор > Накрайници за ауспух","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","860","Универсален Накрайник за Ауспух 288 1бр.","Универсален Накрайник за Ауспух 288 1бр.. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","35146-P","Универсален Накрайник за Ауспух 439 1бр.","1","0","visible","Универсален Накрайник за Ауспух 439 1бр.. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Универсален Накрайник за Ауспух 439 1бр.
<h4>Характеристики</h4>
<ul>
	
	<li>Накрайникът е изработен от метал.</li>
	<li>Начин на монтиране: чрез скоба.</li>
	<li>Визия: двоен, скосен, кръгъл.</li>
	<li>След монтажа накрайника ще придаде спортен вид на автомобила.</li>
	<li>Размери:
	<ul>
		<li>Дължина: 265 мм.</li>
		<li>Ширина: 157 мм.</li>
		<li>Височина: 76 мм.</li>
		<li>Подходящ за тръби с размери от 44 мм до 64 мм.</li>
	</ul>
	</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","44","Екстериор > Накрайници за ауспух","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","860","Универсален Накрайник за Ауспух 439 1бр.","Универсален Накрайник за Ауспух 439 1бр.. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","35147-P","Универсален Накрайник за Ауспух 440 1бр.","1","0","visible","Универсален Накрайник за Ауспух 440 1бр.. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Универсален Накрайник за Ауспух 440 1бр.
<h4>Характеристики</h4>
<ul>
	
	<li>Накрайникът е изработен от&nbsp;метал.</li>
	<li>Начин на монтиране: чрез скоба.</li>
	<li>Визия: двоен, скосен, кръгъл.</li>
	<li>След монтажа накрайника ще придаде спортен вид на автомобила.</li>
	<li>Размери:
	<ul>
		<li>Дължина: 260 мм.</li>
		<li>Ширина: 155 мм.</li>
		<li>Височина: 76 мм.</li>
		<li>Подходящ за тръби с размери от 45 мм до 64 мм.</li>
	</ul>
	</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","44","Екстериор > Накрайници за ауспух","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","860","Универсален Накрайник за Ауспух 440 1бр.","Универсален Накрайник за Ауспух 440 1бр.. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","35140-P","Универсален Накрайник за Ауспух 354 1бр.","1","0","visible","Универсален Накрайник за Ауспух 354 1бр.. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Универсален Накрайник за Ауспух 354 1бр.
<h4>Характеристики</h4>
<ul>
	
	<li>Накрайникът е изработен от метал.</li>
	<li>Начин на монтиране: чрез скоба.</li>
	<li>Визия: двоен.</li>
	<li>След монтажа накрайника ще придаде спортен вид на автомобила.</li>
	<li>Размери:
	<ul>
		<li>Дължина: 245 мм.</li>
		<li>Ширина: 175 мм.</li>
		<li>Подходящ за тръби с размери от 44 мм до 64 мм.</li>
	</ul>
	</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","31","Екстериор > Накрайници за ауспух","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","860","Универсален Накрайник за Ауспух 354 1бр.","Универсален Накрайник за Ауспух 354 1бр.. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","35148-P","Накрайник за Ауспух SPARCO SPT201","1","0","visible","Накрайник за Ауспух SPARCO SPT201. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Накрайник за Ауспух SPARCO SPT201
<h4>Характеристики</h4>
<ul>
	
	<li>Универсален накрайник за ауспух.</li>
	<li>Накрайникът е изработен от стомана.</li>
	<li>Улекотен и издръжлив на слънце, дъжд и ръжда.</li>
	<li>След монтажа накрайника ще придаде спортен вид на автомобила.</li>
	<li>Размери:
	<ul>
		<li>Изход: 89 мм.</li>
		<li>Обща дължина: 160 мм.</li>
		<li>Вход: 63 мм.</li>
	</ul>
	</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","139","Екстериор > Накрайници за ауспух","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","860","Накрайник за Ауспух SPARCO SPT201","Накрайник за Ауспух SPARCO SPT201. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","35064-P","Накрайник за ауспух подходящ за Porsche Cayenne V6 (2011-2014)","1","0","visible","Накрайник за ауспух подходящ за Porsche Cayenne V6 (2011-2014). Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Накрайник за ауспух подходящ за Porsche Cayenne V6 (2011-2014)
<h4>Характеристики</h4>
<ul>
	
	<li>Комплект накрайници за Porsche Cayenne (2011-2014).</li>
	<li>Ляв и десен.</li>
	<li>Придава спортен вид на вашият автомобил.</li>
	<li>Материал: Висококачествена неръждаема стомана тип 304.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","339","Екстериор > Накрайници за ауспух","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","860","Накрайник за ауспух подходящ за Porsche Cayenne V6 (2011-2014)","Накрайник за ауспух подходящ за Porsche Cayenne V6 (2011-2014). Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","35149-P","Накрайник за Ауспух SPARCO SPT200","1","0","visible","Накрайник за Ауспух SPARCO SPT200. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Накрайник за Ауспух SPARCO SPT200
<h4>Характеристики</h4>
<ul>
	
	<li>Универсален накрайник за ауспух.</li>
	<li>Накрайникът е изработен от стомана.</li>
	<li>Улекотен и издръжлив на слънце, дъжд и ръжда.</li>
	<li>След монтажа накрайника ще придаде спортен вид на автомобила.</li>
	<li>Размери:
	<ul>
		<li>Изход: 89 мм.</li>
		<li>Обща дължина: 160 мм.</li>
		<li>Вход: 63 мм.</li>
	</ul>
	</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","124","Екстериор > Накрайници за ауспух","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","860","Накрайник за Ауспух SPARCO SPT200","Накрайник за Ауспух SPARCO SPT200. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
