Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","05040-P","Напречни греди за таван - NIKEN 138см - сив","1","0","visible","Напречни греди за таван - NIKEN 138см - сив. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Напречни греди за таван - NIKEN 138см - сив
<h4>Характеристики</h4>
<ul>
	
	<li>Напречни греди за таван, които се прикрепят за надлъжните греди, които не са долепени до тавана.</li>
	<li>Продуктът е произведен с най-високо ниво на качество и в съответствие с европейските стандарти за качество OEM.</li>
	<li>Алуминиев профил, ABS пластмаса.</li>
	<li>Устойчив на удари и всякакви атмосферни влияния.</li>
	<li>Той е проектиран като крило на самолет в съответствие с аеродинамична структура и скоростта на превозното средство.</li>
	<li>Изключително здрава конструкция.</li>
	<li>Комплекта включва всички необходими крепежни елементи.</li>
	<li>Дължина на гредите: 138см.</li>
	<li>Максимално натоварване на гредите до 75кг.</li>
	<li>Посочената цена е за 2бр. напречни греди.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","93","Екстериор, Екстериор > Напречни греди за багажници","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","855","Напречни греди за таван - NIKEN 138см - сив","Напречни греди за таван - NIKEN 138см - сив. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","05060-P","Напречни греди за таван 009 97СМ","1","0","visible","Напречни греди за таван 009 97СМ. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Напречни греди за таван 009 97СМ
<h4>Характеристики</h4>
<ul>
	
	<li>Напречни греди подходящи за надлъжен рейлинг (интегриран и не интегриран)</li>
	<li>Комплекта включва 2 броя греди и всички необходими крепежни елементи за монтаж.</li>
	<li>Материал: Алуминий.</li>
	<li>Дължина на пръта: 97 см.</li>
	<li>Товароносимост: 60 кг.</li>
	<li>Много лесен и бърз монтаж.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","108","Екстериор, Екстериор > Напречни греди за багажници","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","855","Напречни греди за таван 009 97СМ","Напречни греди за таван 009 97СМ. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","05056-P","Автобагажник SHERMAN XL 947 135cm","1","0","visible","Автобагажник SHERMAN XL 947 135cm. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Автобагажник SHERMAN XL 947 135cm
<p><strong>Багажникът</strong> е супер качествен и надежден.&nbsp;<br>
Моделът SHERMAN XL 947 ще Ви спечели със своите отлични характеристики и функционалност,&nbsp; с лесният си монтаж и демонтаж,<br>
отнемащ броени секунди гарантира удобният превоз на Вашите вещи и Вашето комфортно пътуване.</p>
<h4>Характеристики</h4>
<ul>
	
	<li>Материал: алуминиев профил.</li>
	<li>Дължина на гредите: 135см.</li>
	<li>Дебелина на гредите: 48мм</li>
	<li>Максимално натоварване на багажника: 90кг.</li>
	<li>Здраво и сигурно закрепване към гредите на автомобила.</li>
	<li>Багажника е оборудван с ключалки против кражба.</li>
	<li>Багажникът притежава сертификат:&nbsp;<strong>TUV, GS, ISO PASS, CITY CRASH TEST, DYNAMIC TEST, STATIC TEST.</strong></li>
	<li>Произход: Италия.</li>
</ul>
<p><strong>Монтаж: На фабрично надлъжни греди.</strong></p>","","","taxable","","1","","","0","0","","","","","1","","","208","Екстериор, Екстериор > Напречни греди за багажници","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","855","Автобагажник SHERMAN XL 947 135cm","Автобагажник SHERMAN XL 947 135cm. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","05020-P","Автобагажник Menabo за интегриран рейлинг - 886","1","0","visible","Автобагажник Menabo за интегриран рейлинг - 886. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Автобагажник Menabo за интегриран рейлинг - 886
<h4>Характеристики</h4>
<ul>
	
	<li>Багажник за кола с интегрирани рейлинги - впити, плътни.</li>
	<li>Аеродинамични алуминиеви греди.</li>
	<li>Материал: Алуминий</li>
	<li>Комплекта включва всички необходими крепежни елементи + два ключа.</li>
	<li>Размери: 120см&nbsp;</li>
	<li>Натоварване на гредите до 75кг.</li>
	<li>Много лесен и бърз монтаж.</li>
	<li><em><span style=""color: #ff0000;""><strong>Цената е за 2бр</strong></span></em></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","267","Екстериор, Екстериор > Напречни греди за багажници","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","855","Автобагажник Menabo за интегриран рейлинг - 886","Автобагажник Menabo за интегриран рейлинг - 886. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","05047-P","Напречни греди за таван - 102 - 135см","1","0","visible","Напречни греди за таван - 102 - 135см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Напречни греди за таван - 102 - 135см
<p>Напречните греди ще ви спечелят със своите отлични характеристики и функционалност,&nbsp; с лесният си монтаж и демонтаж,<br>
отнемащ броени секунди гарантира удобният превоз на Вашите вещи и Вашето комфортно пътуване.</p>
<h4>Характеристики</h4>
<ul>
	
	<li>Материал: алуминиев профил .</li>
	<li>Дължина на гредите: 135 см.</li>
	<li>Максимален захват 120 см.</li>
	<li>Дебелина на гредите: 48 мм</li>
	<li>Максимално натоварване на багажника: 80 кг.</li>
	<li>Здраво и сигурно закрепване към гредите на автомобила.</li>
	<li>Багажника е оборудван с ключалки против кражба.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","100","Екстериор, Екстериор > Напречни греди за багажници","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","855","Напречни греди за таван - 102 - 135см","Напречни греди за таван - 102 - 135см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","05058-P","Напречни греди за таван - NIKEN 122см - сив","1","0","visible","Напречни греди за таван - NIKEN 122см - сив. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Напречни греди за таван - NIKEN 122см - сив
<h4>Характеристики</h4>
<ul>
	
	<li>Напречни греди за таван, които се прикрепят за надлъжните греди, които не са долепени до тавана.</li>
	<li>Продуктът е произведен с най-високо ниво на качество и в съответствие с европейските стандарти за качество OEM.</li>
	<li>Алуминиев профил, ABS пластмаса.</li>
	<li>Устойчив на удари и всякакви атмосферни влияния.</li>
	<li>Той е проектиран като крило на самолет в съответствие с аеродинамична структура и скоростта на превозното средство.</li>
	<li>Изключително здрава конструкция.</li>
	<li>Комплекта включва всички необходими крепежни елементи.</li>
	<li>Дължина на гредите: 122см.</li>
	<li>Максимално натоварване на гредите до 75кг.</li>
	<li>Посочената цена е за 2бр. напречни греди.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","85","Екстериор, Екстериор > Напречни греди за багажници","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","855","Напречни греди за таван - NIKEN 122см - сив","Напречни греди за таван - NIKEN 122см - сив. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","05003-P","Автобагажник MENABO BRIO 403 XL","1","0","visible","Автобагажник MENABO BRIO 403 XL. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Автобагажник MENABO BRIO 403 XL
<h4>Характеристики</h4>
<ul>
	
	<li>Материал: алуминиев профил.</li>
	<li>Дължина на гредите: 130см.</li>
	<li>Дебелина на гредите: 48мм.</li>
	<li>Максимално натоварване на багажника: 90кг.</li>
	<li>Здраво и сигурно закрепване към гредите на автомобила.</li>
	<li>Багажника е оборудван с ключалки против кражба.</li>
	<li>Багажникът притежава сертификат: TUV, GS, ISO PASS, CITY CRASH TEST, DYNAMIC TEST, STATIC TEST.</li>
	<li>Произведен в Италия<br>
	<br>
	<strong>Монтаж: На фабрично надлъжни греди.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","177","Екстериор, Екстериор > Напречни греди за багажници","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","855","Автобагажник MENABO BRIO 403 XL","Автобагажник MENABO BRIO 403 XL. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","05021-P","Напречни греди Menabo за интегриран рейлинг - 850","1","0","visible","Напречни греди Menabo за интегриран рейлинг - 850. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Напречни греди Menabo за интегриран рейлинг - 850
<h4>Характеристики</h4>
<ul>
	
	<li>Багажник за кола с интегрирани рейлинги - впити, плътни.</li>
	<li>Аеродинамични алуминиеви греди</li>
	<li>Материал: Алуминий</li>
	<li>Комплекта включва всички необходими крепежни елементи + два ключа.</li>
	<li>Размери: 135см</li>
	<li>Натоварване на гредите до 90кг</li>
	<li>Много лесен и бърз монтаж<br>
	<li>Посочената цена е за комплект.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","270","Екстериор, Екстериор > Напречни греди за багажници","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","855","Напречни греди Menabo за интегриран рейлинг - 850","Напречни греди Menabo за интегриран рейлинг - 850. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","05059-P","Напречни греди за таван - NIKEN 122см - черен","1","0","visible","Напречни греди за таван - NIKEN 122см - черен. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Напречни греди за таван - NIKEN 122см - черен
<h4>Характеристики</h4>
<ul>
	
	<li>Напречни греди за таван, които се прикрепят за надлъжните греди, които не са долепени до тавана.</li>
	<li>Продуктът е произведен с най-високо ниво на качество и в съответствие с европейските стандарти за качество OEM.</li>
	<li>Алуминиев профил, ABS пластмаса.</li>
	<li>Устойчив на удари и всякакви атмосферни влияния.</li>
	<li>Той е проектиран като крило на самолет в съответствие с аеродинамична структура и скоростта на превозното средство.</li>
	<li>Изключително здрава конструкция.</li>
	<li>Комплекта включва всички необходими крепежни елементи.</li>
	<li>Дължина на гредите: 122см.</li>
	<li>Максимално натоварване на гредите до 75кг.</li>
	<li>Посочената цена е за 2бр. напречни греди.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","93","Екстериор, Екстериор > Напречни греди за багажници","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","855","Напречни греди за таван - NIKEN 122см - черен","Напречни греди за таван - NIKEN 122см - черен. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","05037-P","Напречни греди за комби - XJ-6","1","0","visible","Напречни греди за комби - XJ-6. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Напречни греди за комби - XJ-6
<h4>Характеристики</h4>
<ul>
	
	<li>Багажник за комби напречен.</li>
	<li>Багажника се монтира на коли, които имат надлъжни греди.</li>
	<li>Алуминиеви греди заключващи се против кражби.</li>
	<li>Комплекта включва всички необходими крепежни елементи + 2бр. ключове.</li>
	<li>Дължина на гредите: <strong style=""font-weight: bold;"">120см.</strong></li>
	<li>Максимална товаримост на гредите до 90 кг.</li>
	<li>Изключително здрава конструкция.</li>
	<li>Подходящи за автомобили комби с надлъжни греди.</li>
	<li>Много лесен и бърз монтаж.</li>
	<li>Цената е за 2 бр. греди.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","80","Екстериор, Екстериор > Напречни греди за багажници","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","855","Напречни греди за комби - XJ-6","Напречни греди за комби - XJ-6. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
