Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","18108-P","Комплект поставяне на фолио PS-56","1","0","visible","Комплект поставяне на фолио PS-56. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Комплект поставяне на фолио PS-56
<h4>Характеристики</h4>
<ul>
	
	<li>Комплект от шпатули и макетни ножчета за по-лесено поставяне на фолио.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Екстериор, Екстериор > Фолио за затъмняване","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","841","Комплект поставяне на фолио PS-56","Комплект поставяне на фолио PS-56. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","6204-P","Фолио лента за предно стъкло 20см х 1.5м черно","1","0","visible","Фолио лента за предно стъкло 20см х 1.5м черно. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио лента за предно стъкло 20см х 1.5м черно
<h4>Характеристики</h4>
<ul>
	
	<li>Фолио лента за използване върху предното стъкло на Вапшият автомобил.</li>
	<li>Залепя се от вътрешната страна, като предпазва купето и пасажерите от вредните UV лъчи.</li>
	<li>Преливащи цветове, отгоре започва с най-тъмен цвят и надолу изсветлява.</li>
	<li>Дължина на ролката: 150 см</li>
	<li>Широчина: 20 см</li>
</ul>
<ul>
	<li>Фолиото трябва да се постави първо върху стъклото отпред (т.е. отвън) и точно да се измери.</li>
	<li>След това го&nbsp;изрязваме&nbsp;с нож до нужния размер и форма.</li>
	<li>Измиваме стъклото вътре (обезмасляваме)</li>
	<li>Използваме пръскачка (пулверизатор) с&nbsp;разтвор на вода и миещ препарат например за&nbsp;съдове.</li>
	<li>Отделяме защитния филм и нанасяме водния разтвор върху фолиото и стъклото&nbsp;.</li>
	<li>Поставете фолиото в колата (вътре на&nbsp;стъклото), и след това изтласквайте водата към външния край на фолиото.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","3","Екстериор, Екстериор > Фолио за затъмняване","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","841","Фолио лента за предно стъкло 20см х 1.5м черно","Фолио лента за предно стъкло 20см х 1.5м черно. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181226-P","Комплект поставяне на фолио АС - 57","1","0","visible","Комплект поставяне на фолио АС - 57. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Комплект поставяне на фолио АС - 57
<h4>Характеристики</h4>
<ul>
	
	<li>Удобен и стабилен комплект за полагане на фолио. Това е всичко което може да ви потрябва за да се справите, като професионалист.</li>
	<li>6 броя пластмасови шпакли за фолио.</li>
	<li>Бързо и лесно поставяне на фолио.</li>
	<li>Подходящ за всякакво фолио и прозорци.</li>
	<li>Различни видове шпакли.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Екстериор, Екстериор > Фолио за затъмняване","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","841","Комплект поставяне на фолио АС - 57","Комплект поставяне на фолио АС - 57. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62028-P","Фолио затъмняване  50см х 3м 1%","1","0","visible","Фолио затъмняване  50см х 3м 1%. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио затъмняване  50см х 3м 1%
<h4>Характеристики</h4>
<ul>
	
	<li>Фолио за затъмняване на стъкла, подходящо за автомобили и дома.</li>
	<li>Ненадраскващо се при поставяне.</li>
	<li>Предпазва вътрешната част на купето и пасажерите от вредните UV лъчи.</li>
	<li>В комплекта са включени макетно ножче и пластмасова шпакла.<br>
	<br>
	<strong>Размери</strong></li>
	<li>Дължина на ролката: 3 метра</li>
	<li>Широчина: 50 см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Екстериор, Екстериор > Фолио за затъмняване","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","841","Фолио затъмняване  50см х 3м 1%","Фолио затъмняване  50см х 3м 1%. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62029-P","Фолио затъмняване  50см х 3м 5%","1","0","visible","Фолио затъмняване  50см х 3м 5%. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио затъмняване  50см х 3м 5%
<h4>Характеристики</h4>
<ul>
	
	<li>Фолио за затъмняване на стъкла, подходящо за автомобили и дома.</li>
	<li>Ненадраскващо се при поставяне.</li>
	<li>Предпазва вътрешната част на купето и пасажерите от вредните UV лъчи.</li>
	<li>В комплекта са включени макетно ножче и пластмасова шпакла.<br>
	<br>
	<strong>Размери</strong></li>
	<li>Дължина на ролката: 3 метра</li>
	<li>Широчина: 50 см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Екстериор, Екстериор > Фолио за затъмняване","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","841","Фолио затъмняване  50см х 3м 5%","Фолио затъмняване  50см х 3м 5%. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62030-P","Фолио затъмняване  50см х 3м 10%","1","0","visible","Фолио затъмняване  50см х 3м 10%. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио затъмняване  50см х 3м 10%
<h4>Характеристики</h4>
<ul>
	
	<li>Фолио за затъмняване на стъкла, подходящо за автомобили и дома.</li>
	<li>Ненадраскващо се при поставяне.</li>
	<li>Предпазва вътрешната част на купето и пасажерите от вредните UV лъчи.</li>
	<li>В комплекта са включени макетно ножче и пластмасова шпакла.<br>
	<br>
	<strong>Размери</strong></li>
	<li>Дължина на ролката: 3 метра</li>
	<li>Широчина: 50 см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Екстериор, Екстериор > Фолио за затъмняване","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","841","Фолио затъмняване  50см х 3м 10%","Фолио затъмняване  50см х 3м 10%. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62031-P","Фолио затъмняване  50см х 3м 20%","1","0","visible","Фолио затъмняване  50см х 3м 20%. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио затъмняване  50см х 3м 20%
<h4>Характеристики</h4>
<ul>
	
	<li>Фолио за затъмняване на стъкла, подходящо за автомобили и дома.</li>
	<li>Ненадраскващо се при поставяне.</li>
	<li>Предпазва вътрешната част на купето и пасажерите от вредните UV лъчи.</li>
	<li>В комплекта са включени макетно ножче и пластмасова шпакла.<br>
	<br>
	<strong>Размери</strong></li>
	<li>Дължина на ролката: 3 метра</li>
	<li>Широчина: 50 см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Екстериор, Екстериор > Фолио за затъмняване","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","841","Фолио затъмняване  50см х 3м 20%","Фолио затъмняване  50см х 3м 20%. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62036-P","Фолио затъмняване  50см х 3м 35%","1","0","visible","Фолио затъмняване  50см х 3м 35%. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио затъмняване  50см х 3м 35%
<h4>Характеристики</h4>
<ul>
	
	<li>Фолио за затъмняване на стъкла, подходящо за автомобили и дома.</li>
	<li>Ненадраскващо се при поставяне.</li>
	<li>Предпазва вътрешната част на купето и пасажерите от вредните UV лъчи.</li>
	<li>В комплекта са включени макетно ножче и пластмасова шпакла.<br>
	<br>
	<strong>Размери</strong></li>
	<li>Дължина на ролката: 3 метра</li>
	<li>Широчина: 50 см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Екстериор, Екстериор > Фолио за затъмняване","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","841","Фолио затъмняване  50см х 3м 35%","Фолио затъмняване  50см х 3м 35%. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62040-P","Фолио затъмняване  50см х 3м 50%","1","0","visible","Фолио затъмняване  50см х 3м 50%. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио затъмняване  50см х 3м 50%
<h4>Характеристики</h4>
<ul>
	
	<li>Фолио за затъмняване на стъкла, подходящо за автомобили и дома.</li>
	<li>Ненадраскващо се при поставяне.</li>
	<li>Предпазва вътрешната част на купето и пасажерите от вредните UV лъчи.</li>
	<li>В комплекта са включени макетно ножче и пластмасова шпакла.<br>
	<br>
	<strong>Размери</strong></li>
	<li>Дължина на ролката: 3 метра</li>
	<li>Широчина: 50 см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Екстериор, Екстериор > Фолио за затъмняване","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","841","Фолио затъмняване  50см х 3м 50%","Фолио затъмняване  50см х 3м 50%. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","62032-P","Фолио затъмняване  75см х 3м 1%","1","0","visible","Фолио затъмняване  75см х 3м 1%. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фолио затъмняване  75см х 3м 1%
<h4>Характеристики</h4>
<ul>
	
	<li>Фолио за затъмняване на стъкла, подходящо за автомобили и дома.</li>
	<li>Ненадраскващо се при поставяне.</li>
	<li>Предпазва вътрешната част на купето и пасажерите от вредните UV лъчи.</li>
	<li>В комплекта са включени макетно ножче и пластмасова шпакла.<br>
	<br>
	<strong>Размери</strong></li>
	<li>Дължина на ролката: 3 метра</li>
	<li>Широчина: 75 см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","13","Екстериор, Екстериор > Фолио за затъмняване","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","841","Фолио затъмняване  75см х 3м 1%","Фолио затъмняване  75см х 3м 1%. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
