Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","28785-P","Трети стоп - 24 диода","1","0","visible","Трети стоп - 24 диода. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Трети стоп - 24 диода
<h4>Характеристики</h4>
<ul>
	
	<li>Размери: 22см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Осветление, Осветление > Габаритни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","910","Трети стоп - 24 диода","Трети стоп - 24 диода. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28787-P","Трети стоп - 32 диода","1","0","visible","Трети стоп - 32 диода. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Трети стоп - 32 диода
<h4>Характеристики</h4>
<ul>
	
	<li>Размери: 27см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Осветление, Осветление > Габаритни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","910","Трети стоп - 32 диода","Трети стоп - 32 диода. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","5304-P","Трети стоп - 48 диода","1","0","visible","Трети стоп - 48 диода. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Трети стоп - 48 диода
<h4>Характеристики</h4>
<ul>
	
	<li>Размери: 37см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Осветление, Осветление > Габаритни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","910","Трети стоп - 48 диода","Трети стоп - 48 диода. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","3647-P","Диодна светлина синя - 501","1","0","visible","Диодна светлина синя - 501. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодна светлина синя - 501
<h4>Характеристики</h4>
<ul>
	
	<li>Трети стоп</li>
	<li>Размери: 10см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Осветление, Осветление > Габаритни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","910","Диодна светлина синя - 501","Диодна светлина синя - 501. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28909-P","Диоден трети стоп - 1985","1","0","visible","Диоден трети стоп - 1985. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диоден трети стоп - 1985
<strong>Модел: 28909 - 1985</strong>
<h4>Характеристики</h4>
<ul>
	
	<li>Ярка светлинна сигнализация видима от голямо разстояние за предотватяване на ПТП при мъгла.</li>
	<li>Водоустойчива</li>
	<li>Напрежение: 12V</li>
	<li>Цвят на светлината: Червен</li>
	<li>Дължина: 105см.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","56","Осветление, Осветление > Габаритни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","910","Диоден трети стоп - 1985","Диоден трети стоп - 1985. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28908-P","Диоден трети стоп - 2004","1","0","visible","Диоден трети стоп - 2004. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диоден трети стоп - 2004
<h4>Характеристики</h4>
<ul>
	
	<li>LED лента за по-ясна видимост при натискане на спирачка.</li>
	<li>Ярка светлинна сигнализация видима от голямо разстояние за предотватяване на ПТП при мъгла.</li>
	<li>Водоустойчива</li>
	<li>Напрежение: 12V</li>
	<li>Цвят на светлината: Червен</li>
	<li>Дължина: 105см.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","39","Осветление, Осветление > Габаритни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","910","Диоден трети стоп - 2004","Диоден трети стоп - 2004. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","5307-P","Трети стоп + светкавица 1893","1","0","visible","Трети стоп + светкавица 1893. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Трети стоп + светкавица 1893
<h4>Характеристики</h4>
<ul>
	
	<li>Вградена светкавица</li>
	<li>Размери: 30см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Осветление, Осветление > Габаритни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","910","Трети стоп + светкавица 1893","Трети стоп + светкавица 1893. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","76048-P","Диоден габарит с 6 LED диода - 12V жълт","1","0","visible","Диоден габарит с 6 LED диода - 12V жълт. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диоден габарит с 6 LED диода - 12V жълт
<h4>Характеристики</h4>
<ul>
	
	<li>​Странични габаритни светлини подходящи за: коли, камиони и други.</li>
	<li>Ниска консумация на ток.</li>
	<li>Водоустойчеви.</li>
	<li>Работно напрежение: 12V</li>
	<li>Брой диоди: 6 LED.</li>
	<li>Размери:</li>
	<li>Дължина: 95мм.</li>
	<li>Широчина: 20мм.</li>
	<li>Разстояние между фиксиращите болтове: 84мм.</li>
	<li><strong>Цената е за 1 брой габарит.</strong></li>
	<li><strong>Минимално количество за поръчка 10 броя.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Осветление, Осветление > Габаритни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","910","Диоден габарит с 6 LED диода - 12V жълт","Диоден габарит с 6 LED диода - 12V жълт. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","76051-P","Диоден габарит с 6 LED диода - 24V жълт","1","0","visible","Диоден габарит с 6 LED диода - 24V жълт. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диоден габарит с 6 LED диода - 24V жълт
<h4>Характеристики</h4>
<ul>
	
	<li>​Странични габаритни светлини подходящи за: коли, камиони и други.</li>
	<li>Ниска консумация на ток.</li>
	<li>Водоустойчеви.</li>
	<li>Работно напрежение: 24V</li>
	<li>Брой диоди: 6 LED.</li>
	<li>Дължина: 95мм.</li>
	<li>Широчина: 20мм.</li>
	<li>Разстояние между фиксиращите болтове: 84мм.</li>
	<li><strong>Минимално количество за поръчка 10броя</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Осветление, Осветление > Габаритни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","910","Диоден габарит с 6 LED диода - 24V жълт","Диоден габарит с 6 LED диода - 24V жълт. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","76049-P","Диоден габарит с 6 LED диода - 12V червен","1","0","visible","Диоден габарит с 6 LED диода - 12V червен. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диоден габарит с 6 LED диода - 12V червен
<h4>Характеристики</h4>
<ul>
	
	<li>​Странични габаритни светлини подходящи за: коли, камиони и други.</li>
	<li>Ниска консумация на ток.</li>
	<li>Водоустойчеви.</li>
	<li>Работно напрежение: 12V</li>
	<li>Брой диоди: 6 LED.</li>
	<li>Дължина: 95мм.</li>
	<li>Широчина: 20мм.</li>
	<li>Разстояние между фиксиращите болтове: 84мм.</li>
	<li><strong>Минимално количество за поръчка 10броя</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Осветление, Осветление > Габаритни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","910","Диоден габарит с 6 LED диода - 12V червен","Диоден габарит с 6 LED диода - 12V червен. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
