Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","281036-P","Адаптор за лед  крушка H7 за BMW - TK-124","1","0","visible","Адаптор за лед  крушка H7 за BMW - TK-124. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Адаптор за лед  крушка H7 за BMW - TK-124
<h4>Характеристики</h4>
<ul>
	
	<li>Адаптер (преходник) е предназначен за монтаж на лед лампа Н7 на стандартен фар за&nbsp;BMW E39</li>
	<li>Базата позволява по-лесно закрепяне на лед&nbsp;лампа.&nbsp;</li>
	<li>С тази база Вие запазвате фабричната фасунга с помощта на която, когато пожелаете можете да възстановите заводския вид на фаровете.&nbsp;<br>
	<br>
	<b>Посочената цена е за 2 броя в комплект.</b></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Осветление, Осветление > Баласти за ксенон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","919","Адаптор за лед  крушка H7 за BMW - TK-124","Адаптор за лед  крушка H7 за BMW - TK-124. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","281034-P","Адаптор за лед крушка VW, AUDI - TK-101","1","0","visible","Адаптор за лед крушка VW, AUDI - TK-101. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Адаптор за лед крушка VW, AUDI - TK-101
<h4>Характеристики</h4>
<ul>
	
</ul>
<span>Адаптер (преходник) е предназначен за монтаж на лед лампа Н7 на стандартен фар за:</span>
<ul>
	<li><strong>Nissan Qashqai</strong></li>
	<li><strong>VW Jetta, Bora</strong></li>
	<li><strong>Mercedes Benz: E-Class, ML-Class</strong></li>
	<li><strong>Audi A3 A4L A6L</strong></li>
	<li><strong>BMW 5 Series X5</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Осветление, Осветление > Баласти за ксенон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","919","Адаптор за лед крушка VW, AUDI - TK-101","Адаптор за лед крушка VW, AUDI - TK-101. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","20066-P","Кабел преходник за ксенон D2S","1","0","visible","Кабел преходник за ксенон D2S. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Кабел преходник за ксенон D2S
<h4>Характеристики</h4>
<ul>
	
	<li>Кабел преходник пасващ на всички видове универсални баласти.</li>
	<li>Преходникът е необходим при замяна на фабричен баласт D2 с баласт, който е със стандартни изходи за крушка.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","11","Осветление, Осветление > Баласти за ксенон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","919","Кабел преходник за ксенон D2S","Кабел преходник за ксенон D2S. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","2024-P","Кабел преходник за ксенон D2S Кабел преходник пасващ на всички видове универсални баласти.D2C D2R","1","0","visible","Кабел преходник за ксенон D2S Кабел преходник пасващ на всички видове универсални баласти.D2C D2R. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Кабел преходник за ксенон D2S Кабел преходник пасващ на всички видове универсални баласти.D2C D2R
<h4>Характеристики</h4>
<ul>
	
	<li>Кабел преходник пасващ на всички видове универсални баласти.</li>
	<li>Преходникът е необходим при замяна на фабричен баласт D2 с баласт, който е със стандартни изходи за крушка.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Осветление, Осветление > Баласти за ксенон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","919","Кабел преходник за ксенон D2S Кабел преходник пасващ на всички видове универсални баласти.D2C D2R","Кабел преходник за ксенон D2S Кабел преходник пасващ на всички видове универсални баласти.D2C D2R. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","20031-P","Кабел преходник за ксенон D2S / D2C / D2R - 1бр","1","0","visible","Кабел преходник за ксенон D2S / D2C / D2R - 1бр. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Кабел преходник за ксенон D2S / D2C / D2R - 1бр
<h4>Характеристики</h4>
<ul>
	
	<li>Кабел преходник пасващ на всички видове универсални баласти.</li>
	<li>Преходникът е необходим при замяна на фабричен баласт D2 с баласт, който е със стандартни изходи за крушка.<br>
	<br>
	<strong>Посочената цена е за 1 брой.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Осветление, Осветление > Баласти за ксенон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","919","Кабел преходник за ксенон D2S / D2C / D2R - 1бр","Кабел преходник за ксенон D2S / D2C / D2R - 1бр. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28984-P","Траф за ксенон 35W 24V","1","0","visible","Траф за ксенон 35W 24V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Траф за ксенон 35W 24V
<h4>Характеристики</h4>
<ul>
	
	<li>Висококачествен универсален баласт за ксенон.</li>
	<li>Корпус от неръждаема стомана.</li>
	<li>Работна температура: от -40°C до +105°C.</li>
	<li>Изходяща мощност: 35W.</li>
	<li>Бързо запалване, устойчива работа без трептения.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","24","Осветление, Осветление > Баласти за ксенон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","919","Траф за ксенон 35W 24V","Траф за ксенон 35W 24V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28587-P","Траф за ксенон AC-35W","1","0","visible","Траф за ксенон AC-35W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Траф за ксенон AC-35W
<h4>Характеристики</h4>
<ul>
	
	<li>Висококачествен универсален баласт за ксенон.</li>
	<li>Корпус от неръждаема стомана.</li>
	<li>Входящо напрежение: 9-16V.</li>
	<li>Работно напрежение: 13.2V.</li>
	<li>Работна температура: от -40°C до +105°C.</li>
	<li>Входяща консумация: 3.2A.</li>
	<li>Максимална консумация: 10А.</li>
	<li>Изходяща мощност: 35W.</li>
	<li>Бързо запалване, устойчива работа без трептения.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","25","Осветление, Осветление > Баласти за ксенон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","919","Траф за ксенон AC-35W","Траф за ксенон AC-35W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28586-P","Траф за ксенон - 234 35W","1","0","visible","Траф за ксенон - 234 35W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Траф за ксенон - 234 35W
<h4>Характеристики</h4>
<ul>
	
	<li>Траф слим+кабел за грешка.</li>
	<li>Висококачествен универсален баласт за ксенон.</li>
	<li>Корпус от неръждаема стомана.</li>
	<li>Входящо напрежение: 9-16V.</li>
	<li>Работно напрежение: 13.2V.</li>
	<li>Работна температура: от -40°C до +105°C.</li>
	<li>Входяща консумация: 4.2A.</li>
	<li>Максимална консумация: 7А.</li>
	<li>Изходяща мощност: 35W.</li>
	<li>Бързо запалване, устойчива работа без трептения.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","14","Осветление, Осветление > Баласти за ксенон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","919","Траф за ксенон - 234 35W","Траф за ксенон - 234 35W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28588-P","Траф за ксенон AC 55W","1","0","visible","Траф за ксенон AC 55W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Траф за ксенон AC 55W
<h4>Характеристики</h4>
<ul>
	
	<li>Висококачествен универсален баласт за ксенон.</li>
	<li>Корпус от неръждаема стомана.</li>
	<li>Входящо напрежение: 9-16V.</li>
	<li>Работно напрежение: 13.2V.</li>
	<li>Работна температура: от -40°C до +105°C.</li>
	<li>Входяща консумация: 3.2A.</li>
	<li>Изходяща мощност: 55W.</li>
	<li>Бързо запалване, устойчива работа без трептения.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","30","Осветление, Осветление > Баласти за ксенон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","919","Траф за ксенон AC 55W","Траф за ксенон AC 55W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28837-P","Траф за ксенон OHB-07","1","0","visible","Траф за ксенон OHB-07. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Траф за ксенон OHB-07
<h4>Характеристики</h4>
<ul>
	
	<li>Траф за оригинален ксенон за следните автомобили - D1S D1R&nbsp;5DV 009 000-00</li>
	<li>- BMW 5 Series (E60/E61/525/530/540/545/M5) - (2006 - 2008)</li>
	<li>- BMW 7 Series (E66)</li>
	<li>- Cadillac Escalade (2007 - 2008)</li>
	<li>- Land Rover Range Rover (2007 - 2008)</li>
	<li>- Jaguar XK8 XK (2007 - 2008)</li>
	<li>- VW Golf MK6 (2009 - 2012)</li>
	<li>Корпус от неръждаема стомана.</li>
	<li>Работна температура: от -40°C до +105°C.</li>
	<li>Изходяща мощност: 35W.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","108","Осветление, Осветление > Баласти за ксенон","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","919","Траф за ксенон OHB-07","Траф за ксенон OHB-07. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
