Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","1504-P","Декоративни светлини 81073.074.81074","1","0","visible","Декоративни светлини 81073.074.81074. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декоративни светлини 81073.074.81074
<h4>Характеристики</h4>
<ul>
	
	<li>Декоративни 2бр. Дневни LED светлини.</li>
	<li>Закрепване с двойнолепяща лента.</li>
	<li>3 LED диода в бяла светлина.</li>
	<li>Напрежение 12V.</li>
	<li>Дължина: 70 мм.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","6","Осветление, Осветление > Дневни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","917","Декоративни светлини 81073.074.81074","Декоративни светлини 81073.074.81074. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282118-P","Диодни светлини за фар 2016 - 7 ЦВЯТА","1","0","visible","Диодни светлини за фар 2016 - 7 ЦВЯТА. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни светлини за фар 2016 - 7 ЦВЯТА
<h4>Характеристики</h4>
<ul>
	
	<li>Гъвкави дневни светлини и декорация за фарове с дистанционно.</li>
	<li>Бърз и лесен монтаж с двойнозалепващо тиксо.</li>
	<li>За вътрешно/външно използване на автомобил.</li>
	<li>Диодните ленти имат&nbsp;3 секции на скъсяване 30cm/40cm/60cm.</li>
	<li>Работно напрежение: 12 V.</li>
	<li>Работна температура: от -40 C до +80 C.</li>
	<li>Защита от влага: IP65 (бодоустойчиви)</li>
	<li>Интензитет на светлината: 400 Cd.</li>
	<li>Мощност: 6 W.</li>
	<li>Цвят на корпуса: бял.</li>
	<li>Цвят на осветлението: бяло + жълто.</li>
	<li>Комплект включва 2бр. ленти</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","39","Осветление, Осветление > Дневни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","917","Диодни светлини за фар 2016 - 7 ЦВЯТА","Диодни светлини за фар 2016 - 7 ЦВЯТА. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63026-P","Дневни светлини 020-10","1","0","visible","Дневни светлини 020-10. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Дневни светлини 020-10
<h4>Характеристики</h4>
<ul>
	
	<li>Дневни светлини тип DRL с изключително качествена изработка.</li>
	<li>Светещи в силно ярка бяла светлина придаващи съвременен и модерен дизайн на Вашият автомобил, спомагащи за безопасното ви шофиране на пътя и същевременно понижават консумацията на ток.</li>
	<li>Мощни диоди с ниска консумация.</li>
	<li>Напрежение 12V.</li>
	<li>Цвят на светлината: 6000K</li>
	<li>Лесни за монтаж.<br>
	<br>
	Комплекта съдържа 2 броя дневни светлини.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","24","Осветление, Осветление > Дневни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","917","Дневни светлини 020-10","Дневни светлини 020-10. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28957-P","Диодна светлина 2048 - Бяло стъкло","1","0","visible","Диодна светлина 2048 - Бяло стъкло. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодна светлина 2048 - Бяло стъкло
<h4>Характеристики</h4>
<ul>
	
	<li>Напрежение: 12V</li>
	<li>Цвят на светлината:&nbsp; Червена</li>
	<li>Размери: 14см х 3см</li>
	<li>В комплект: 1 брой диодна светлина </li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Осветление, Осветление > Дневни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","917","Диодна светлина 2048 - Бяло стъкло","Диодна светлина 2048 - Бяло стъкло. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63198-P","Дневни светлини 007-2","1","0","visible","Дневни светлини 007-2. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Дневни светлини 007-2
<h4>Характеристики</h4>
<ul>
	
	<li>Светещи в силно ярка бяла светлина придаващи съвременен и модерен дизайн на Вашият автомобил, спомагащи за безопасното ви шофиране на пътя и същевременно понижават консумацията на ток.</li>
	<li>Комплекта съдържа 2 броя дневни светлини.</li>
	<li>Мощен диод с ниска консумация.</li>
	<li>Напрежение 12V.</li>
	<li>Дължина: 160мм.</li>
	<li>Дълбочина на монтаж: 35мм.</li>
	<li>Цвят светлина 6000К.</li>
	<li>Крепежни елементи към комплекта.</li>
	<li>Лесни за монтаж.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Осветление, Осветление > Дневни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","917","Дневни светлини 007-2","Дневни светлини 007-2. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63193-P","Дневни светлини 001-2","1","0","visible","Дневни светлини 001-2. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Дневни светлини 001-2
<p>Дневни светлини тип DRL с изключително качествена изработка светещи в силно ярка бяла светлина придаващи съвременен модерен дизайн на вашият автомобил,спомагащ за безопасното ви шофиране на пътя и същевремено понижават консумацията на ток.</p>
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят светлина 6000К.</li>
	<li>Дължина: 190мм.</li>
	<li>Широчина:20мм.</li>
	<li>Дълбочина на монтаж : 40мм.</li>
	<li>Крепежни елементи към комплекта.</li>
	<li>Лесни за монтаж.</li>
	<li>Комплекта съдържа 2 броя дневни светлини с мощни 5 бр. smd диоди с ниска консумация.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","13","Осветление, Осветление > Дневни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","917","Дневни светлини 001-2","Дневни светлини 001-2. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63361-P","Дневни светлини GT12 2бр/к-т","1","0","visible","Дневни светлини GT12 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Дневни светлини GT12 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Диаметър: 90мм</li>
	<li>Цената е за 2бр в комплект</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","14","Осветление, Осветление > Дневни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","917","Дневни светлини GT12 2бр/к-т","Дневни светлини GT12 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63020-P","Дневни светлини 009-9","1","0","visible","Дневни светлини 009-9. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Дневни светлини 009-9
<h4>Характеристики</h4>
<ul>
	
	<li>Придаващи съвременен модерен дизайн на вашият автомобил,спомагащ за безопасното ви шофиране на пътя и същевремено понижават консумацията на ток.</li>
	<li>Напрежение 12V.</li>
	<li>Диаметър: 90мм.</li>
	<li>Дълбочина на монтажа: 45мм.</li>
	<li>Цвят светлина 6000К.</li>
	<li>Крепежни елементи към комплекта.</li>
	<li>Лесни за монтаж.</li>
	<li>Комплекта съдържа 2 броя дневни светлини с мощни 9 бр. кръгли диоди с ниска консумация.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","20","Осветление, Осветление > Дневни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","917","Дневни светлини 009-9","Дневни светлини 009-9. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63021-P","Дневни светлини 009-12","1","0","visible","Дневни светлини 009-12. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Дневни светлини 009-12
<p>Дневни светлини тип DRL с изключително качествена изработка. Светещи в силно ярка бяла светлина придаващи съвременен&nbsp; модерен дизайн на вашият автомобил,спомагащ за безопасното ви шофиране на пътя и същевремено понижават консумацията на ток.</p>
<h4>Характеристики</h4>
<ul style=""list-style-type: disc;"">
	
	<li>Диаметър: 90мм.</li>
	<li>Дълбочина на монтажа: 45мм.</li>
	<li>Цвят светлина 6000К.</li>
	<li>Крепежни елементи към комплекта.</li>
	<li>Лесни за монтаж.</li>
	<li>Комплекта съдържа 2 броя дневни светлини с мощни 12 бр. кръгли&nbsp; диоди с ниска консумация.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","22","Осветление, Осветление > Дневни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","917","Дневни светлини 009-12","Дневни светлини 009-12. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63379-P","Дневни светлини с мигач бягащ 2369","1","0","visible","Дневни светлини с мигач бягащ 2369. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Дневни светлини с мигач бягащ 2369
<h4>Характеристики</h4>
<ul>
	
	<li>6 броя LED диоди.</li>
	<li>Напрежение:12V.</li>
	<li>Цвят светлина:6000К.</li>
	<li>Функция за мигачи тип бягащи.</li>
	<li>Всички крепежни елементи в комплекта.</li>
	<li>Лесен монтаж.</li>
	<li>Комплекта съдържа 2 броя светлини.</li>
</ul>
<ul>
	<li>Дължина 17см</li>
	<li>Ширина 2,3см</li>
	<li>Дълбочина 3,7см.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","25","Осветление, Осветление > Дневни светлини","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","917","Дневни светлини с мигач бягащ 2369","Дневни светлини с мигач бягащ 2369. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
