Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","282150-P","Ксенонови Крушки M-TECH D2S 4300K 2бр/к-т","1","0","visible","Ксенонови Крушки M-TECH D2S 4300K 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ксенонови Крушки M-TECH D2S 4300K 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Комплект крушки&nbsp;POWERTEC Super White с&nbsp;интензивна, бяла светлина.</li>
	<li>Оригинални халогенни крушки изработени от кварцово стъкло.</li>
	<li>UV филтър</li>
	<li>Мощност 35 W.</li>
	<li>Напрежение:&nbsp;85 V</li>
	<li>Живот 2500 часа</li>
	<li>Светлинен поток 3200 lm</li>
	<li>Яркост / Температура макс 4300K</li>
	<li>Тип:&nbsp;D2S</li>
	<li>Вид:&nbsp;Ксенонова</li>
	<li>Употреба:&nbsp;Основни и допълнителни фарове.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","59","Осветление, Осветление > Ксенон крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","918","Ксенонови Крушки M-TECH D2S 4300K 2бр/к-т","Ксенонови Крушки M-TECH D2S 4300K 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282151-P","Ксенонови крушки M-TECH D1S 6500K","1","0","visible","Ксенонови крушки M-TECH D1S 6500K. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ксенонови крушки M-TECH D1S 6500K
<h4>Характеристики</h4>
<ul>
	
	<li>Комплект крушки&nbsp;POWERTEC Xenon Blue са проектирани за използване на офроуд и състезания.</li>
	<li>Интензивна синя светлина</li>
	<li>UV филтър</li>
	<li>Крушки M-TECH, изработена от кварцово стъкло.</li>
	<li>Мощност 35 W.</li>
	<li>Напрежение: 12/24V</li>
	<li>Живот 2500 часа</li>
	<li>Светлинен поток 3000 lm</li>
	<li>Яркост / Температура макс 6500K</li>
	<li>Не са&nbsp;одобрени за движение по обществени пътища.&nbsp;</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","85","Осветление, Осветление > Ксенон крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","918","Ксенонови крушки M-TECH D1S 6500K","Ксенонови крушки M-TECH D1S 6500K. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282148-P","Ксенонова крушкa M-TECH D1S 35W 6000K","1","0","visible","Ксенонова крушкa M-TECH D1S 35W 6000K. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Ксенонова крушкa M-TECH D1S 35W 6000K
<h4>Характеристики</h4>
<ul>
	
	<li>Тип гнездо/Основа: Pk32d-2</li>
	<li>Тип крушка D1S</li>
	<li>Тип: ксенон</li>
	<li>Мощност: 35W</li>
	<li>Напрежение: 85V</li>
	<li>Светлинен поток: ~ 2600 lm</li>
	<li>Яркост / Цвят 6000 K</li>
	<li>Пусков ток: 3.2A (по време на работа) макс. 10A (стартиране)</li>
	<li>Работна температура: -40 <sup>о</sup>C до + 115 <sup>о</sup>C</li>
	<li>Приложение: къси светлини, дълги светлини.</li>
	<li>Цената е за 1 брой в&nbsp;пакет.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","44","Осветление, Осветление > Ксенон крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","918","Ксенонова крушкa M-TECH D1S 35W 6000K","Ксенонова крушкa M-TECH D1S 35W 6000K. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28724-P","Крушка Osram D1S - 35W","1","0","visible","Крушка Osram D1S - 35W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушка Osram D1S - 35W
<h4>Характеристики</h4>
<ul>
	
	<li>Цокъл: D1S.</li>
	<li>Работно напрежение:12V/24V.</li>
	<li>Номинална мощност: 35W.</li>
	<li>Осветеност: 3200lm лумена.</li>
	<li>Цвят: 4150К Келвина.</li>
	<li>Цената е за 1бр. крушка.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","100","Осветление, Осветление > Ксенон крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","918","Крушка Osram D1S - 35W","Крушка Osram D1S - 35W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28276-P","Крушка Osram D2S - 35W","1","0","visible","Крушка Osram D2S - 35W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушка Osram D2S - 35W
<h4>Характеристики</h4>
<ul>
	
	<li>Крушка Osram D2S</li>
	<li>Мощност: 35W</li>
	<li>Цената е за 1 брой</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","76","Осветление, Осветление > Ксенон крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","918","Крушка Osram D2S - 35W","Крушка Osram D2S - 35W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28671-P","Крушка Osram D3S - 35W","1","0","visible","Крушка Osram D3S - 35W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушка Osram D3S - 35W
<h4>Характеристики</h4>
<ul>
	
	<li>Крушка Osram D3S</li>
	<li>Мощност: 35W</li>
	<li>Цената е за 1 брой</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","127","Осветление, Осветление > Ксенон крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","918","Крушка Osram D3S - 35W","Крушка Osram D3S - 35W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","281032-P","Крушка ксенон D1S 35W 6000K - BERU XV 2бр/к-т","1","0","visible","Крушка ксенон D1S 35W 6000K - BERU XV 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушка ксенон D1S 35W 6000K - BERU XV 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Ксенонова крушка с цокъл на закрепване D1S за автомобили с фабричен ксенон, светеца в ярка бяла светлина 6000К.</li>
	<li>Един добър алтернативен вариант на оригиналната крушка.</li>
	<li>Ксеноновата крушка е херметически затворена капсула, направена от стъкло, пълна с ксенонов газ под налягане и халидни метални соли.</li>
	<li>При подаване на стартово напрежение от 23 000 волта йонизира молекулите на ксеноновия газ, който започва да произвежда ярка светлина.</li>
	<li>Мощност на крушката: 35W.</li>
	<li>Цвят на светлината 6000К</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","50","Осветление, Осветление > Ксенон крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","918","Крушка ксенон D1S 35W 6000K - BERU XV 2бр/к-т","Крушка ксенон D1S 35W 6000K - BERU XV 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28222-P","Крушка ксенон D1S 35W 6000K","1","0","visible","Крушка ксенон D1S 35W 6000K. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушка ксенон D1S 35W 6000K
<h4>Характеристики</h4>
<ul>
	
	<li>Ксенонова крушка с цокъл на закрепване D1S за автомобили с фабричен ксенон светеща в ярка бяла светлина 6000К.</li>
	<li>Eдин добър алтернативен вариант на оригиналната крушка.</li>
	<li>Ксеноновата крушка е херметически затворена капсула, направена от стъкло, пълна с ксенонов газ под налягане и халидни метални соли.</li>
	<li>При подаване на стартово напрежение от 23 000 волта йонизира молекулите на ксеноновия газ, който започва да произвежда ярка светлина.</li>
	<li>Мощност на крушката: 35W.</li>
	<li>Цвят на светлината 6000K.<br>
	<br>
	Посочената цена е за 2&nbsp;брой.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","40","Осветление, Осветление > Ксенон крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","918","Крушка ксенон D1S 35W 6000K","Крушка ксенон D1S 35W 6000K. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28291-P","Крушки ксенон D2C / D2S 35W 6000K 2бр /к-т","1","0","visible","Крушки ксенон D2C / D2S 35W 6000K 2бр /к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушки ксенон D2C / D2S 35W 6000K 2бр /к-т
<h4>Характеристики</h4>
<ul style=""list-style-type: disc;"">
	
	<li>Ксенонова крушка с цокъл на закрепване D2C / D2S за автомобили с фабричен ксенон светеща в ярка бяла светлина 6000К.</li>
	<li>Eдин добър алтернативен вариант на оригиналната крушка.</li>
	<li>Ксеноновата крушка е херметически затворена капсула, направена от стъкло, пълна с ксенонов газ под налягане и халидни метални соли.</li>
	<li>При подаване на стартово напрежение от 23 000 волта йонизира молекулите на ксеноновия газ, който започва да произвежда ярка светлина.</li>
	<li>Мощност на крушката: 35W.</li>
	<li>Цвят на светлината 6000K.<br>
	<br>
	&nbsp;</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","24","Осветление, Осветление > Ксенон крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","918","Крушки ксенон D2C / D2S 35W 6000K 2бр /к-т","Крушки ксенон D2C / D2S 35W 6000K 2бр /к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28634-P","Крушка ксенон D2R Oplas +50% 2бр./к-т","1","0","visible","Крушка ксенон D2R Oplas +50% 2бр./к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушка ксенон D2R Oplas +50% 2бр./к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Ксенонова крушка с цокъл на закрепване D2R за автомобили с фабричен ксенон светеща в ярка бяла светлина 6000К.</li>
	<li>Eдин добър алтернативен вариант на оригиналната крушка.</li>
	<li>Ксеноновата крушка е херметически затворена капсула, направена от стъкло, пълна с ксенонов газ под налягане и халидни метални соли.</li>
	<li>При подаване на стартово напрежение от 23 000 волта йонизира молекулите на ксеноновия газ, който започва да произвежда ярка светлина.</li>
	<li>Цвят на светлината 5500к.</li>
	<li>Цената е за 2 броя в комплект.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","34","Осветление, Осветление > Ксенон крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","918","Крушка ксенон D2R Oplas +50% 2бр./к-т","Крушка ксенон D2R Oplas +50% 2бр./к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
