Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","63406-P","Лед Бар 202 60W - 36.5 см","1","0","visible","Лед Бар 202 60W - 36.5 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Лед Бар 202 60W - 36.5 см
<h4>Характеристики</h4>
<ul>
	
	<li>Диоден лед бар за таван от последно поколение, с най-високо качество на изработка.</li>
	<li>Диодният лед бар ( халоген ) е подходящ за джипове, атв, бъги, трактори, камиони и други.</li>
	<li>Лед бара разполага с изключително ярки и силни диоди, осигуряващи перфектно осветяване.</li>
	<li>Корпус от лят алуминий.</li>
	<li>Клас на водоустойчивост: IP67.</li>
	<li>Водоустойчив, прахоустойчив, издръжливост и устойчивост на вибрации.</li>
	<li>Ниска консумация на енергия.</li>
	<li>Брилянтен осветителен ефект, който е подобен на дневна светлина.</li>
	<li>Цвят на корпуса: Черен.</li>
	<li>Продължителност на живот: 50000 часа.</li>
	<li>Работна температура: -40°C ~ 85°C.</li>
	<li>Размер - 36.5 см</li>
	<li>Мощност - 60W</li>
	<li>Цената е за 1бр. в комплект</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","99","Осветление, Осветление > Лед барове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","914","Лед Бар 202 60W - 36.5 см","Лед Бар 202 60W - 36.5 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63407-P","Лед бар 203 90W - 53 см","1","0","visible","Лед бар 203 90W - 53 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Лед бар 203 90W - 53 см
<h4>Характеристики</h4>
<ul>
	
	<li>Диоден лед бар за таван от последно поколение, с най-високо качество на изработка.</li>
	<li>Диодният лед бар ( халоген ) е подходящ за джипове, атв, бъги, трактори, камиони и други.</li>
	<li>Лед бара разполага с изключително ярки и силни диоди, осигуряващи перфектно осветяване.</li>
	<li>Корпус от лят алуминий.</li>
	<li>Клас на водоустойчивост: IP67.</li>
	<li>Водоустойчив, прахоустойчив, издръжливост и устойчивост на вибрации.</li>
	<li>Ниска консумация на енергия.</li>
	<li>Брилянтен осветителен ефект, който е подобен на дневна светлина.</li>
	<li>Цвят на корпуса: Черен.</li>
	<li>Продължителност на живот: 50000 часа.</li>
	<li>Работна температура: -40°C ~ 85°C.</li>
	<li>Размер - 53 см</li>
	<li>Мощност - 90W</li>
	<li>Цената е за 1бр. в комплект</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","131","Осветление, Осветление > Лед барове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","914","Лед бар 203 90W - 53 см","Лед бар 203 90W - 53 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63408-P","Лед Бар 204 120W - 69.5 см","1","0","visible","Лед Бар 204 120W - 69.5 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Лед Бар 204 120W - 69.5 см
<h4>Характеристики</h4>
<ul>
	
	<li>Диодният лед бар ( халоген ) е подходящ за джипове, атв, бъги, трактори, камиони и други.</li>
	<li>Лед бара разполага с изключително ярки и силни диоди, осигуряващи перфектно осветяване.</li>
	<li>Корпус от лят алуминий.</li>
	<li>Клас на водоустойчивост: IP67.</li>
	<li>Водоустойчив, прахоустойчив, издръжливост и устойчивост на вибрации.</li>
	<li>Ниска консумация на енергия.</li>
	<li>Брилянтен осветителен ефект, който е подобен на дневна светлина.</li>
	<li>Цвят на корпуса: Черен.</li>
	<li>Продължителност на живот: 50000 часа.</li>
	<li>Работна температура: -40°C ~ 85°C.</li>
	<li>Размер - 69.5 см</li>
	<li>Мощност - 120W</li>
	<li>Цената е за 1бр. в комплект</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","162","Осветление, Осветление > Лед барове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","914","Лед Бар 204 120W - 69.5 см","Лед Бар 204 120W - 69.5 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63402-P","Лед бар 105 300W - 84 см","1","0","visible","Лед бар 105 300W - 84 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Лед бар 105 300W - 84 см
<h4>Характеристики</h4>
<ul>
	
	<li>Диодният лед бар ( халоген ) е подходящ за джипове, атв, бъги, трактори, камиони и други.</li>
	<li>Лед бара разполага с изключително ярки и силни диоди, осигуряващи перфектно осветяване.</li>
	<li>Корпус от лят алуминий.</li>
	<li>Клас на водоустойчивост: IP67.</li>
	<li>Водоустойчив, прахоустойчив, издръжливост и устойчивост на вибрации.</li>
	<li>Ниска консумация на енергия.</li>
	<li>Брилянтен осветителен ефект, който е подобен на дневна светлина.</li>
	<li>Цвят на корпуса: Черен.</li>
	<li>Продължителност на живот: 50000 часа.</li>
	<li>Работна температура: -40°C ~ 85°C.</li>
	<li>Размер - 84 см</li>
	<li>Мощност - 300W</li>
	<li>Цената е за 1бр. в комплект</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","80","Осветление, Осветление > Лед барове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","914","Лед бар 105 300W - 84 см","Лед бар 105 300W - 84 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63401-P","Лед бар 104 240W - 70 см","1","0","visible","Лед бар 104 240W - 70 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Лед бар 104 240W - 70 см
<h4>Характеристики</h4>
<ul>
	
	<li>Диодният лед бар ( халоген ) е подходящ за джипове, атв, бъги, трактори, камиони и други.</li>
	<li>Лед бара разполага с изключително ярки и силни диоди, осигуряващи перфектно осветяване.</li>
	<li>Корпус от лят алуминий.</li>
	<li>Клас на водоустойчивост: IP67.</li>
	<li>Водоустойчив, прахоустойчив, издръжливост и устойчивост на вибрации.</li>
	<li>Ниска консумация на енергия.</li>
	<li>Брилянтен осветителен ефект, който е подобен на дневна светлина.</li>
	<li>Цвят на корпуса: Черен.</li>
	<li>Продължителност на живот: 50000 часа.</li>
	<li>Работна температура: -40°C ~ 85°C.</li>
	<li>Размер - 70 см</li>
	<li>Мощност - 240W</li>
	<li>Цената е за 1бр. в комплект</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","70","Осветление, Осветление > Лед барове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","914","Лед бар 104 240W - 70 см","Лед бар 104 240W - 70 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63409-P","Лед Бар 205 150W - 86 см","1","0","visible","Лед Бар 205 150W - 86 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Лед Бар 205 150W - 86 см
<h4>Характеристики</h4>
<ul>
	
	<li>Диоден лед бар за таван от последно поколение, с най-високо качество на изработка.</li>
	<li>Диодният лед бар ( халоген ) е подходящ за джипове, атв, бъги, трактори, камиони и други.</li>
	<li>Лед бара разполага с изключително ярки и силни диоди, осигуряващи перфектно осветяване.</li>
	<li>Корпус от лят алуминий.</li>
	<li>Клас на водоустойчивост: IP67.</li>
	<li>Водоустойчив, прахоустойчив, издръжливост и устойчивост на вибрации.</li>
	<li>Ниска консумация на енергия.</li>
	<li>Брилянтен осветителен ефект, който е подобен на дневна светлина.</li>
	<li>Цвят на корпуса: Черен.</li>
	<li>Продължителност на живот: 50000 часа.</li>
	<li>Работна температура: -40°C ~ 85°C.</li>
	<li>Размер - 86 см</li>
	<li>Мощност - 150W</li>
	<li>Цената е за 1бр. в комплект</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","197","Осветление, Осветление > Лед барове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","914","Лед Бар 205 150W - 86 см","Лед Бар 205 150W - 86 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63403-P","Лед бар 106 360W - 99.4 см","1","0","visible","Лед бар 106 360W - 99.4 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Лед бар 106 360W - 99.4 см
<h4>Характеристики</h4>
<ul>
	
	<li>Диодният лед бар ( халоген ) е подходящ за джипове, атв, бъги, трактори, камиони и други.</li>
	<li>Лед бара разполага с изключително ярки и силни диоди, осигуряващи перфектно осветяване.</li>
	<li>Корпус от лят алуминий.</li>
	<li>Клас на водоустойчивост: IP67.</li>
	<li>Водоустойчив, прахоустойчив, издръжливост и устойчивост на вибрации.</li>
	<li>Ниска консумация на енергия.</li>
	<li>Брилянтен осветителен ефект, който е подобен на дневна светлина.</li>
	<li>Цвят на корпуса: Черен.</li>
	<li>Продължителност на живот: 50000 часа.</li>
	<li>Работна температура: -40°C ~ 85°C.</li>
	<li>Размер - 99,4 см</li>
	<li>Мощност - 360W</li>
	<li>Цената е за 1бр. в комплект</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","93","Осветление, Осветление > Лед барове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","914","Лед бар 106 360W - 99.4 см","Лед бар 106 360W - 99.4 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63410-P","Лед бар 206 180W - 102.5 cm","1","0","visible","Лед бар 206 180W - 102.5 cm. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Лед бар 206 180W - 102.5 cm
<h4>Характеристики</h4>
<ul>
	
	<li>Диодният лед бар ( халоген ) е подходящ за джипове, атв, бъги, трактори, камиони и други.</li>
	<li>Лед бара разполага с изключително ярки и силни диоди, осигуряващи перфектно осветяване.</li>
	<li>Корпус от лят алуминий.</li>
	<li>Клас на водоустойчивост: IP67.</li>
	<li>Водоустойчив, прахоустойчив, издръжливост и устойчивост на вибрации.</li>
	<li>Ниска консумация на енергия.</li>
	<li>Брилянтен осветителен ефект, който е подобен на дневна светлина.</li>
	<li>Цвят на корпуса: Черен.</li>
	<li>Продължителност на живот: 50000 часа.</li>
	<li>Работна температура: -40°C ~ 85°C.</li>
	<li>Размер - 102.5 см</li>
	<li>Мощност - 180W</li>
	<li>Цената е за 1бр. в комплект</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","228","Осветление, Осветление > Лед барове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","914","Лед бар 206 180W - 102.5 cm","Лед бар 206 180W - 102.5 cm. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63353-P","Извит Лед 240W - 107см","1","0","visible","Извит Лед 240W - 107см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Извит Лед 240W - 107см
<h4>Характеристики</h4>
<ul>
	
	<li>Диоден лед бар за таван от последно поколение, с най-високо качество на изработка.</li>
	<li>Диодният лед бар ( халоген ) е подходящ за джипове, атв, бъги, трактори, камиони и други.</li>
	<li>Лед бара разполага с изключително ярки и силни диоди, осигуряващи перфектно осветяване.</li>
	<li>Корпус от лят алуминий.</li>
	<li>Клас на водоустойчивост: IP68.</li>
	<li>Водоустойчив, прахоустойчив, издръжливост и устойчивост на вибрации.</li>
	<li>Ниска консумация на енергия.</li>
	<li>Брилянтен осветителен ефект, който е подобен на дневна светлина.</li>
	<li>Цвят на корпуса: Черен.</li>
	<li>Работна температура: -40°C ~ 85°C.</li>
	<li>Широчина: 5.5см</li>
</ul>
<p/p>
<ol>
	<li>Мощност на лед бара: 240W.</li>
	<li>Яркост на светлината: 16800LM.</li>
	<li>Напрежение (волтаж): 10-30V.</li>
	<li>Цвят на светлината: 6000K.</li>
	<li>Брой диоди: 80 броя х 3W.</li>
	<li>Тип диоди: LED.</li>
</ol>","","","taxable","","1","","","0","0","","","","","1","","","131","Осветление, Осветление > Лед барове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","914","Извит Лед 240W - 107см","Извит Лед 240W - 107см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63404-P","Лед бар 107 420W - 117.8 см","1","0","visible","Лед бар 107 420W - 117.8 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Лед бар 107 420W - 117.8 см
<h4>Характеристики</h4>
<ul>
	
	<li>Диодният лед бар ( халоген ) е подходящ за джипове, атв, бъги, трактори, камиони и други.</li>
	<li>Лед бара разполага с изключително ярки и силни диоди, осигуряващи перфектно осветяване.</li>
	<li>Корпус от лят алуминий.</li>
	<li>Клас на водоустойчивост: IP67.</li>
	<li>Водоустойчив, прахоустойчив, издръжливост и устойчивост на вибрации.</li>
	<li>Ниска консумация на енергия.</li>
	<li>Брилянтен осветителен ефект, който е подобен на дневна светлина.</li>
	<li>Цвят на корпуса: Черен.</li>
	<li>Продължителност на живот: 50000 часа.</li>
	<li>Работна температура: -40°C ~ 85°C.</li>
	<li>Размер - 117,8 см</li>
	<li>Мощност - 420W</li>
	<li>Цената е за 1бр. в комплект</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","124","Осветление, Осветление > Лед барове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","914","Лед бар 107 420W - 117.8 см","Лед бар 107 420W - 117.8 см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
