Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","282094-P","Диодни крушки - 1156 Cambus 2бр/к-т","1","0","visible","Диодни крушки - 1156 Cambus 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки - 1156 Cambus 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Автомобилни диодни крушки с една&nbsp;светлина.</li>
	<li>Цокъл: BA15S.</li>
	<li>Намалят консумацията на електричество.</li>
	<li>Монтират се на стандартният цокъл.</li>
	<li>Работно напрежение: 12V-24V.</li>
	<li>Цвят на светлината: Бяла.</li>
	<li>Цветова температура: 6000K.</li>
	<li>Цената е за&nbsp;комплект от 2бр крушки.</li>
</ul>
<p></p>","","","taxable","","1","","","0","0","","","","","1","","","19","Осветление, Осветление > Лед крушки за габарити","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","921","Диодни крушки - 1156 Cambus 2бр/к-т","Диодни крушки - 1156 Cambus 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28387-P-2","Диодни крушки - FE1 3LED 39мм 2бр/к-т - СИНИ","1","0","visible","Диодни крушки - FE1 3LED 39мм 2бр/к-т - СИНИ. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки - FE1 3LED 39мм 2бр/к-т - СИНИ
<h4>Характеристики</h4>
<ul style=""list-style-type: disc;"">
	
	<li>Диодни крушки, сулфидни 39мм&nbsp;12V.</li>
	<li>Работно напрежение: 12V.</li>
	<li>Цвят на светлината: Син.</li>
	<li>Една диодна крушка е с 3&nbsp;SMD&nbsp;диода.</li>
	<li>Спестява енергия.</li>
	<li>Дълъг живот.</li>
	<li>Приложение: -жабка, регистрационен номер, багажник, купе и други светлини по купето на автомобила и мотоциклета.</li>
	<li>Цената е за&nbsp;комплект от 2бр. крушки.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Осветление, Осветление > Лед крушки за габарити","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","921","Диодни крушки - FE1 3LED 39мм 2бр/к-т - СИНИ","Диодни крушки - FE1 3LED 39мм 2бр/к-т - СИНИ. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282093-P","Диодни крушки - 7440 Cambus 2бр/к-т","1","0","visible","Диодни крушки - 7440 Cambus 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки - 7440 Cambus 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Автомобилни Led диодни крушки за габаритни светлини.</li>
	<li>Цокъл: T20.</li>
	<li>Консумация на енергия: 15W</li>
	<li>Намалят консумацията на електричество.</li>
	<li>Работно напрежение: 12V-24V.</li>
	<li>Цвят на светлината: Бяла.</li>
	<li>Цветова температура: 6000K.</li>
	<li>Светлинен поток: 1500Lm</li>
	<li>Цената е за&nbsp;комплект от 2бр крушки.</li>
</ul>
<p></p>","","","taxable","","1","","","0","0","","","","","1","","","19","Осветление, Осветление > Лед крушки за габарити","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","921","Диодни крушки - 7440 Cambus 2бр/к-т","Диодни крушки - 7440 Cambus 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28387-P","Диодни крушки - FE1 3LED 41мм 2бр/к-т - СИНИ","1","0","visible","Диодни крушки - FE1 3LED 41мм 2бр/к-т - СИНИ. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки - FE1 3LED 41мм 2бр/к-т - СИНИ
<h4>Характеристики</h4>
<ul style=""list-style-type: disc;"">
	
	<li>Диодни крушки, сулфидни 41мм&nbsp;12V.</li>
	<li>Работно напрежение: 12V.</li>
	<li>Цвят на светлината: Син.</li>
	<li>Една диодна крушка е с 3&nbsp;SMD&nbsp;диода.</li>
	<li>Спестява енергия.</li>
	<li>Дълъг живот.</li>
	<li>Приложение: -жабка, регистрационен номер, багажник, купе и други светлини по купето на автомобила и мотоциклета.</li>
	<li>Цената е за&nbsp;комплект от 2бр. крушки.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Осветление, Осветление > Лед крушки за габарити","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","921","Диодни крушки - FE1 3LED 41мм 2бр/к-т - СИНИ","Диодни крушки - FE1 3LED 41мм 2бр/к-т - СИНИ. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28387-P-1","Диодни крушки - FE1 3LED 36мм 2бр/к-т - СИНИ","1","0","visible","Диодни крушки - FE1 3LED 36мм 2бр/к-т - СИНИ. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки - FE1 3LED 36мм 2бр/к-т - СИНИ
<h4>Характеристики</h4>
<ul style=""list-style-type: disc;"">
	
	<li>Диодни крушки, сулфидни 36мм&nbsp;12V.</li>
	<li>Работно напрежение: 12V.</li>
	<li>Цвят на светлината: Син.</li>
	<li>Една диодна крушка е с 3&nbsp;SMD&nbsp;диода.</li>
	<li>Спестява енергия.</li>
	<li>Дълъг живот.</li>
	<li>Приложение: -жабка, регистрационен номер, багажник, купе и други светлини по купето на автомобила и мотоциклета.</li>
	<li>Цената е за&nbsp;комплект от 2бр. крушки.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Осветление, Осветление > Лед крушки за габарити","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","921","Диодни крушки - FE1 3LED 36мм 2бр/к-т - СИНИ","Диодни крушки - FE1 3LED 36мм 2бр/к-т - СИНИ. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282014-P","Диодни крушки 281106 - сини 2бр/к-т","1","0","visible","Диодни крушки 281106 - сини 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки 281106 - сини 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Диодни крушки подходящи за габарити , интериор ,номер и др.</li>
	<li>Тип гнездо :T5</li>
	<li>Работно напрежение: 12V.</li>
	<li>Мощност : 4&nbsp;W.</li>
	<li>Цвят на светлината: Син.</li>
	<li>Цената е за&nbsp;комплект от 2бр крушки.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Осветление, Осветление > Лед крушки за габарити","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","921","Диодни крушки 281106 - сини 2бр/к-т","Диодни крушки 281106 - сини 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282015-P","Диодни крушки 281106 - червени 2бр/к-т","1","0","visible","Диодни крушки 281106 - червени 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки 281106 - червени 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Диодни крушки подходящи за габарити, интериор, номер и др.</li>
	<li>Тип гнездо :T5</li>
	<li>Работно напрежение: 12V.</li>
	<li>Мощност: 4&nbsp;W.</li>
	<li>Цвят на светлината: Червен.</li>
	<li>Цената е за&nbsp;комплект от 2бр крушки.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Осветление, Осветление > Лед крушки за габарити","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","921","Диодни крушки 281106 - червени 2бр/к-т","Диодни крушки 281106 - червени 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282107-P","Диоди 282107 12V","1","0","visible","Диоди 282107 12V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диоди 282107 12V
<h4>Характеристики</h4>
<ul>
	
	<li>По-дълъг живот в сравнение със стандартните крушки.</li>
	<li>По-ниска консумация на енергия и повече светлина.</li>
	<li>Брой светодиоди: 9 всяка</li>
	<li>Мощност: 2W</li>
	<li>Напрежение: 12V</li>
	<li>Цокъл: BA15S</li>
	<li>Цвят&nbsp;6500 К</li>
	<li>Цвят на светлината: Бяла</li>
	<li>Цената е за&nbsp;комплект от 2бр крушки.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Осветление, Осветление > Лед крушки за габарити","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","921","Диоди 282107 12V","Диоди 282107 12V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28817-P","Диодни крушки Т20 1638 - 12V - 2бр/к-т","1","0","visible","Диодни крушки Т20 1638 - 12V - 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки Т20 1638 - 12V - 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Цокъл: T20</li>
	<li>Работно напрежение: 12V.</li>
	<li>Цвят на светлината: Бяла.</li>
	<li>Работна температура на крушките: -40°C - + 85°C</li>
	<li>Намаля консумацията на електричество.</li>
	<li>Приложение: Жабка, регистрационен номер, багажник, купе и други светлини по купето на автомобила.</li>
	<li>Цената е за&nbsp;комплект от 2бр крушки.</li>
</ul>
<p>Сайт за проверка на подходящите крушки за вашият автомобил - <a href=""https://am-application.osram.info/en"" rel=""noopener noreferrer"" target=""_blank"">Справка (OSRAM)</a></p>","","","taxable","","1","","","0","0","","","","","1","","","7","Осветление, Осветление > Лед крушки за габарити","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","921","Диодни крушки Т20 1638 - 12V - 2бр/к-т","Диодни крушки Т20 1638 - 12V - 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28711-P","Диодни крушки - 1586 - 12V - 2бр/к-т","1","0","visible","Диодни крушки - 1586 - 12V - 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки - 1586 - 12V - 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Цокъл: T10</li>
	<li>Намаля консумацията на електричество.</li>
	<li>Мощност: 3W.</li>
	<li>Работно напрежение: 12V.</li>
	<li>Светлинен поток: 280LM.</li>
	<li>Цвят на светлината: Бяла.</li>
	<li>Цветова температура: 6000K.</li>
	<li>Работна температура на крушките: -40°C - + 85°C</li>
	<li>Приложение: Жабка, регистрационен номер, багажник, купе и други светлини по купето на автомобила.</li>
	<li>Цената е за&nbsp;комплект от 2бр крушки.</li>
</ul>
<p>Сайт за проверка на подходящите крушки за вашият автомобил - <a href=""https://am-application.osram.info/en"" rel=""noopener noreferrer"" target=""_blank"">Справка (OSRAM)</a></p>","","","taxable","","1","","","0","0","","","","","1","","","3","Осветление, Осветление > Лед крушки за габарити","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","921","Диодни крушки - 1586 - 12V - 2бр/к-т","Диодни крушки - 1586 - 12V - 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
