Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","282201-P","Диодни крушки Niken 9006 ПРО 2бр/к-т","1","0","visible","Диодни крушки Niken 9006 ПРО 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки Niken 9006 ПРО 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Крушки Niken&nbsp;от про серия с&nbsp;изцяло алуминиев корпус.</li>
	<li>Осигурява 200% повече източник на светлина от стандартните крушки.</li>
	<li>Цокъл: 9006.</li>
	<li>Светлинен поток: 8000Lm (4000+4000).</li>
	<li>Консумирана мошност: 30W.</li>
	<li>Цвят на светлината: 6500K (бяла).</li>
	<li>Работно напрежение: DC 12V.</li>
	<li>Ъгъл на осветеност: 280°(от двете страни).</li>
	<li>Водоустойчива защита&nbsp;IP65</li>
	<li>Живот: ≈30000 часа.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","47","Осветление, Осветление > Лед крушки за фарове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","920","Диодни крушки Niken 9006 ПРО 2бр/к-т","Диодни крушки Niken 9006 ПРО 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282168-P","Диодни крушки Niken 9005 ПРО 2бр/к-т","1","0","visible","Диодни крушки Niken 9005 ПРО 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки Niken 9005 ПРО 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Крушки Niken&nbsp;от про серия с&nbsp;изцяло алуминиев корпус.</li>
	<li>Осигурява 200% повече източник на светлина от стандартните крушки.</li>
	<li>Цокъл: 9005.</li>
	<li>Светлинен поток: 8000Lm (4000+4000).</li>
	<li>Консумирана мошност: 30W.</li>
	<li>Цвят на светлината: 6500K (бяла).</li>
	<li>Работно напрежение: DC 12V.</li>
	<li>Ъгъл на осветеност: 280°(от двете страни).</li>
	<li>Водоустойчива защита&nbsp;IP65</li>
	<li>Живот: ≈30000 часа.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","47","Осветление, Осветление > Лед крушки за фарове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","920","Диодни крушки Niken 9005 ПРО 2бр/к-т","Диодни крушки Niken 9005 ПРО 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282171-P","Диодни крушки NIken H1 ПРО 2бр/к-т","1","0","visible","Диодни крушки NIken H1 ПРО 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки NIken H1 ПРО 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Крушки Niken&nbsp;от про серия с&nbsp;изцяло алуминиев корпус.</li>
	<li>Осигурява 200% повече източник на светлина от стандартните крушки.</li>
	<li>Цокъл: H1.</li>
	<li>Светлинен поток: 8000Lm (4000+4000).</li>
	<li>Консумирана мошност: 32W.</li>
	<li>Цвят на светлината: 6500K (бяла).</li>
	<li>Работен волтаж: DC 12V.</li>
	<li>Ъгъл на осветеност: 280°(от двете страни).</li>
	<li>Охлаждане: Алумиениев радиатор.</li>
	<li>Водоустойчива защита&nbsp;IP65</li>
	<li>Живот: ≈30000 часа.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","47","Осветление, Осветление > Лед крушки за фарове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","920","Диодни крушки NIken H1 ПРО 2бр/к-т","Диодни крушки NIken H1 ПРО 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282169-P","Диодни крушки Niken H7 ПРО 2бр/к-т","1","0","visible","Диодни крушки Niken H7 ПРО 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки Niken H7 ПРО 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Крушки Niken&nbsp;от про серия с&nbsp;изцяло алуминиев корпус.</li>
	<li>Осигурява 200% повече източник на светлина от стандартните крушки.</li>
	<li>Бърз и лесен монтаж.</li>
	<li>Цокъл: H7.</li>
	<li>Светлинен поток: 8000Lm (4000+4000).</li>
	<li>Консумирана мошност: 32W.</li>
	<li>Цвят на светлината: 6500K (кристално бяла).</li>
	<li>Работно напрежение:&nbsp;12V.</li>
	<li>Ъгъл на осветеност: 280°.</li>
	<li>Охлаждане: Алумиениев радиатор.</li>
	<li>Водоустойчива защита&nbsp;IP65</li>
	<li>Живот: ≈30000 часа.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","47","Осветление, Осветление > Лед крушки за фарове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","920","Диодни крушки Niken H7 ПРО 2бр/к-т","Диодни крушки Niken H7 ПРО 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282170-P","Диодни крушки NIken H11 ПРО 2бр/к-т","1","0","visible","Диодни крушки NIken H11 ПРО 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки NIken H11 ПРО 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Крушки Niken&nbsp;от про серия с&nbsp;изцяло алуминиев корпус.</li>
	<li>Осигурява 200% повече източник на светлина от стандартните крушки.</li>
	<li>Цокъл: H11.</li>
	<li>Светлинен поток: 8000Lm (4000+4000).</li>
	<li>Консумирана мошност: 32W.</li>
	<li>Цвят на светлината: 6500K (бяла).</li>
	<li>Работен волтаж: DC 12V.</li>
	<li>Ъгъл на осветеност: 280°(от двете страни).</li>
	<li>Охлаждане: Алумиениев радиатор.</li>
	<li>Водоустойчива защита&nbsp;IP65</li>
	<li>Живот: ≈30000 часа.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","47","Осветление, Осветление > Лед крушки за фарове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","920","Диодни крушки NIken H11 ПРО 2бр/к-т","Диодни крушки NIken H11 ПРО 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","281018-P","Диодни крушки 3900  H1 - 13w 1500lm 2бр/к-т","1","0","visible","Диодни крушки 3900  H1 - 13w 1500lm 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки 3900  H1 - 13w 1500lm 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Комплект иновативни&nbsp;LED крушки за фарове H1 - 6000k.</li>
	<li>LED крушките са с ( chip-on-board) диод от ново поколение който се охлаждат единственно и само от корпусът си&nbsp;</li>
	<li>Без вентилатор , съответно&nbsp;без смущение на радиото&nbsp;на автомобилът</li>
	<li>Създават светлинен поток с над&nbsp;150% по-ярка светлина, спрямо стандартните халогенни крушки и са подходящи за всички фарове с рефлектори и лупи.</li>
	<li>Изключително малка консумация на енергия</li>
	<li>100%&nbsp;взаимозаменяеми&nbsp;с вашите стари крушки</li>
</ul>
<ul>
	<li>Оптимален фокус</li>
	<li>Алуминиев радиатор за по-добро охлаждане</li>
	<li>Мощност: 13W на крушка. Oбщо за двете&nbsp;26W</li>
	<li>Ъгъл на осветяване: 360°C</li>
	<li>Влагоустойчиви: IP67</li>
	<li>Светлинен поток:&nbsp;1500&nbsp;lm за крушка. Общо за двете&nbsp;3000lm</li>
	<li>Материал: Алуминий</li>
	<li>Монтират се на стандартният цокъл&nbsp;</li>
	<li>Захранване на крушките:&nbsp;DC 12V-24V</li>
	<li>Работна температура на крушките:&nbsp;-45 ~ +85 °C</li>
	<li>Цвят на светлината: Бяла</li>
	<li>Крушките притежават сертификат: CE, RoSH</li>
	<li>Цената е за&nbsp;комплект от 2 броя крушки</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","56","Осветление, Осветление > Лед крушки за фарове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","920","Диодни крушки 3900  H1 - 13w 1500lm 2бр/к-т","Диодни крушки 3900  H1 - 13w 1500lm 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","281019-P","Диодни крушки 3900 H7 - 13w 1500lm 2бр/к-т","1","0","visible","Диодни крушки 3900 H7 - 13w 1500lm 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки 3900 H7 - 13w 1500lm 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Комплект иновативни&nbsp;LED крушки за фарове H7 - 6000k.</li>
	<li>LED крушките са с ( chip-on-board) диод от ново поколение който се охлаждат единственно и само от корпусът си&nbsp;</li>
	<li>Без вентилатор , съответно&nbsp;без смущение на радиото&nbsp;на автомобилът</li>
	<li>Създават светлинен поток с над&nbsp;150% по-ярка светлина, спрямо стандартните халогенни крушки и са подходящи за всички фарове с рефлектори и лупи.</li>
	<li>Изключително малка консумация на енергия</li>
	<li>100%&nbsp;взаимозаменяеми&nbsp;с вашите стари крушки</li>
</ul>
<ul>
	<li>Оптимален фокус</li>
	<li>Алуминиев радиатор за по-добро охлаждане</li>
	<li>Мощност: 13W на крушка. Oбщо за двете&nbsp;26W</li>
	<li>Ъгъл на осветяване: 360°C</li>
	<li>Влагоустойчиви: IP67</li>
	<li>Светлинен поток:&nbsp;1500&nbsp;lm за крушка. Общо за двете&nbsp;3000lm</li>
	<li>Материал: Алуминий</li>
	<li>Монтират се на стандартният цокъл&nbsp;</li>
	<li>Захранване на крушките:&nbsp;DC 12V-24V</li>
	<li>Работна температура на крушките:&nbsp;-45 ~ +85 °C</li>
	<li>Цвят на светлината: Бяла</li>
	<li>Крушките притежават сертификат: CE, RoSH</li>
	<li>Цената е за&nbsp;комплект от 2 броя крушки</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","56","Осветление, Осветление > Лед крушки за фарове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","920","Диодни крушки 3900 H7 - 13w 1500lm 2бр/к-т","Диодни крушки 3900 H7 - 13w 1500lm 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","281020-P","Диодни крушки 3900 H4 - 13w 1500lm 2бр/к-т","1","0","visible","Диодни крушки 3900 H4 - 13w 1500lm 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни крушки 3900 H4 - 13w 1500lm 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Комплект иновативни&nbsp;LED крушки за фарове H4 - 6000k.</li>
	<li>LED крушките са с ( chip-on-board) диод от ново поколение който се охлаждат единственно и само от корпусът си&nbsp;</li>
	<li>Без вентилатор , съответно&nbsp;без смущение на радиото&nbsp;на автомобилът</li>
	<li>Създават светлинен поток с над&nbsp;150% по-ярка светлина, спрямо стандартните халогенни крушки и са подходящи за всички фарове с рефлектори и лупи.</li>
	<li>Изключително малка консумация на енергия</li>
	<li>100%&nbsp;взаимозаменяеми&nbsp;с вашите стари крушки</li>
</ul>
<ul>
	<li>Оптимален фокус</li>
	<li>Алуминиев радиатор за по-добро охлаждане</li>
	<li>Мощност: 13W на крушка. Oбщо за двете&nbsp;26W</li>
	<li>Ъгъл на осветяване: 360°C</li>
	<li>Влагоустойчиви: IP67</li>
	<li>Светлинен поток:&nbsp;1500&nbsp;lm за крушка. Общо за двете&nbsp;3000lm</li>
	<li>Материал: Алуминий</li>
	<li>Монтират се на стандартният цокъл&nbsp;</li>
	<li>Захранване на крушките:&nbsp;DC 12V-24V</li>
	<li>Работна температура на крушките:&nbsp;-45 ~ +85 °C</li>
	<li>Цвят на светлината: Бяла</li>
	<li>Крушките притежават сертификат: CE, RoSH</li>
	<li>Цената е за&nbsp;комплект от 2 броя крушки</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","80","Осветление, Осветление > Лед крушки за фарове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","920","Диодни крушки 3900 H4 - 13w 1500lm 2бр/к-т","Диодни крушки 3900 H4 - 13w 1500lm 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28646-P","Диод ANGEL EYES BMW E90/E91-10W","1","0","visible","Диод ANGEL EYES BMW E90/E91-10W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диод ANGEL EYES BMW E90/E91-10W
<h4>Характеристики</h4>
<ul>
	
	<li>Крушка CREE LED Angel Eyes специално проектиран за&nbsp;BMW 3&nbsp;Series E90, E91.&nbsp;</li>
	<li>Напрежение: 12V</li>
	<li>Мошност: 10W всяка</li>
	<li>Материал: Алуминий</li>
	<li>Светлинен поток: 1600LM</li>
	<li>Брой крушки: 2</li>
	<li>Цвят на светлината: Бял</li>
	<li>Водоустойчива защита&nbsp;IP65</li>
	<li>Живот: над 50 000 часа.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","70","Осветление, Осветление > Лед крушки за фарове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","920","Диод ANGEL EYES BMW E90/E91-10W","Диод ANGEL EYES BMW E90/E91-10W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282172-P","Диод ANGEL EYES 282172 BMW E90/E91-20W","1","0","visible","Диод ANGEL EYES 282172 BMW E90/E91-20W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диод ANGEL EYES 282172 BMW E90/E91-20W
<h4>Характеристики</h4>
<ul>
	
	<li>Бели LED крушки Angel Eyes&nbsp;с 4 диода за BMW E90, E91.&nbsp;</li>
	<li>Напрежение: 12V</li>
	<li>Мошност: 20W</li>
	<li>Материал: Алуминий</li>
	<li>Светлинен поток: 1600LM</li>
	<li>Брой крушки: 2</li>
	<li>Цвят на светлината: Бял</li>
	<li>Лесен монтаж -&nbsp;монтират се на мястото на оригиналните лампи.</li>
	<li>Водоустойчива защита&nbsp;IP65</li>
	<li>Живот: над 50 000 часа.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","85","Осветление, Осветление > Лед крушки за фарове","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","920","Диод ANGEL EYES 282172 BMW E90/E91-20W","Диод ANGEL EYES 282172 BMW E90/E91-20W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
