Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","282074-P","Диодна лента 2633 5 метра 12V - червена","1","0","visible","Диодна лента 2633 5 метра 12V - червена. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодна лента 2633 5 метра 12V - червена
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят : Червен</li>
	<li>Входно напрежение: DC 12V</li>
	<li>Тип LED: SMD 2633</li>
	<li>Ъгъл на лъча: 120 °</li>
	<li>Дължина на лентата : 5 метра&nbsp;</li>
	<li>Работно напрежение 12V</li>
	<li>Прахо и водоустойчивост.</li>
	<li>Подходящи за:автомобили, мотопеди, мотоциклети, атв, утв и много други.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","28","Осветление, Осветление > Лед ленти","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","916","Диодна лента 2633 5 метра 12V - червена","Диодна лента 2633 5 метра 12V - червена. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282073-P","Диодна лента 2633 5 метра 12V - синя","1","0","visible","Диодна лента 2633 5 метра 12V - синя. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодна лента 2633 5 метра 12V - синя
<h4>Характеристики</h4>
<ul>
	
	<li>Цвят : Син</li>
	<li>Входно напрежение: DC 12V</li>
	<li>Тип LED: SMD 2633</li>
	<li>Ъгъл на лъча: 120 °</li>
	<li>Дължина на лентата : 5 метра&nbsp;</li>
	<li>Работно напрежение 12V</li>
	<li>Прахо и водоустойчивост.</li>
	<li>Подходящи за:автомобили, мотопеди, мотоциклети, атв, утв и много други.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","28","Осветление, Осветление > Лед ленти","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","916","Диодна лента 2633 5 метра 12V - синя","Диодна лента 2633 5 метра 12V - синя. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28954-P","Диодни светлини с мигач бягащ 2015 2бр./к-т","1","0","visible","Диодни светлини с мигач бягащ 2015 2бр./к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни светлини с мигач бягащ 2015 2бр./к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Универсални LED ленти за фарове с функция мигач тип бягащ.</li>
	<li>Гъвкави.</li>
	<li>Лесен монтаж, чрез двойнозалепващо тиксо.</li>
	<li>Водо и прахоустойчиви.</li>
	<li>Ниска консумация на електроенергия.</li>
	<li>Работно напрежение: 12V.</li>
	<li>Живот: 50000 часа.</li>
	<li>Размери: дължина 60см; широчина 17мм; дебелина на лентата 4мм, на капачката 6мм.</li>
	<li>2 броя в комплект.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","34","Осветление, Осветление > Лед ленти","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","916","Диодни светлини с мигач бягащ 2015 2бр./к-т","Диодни светлини с мигач бягащ 2015 2бр./к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28975-P","Диодна лента 5метра 12V - 7 цвята с дистанционно","1","0","visible","Диодна лента 5метра 12V - 7 цвята с дистанционно. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодна лента 5метра 12V - 7 цвята с дистанционно
<h4>Характеристики</h4>
<ul>
	
	<li>12V</li>
	<li>Диодна лента 5м</li>
	<li>7цвята с дистанционно</li>
	<li>Цената е за 5м ролка&nbsp;</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","20","Осветление, Осветление > Лед ленти","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","916","Диодна лента 5метра 12V - 7 цвята с дистанционно","Диодна лента 5метра 12V - 7 цвята с дистанционно. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282068-P","Диод за врата AUDI 2бр./к-т","1","0","visible","Диод за врата AUDI 2бр./к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диод за врата AUDI 2бр./к-т
<p><br>
Диода за врата с висока разделителна способност (LED проектор за врати) е директен&nbsp;заместител на оригиналните светлини на вратите на автомобила. Проектира ярко&nbsp;логото&nbsp;на пода, когато вратата се отвори.</p>
<h4>Характеристики</h4>
<ul>
	
	<li>Напрежение: DC 9V - 36V</li>
	<li>Тип материал: ABS, алуминиева сплав</li>
	<li>Високоефективна и енергоспестяваща.</li>
	<li>Без замърсяване, без шум, без електронни смущения.</li>
	<li>Лесна инсталация.</li>
	<li>AC леща с висока пропускливост.</li>
	<li>Комплекта съдържа 2 броя диод за врата.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","22","Осветление, Осветление > Лед ленти","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","916","Диод за врата AUDI 2бр./к-т","Диод за врата AUDI 2бр./к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28457-P","Диодна лента 5метра 12V - синя","1","0","visible","Диодна лента 5метра 12V - синя. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодна лента 5метра 12V - синя
<h4>Характеристики</h4>
<ul>
	
	<li>Декоративна LED водоустойчива лента с дължина 5 метра.</li>
	<li>Напрежение: 12V</li>
	<li>Срок на експлоатация: 10 000 часа;</li>
	<li>Стабилна температура: -20 ° C до 50 ° C.;</li>
	<li>Цената е за 1 метър</li>
	<li>Една ролка 5 метра&nbsp;</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Осветление, Осветление > Лед ленти","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","916","Диодна лента 5метра 12V - синя","Диодна лента 5метра 12V - синя. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282064-P","Интериорна LED лента 1 метър - зелена","1","0","visible","Интериорна LED лента 1 метър - зелена. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Интериорна LED лента 1 метър - зелена
<h4>Характеристики</h4>
<ul>
	
	<li>Дължина на лентата:1 метър.</li>
	<li>Диаметър:2.3мм.</li>
	<li>Широчина:6мм.</li>
	<li>Работно напрежение:12V.</li>
	<li>Работна температура:-20С до +70С.</li>
	<li>Живот:6000-7000 часа.</li>
	<li>Дължина на кабела от захранващият модул до лентата:48см.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Осветление, Осветление > Лед ленти","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","916","Интериорна LED лента 1 метър - зелена","Интериорна LED лента 1 метър - зелена. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28894-P","Интериорна LED лента 1 метър - бяла","1","0","visible","Интериорна LED лента 1 метър - бяла. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Интериорна LED лента 1 метър - бяла
<h4>Характеристики</h4>
<ul>
	
	<li>Дължина на лентата: 1 метър.</li>
	<li>Диаметър: 2.3мм.</li>
	<li>Широчина: 6мм.</li>
	<li>Работно напрежение: 12V.</li>
	<li>Работна температура: -20С до +70С.</li>
	<li>Живот: 6000-7000 часа.</li>
	<li>Дължина на кабела от захранващият модул до лентата: 48см.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Осветление, Осветление > Лед ленти","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","916","Интериорна LED лента 1 метър - бяла","Интериорна LED лента 1 метър - бяла. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","281112-P","Интериорна LED лента 2 метра - бяла","1","0","visible","Интериорна LED лента 2 метра - бяла. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Интериорна LED лента 2 метра - бяла
","","","taxable","","1","","","0","0","","","","","1","","","11","Осветление, Осветление > Лед ленти","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","916","Интериорна LED лента 2 метра - бяла","Интериорна LED лента 2 метра - бяла. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28527-P","Диодна лента 5метра 24V - бяла","1","0","visible","Диодна лента 5метра 24V - бяла. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодна лента 5метра 24V - бяла
<h4>Характеристики</h4>
<ul>
	
	<li>24V</li>
	<li>Диодна лента 5м</li>
	<li>Цената е за 1 метър<br>
	Една ролка 5 метра&nbsp;</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Осветление, Осветление > Лед ленти","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","916","Диодна лента 5метра 24V - бяла","Диодна лента 5метра 24V - бяла. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
