Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","3609-P","Неон за купе SD 131. AD 09.SD 106","1","0","visible","Неон за купе SD 131. AD 09.SD 106. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Неон за купе SD 131. AD 09.SD 106
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 12V</li>
	<li>Супер ярки LED лампи.</li>
	<li>Висока яркост и ниска консумация на енергия.</li>
	<li>Монтажът е елементарен.</li>
	<li>Приложение в автомобили, бусове, каравани, камиони.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Осветление, Осветление > Лед плафони","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","913","Неон за купе SD 131. AD 09.SD 106","Неон за купе SD 131. AD 09.SD 106. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","36001-P","Неон купе голям 692, 12V","1","0","visible","Неон купе голям 692, 12V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Неон купе голям 692, 12V
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 12V</li>
	<li>Супер ярки 36 LED лампи.</li>
	<li>Висока яркост и ниска консумация на енергия.</li>
	<li>Монтажът е елементарен.</li>
	<li>Удароустойчива и водоустойчива защита IP67.</li>
	<li>Дълъг живот 8000-20000 часа</li>
	<li>Работна температура -40~50°C</li>
	<li>Размери: 210 х 100 х 30мм</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","9","Осветление, Осветление > Лед плафони","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","913","Неон купе голям 692, 12V","Неон купе голям 692, 12V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","281029-P","Диодна плочка - 2327","1","0","visible","Диодна плочка - 2327. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодна плочка - 2327
<h4>Характеристики</h4>
<ul>
	
	<li>Диодна плочка за осветяване на кръстове ,рекламни табели ,букви и пана.</li>
	<li>Начин на закрепяне: с двойнолепеща лента или видии ,пирони и т.н.</li>
	<li>Работно напрежение:12V</li>
	<li>Могат да работят във верига както и сами.</li>
	<li>Размери на едната плочка: 6,5х1,2см</li>
	<li><strong>Посочената цена е за 1бр.</strong></li>
	<li><strong>Продават се по 20 броя.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Осветление, Осветление > Лед плафони","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","913","Диодна плочка - 2327","Диодна плочка - 2327. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","281030-P","Диодна плочка - 2328","1","0","visible","Диодна плочка - 2328. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодна плочка - 2328
<h4>Характеристики</h4>
<ul>
	
	<li>Диодна плочка за осветяване на кръстове, рекламни табели, букви и пана.</li>
	<li>Начин на закрепяне: с двойнолепеща лента или видии, пирони и т.н.</li>
	<li>Работно напрежение: 12V</li>
	<li>Могат да работят във верига както и сами.</li>
	<li>Размери на едната плочка: 6,5х1,5см</li>
	<li><strong>Посочената цена е за 1бр.</strong></li>
	<li><strong>Продават се по 20 броя</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Осветление, Осветление > Лед плафони","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","913","Диодна плочка - 2328","Диодна плочка - 2328. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","281031-P","Диодна плочка - 2329","1","0","visible","Диодна плочка - 2329. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодна плочка - 2329
<h4>Характеристики</h4>
<ul>
	
	<li>Диодна плочка за осветяване на кръстове ,рекламни табели ,букви и пана.</li>
	<li>Начин на закрепяне: с двойнолепеща лента или видии ,пирони и т.н.</li>
	<li>Работно напрежение:12V 1.5w</li>
	<li>Могат да работят във верига както и сами.</li>
	<li>Размери на едната плочка: 4.5х3см</li>
	<li><strong>Посочената цена е за 1бр.</strong></li>
	<li><strong>Продават се по&nbsp;20бр.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Осветление, Осветление > Лед плафони","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","913","Диодна плочка - 2329","Диодна плочка - 2329. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","3696-P","Неон за купе с 8 диода HY009","1","0","visible","Неон за купе с 8 диода HY009. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Неон за купе с 8 диода HY009
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 12V</li>
	<li>Супер ярки LED лампи.</li>
	<li>Висока яркост и ниска консумация на енергия.</li>
	<li>Монтажът е елементарен.</li>
	<li>Комплектът се предлага с винтове и свързващ кабел за бърз и лесен монтаж.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Осветление, Осветление > Лед плафони","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","913","Неон за купе с 8 диода HY009","Неон за купе с 8 диода HY009. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","3695-P","Неон за купе с 18 диода HY-1939","1","0","visible","Неон за купе с 18 диода HY-1939. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Неон за купе с 18 диода HY-1939
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 12V</li>
	<li>Супер ярки LED лампи</li>
	<li>Висока яркост и ниска консумация на енергия</li>
	<li>Монтажът е елементарен</li>
	<li>Комплектът се предлага с винтове и свързващ кабел за бърз и лесен монтаж</li>
	<li>Размер : 126мм х 68мм х&nbsp;20мм</li>
</ul>
<p>&nbsp;</p>","","","taxable","","1","","","0","0","","","","","1","","","6","Осветление, Осветление > Лед плафони","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","913","Неон за купе с 18 диода HY-1939","Неон за купе с 18 диода HY-1939. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181339-P","Плафон за номер TR011","1","0","visible","Плафон за номер TR011. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Плафон за номер TR011
<h4>Характеристики</h4>
<ul>
	
	<li>Подходящ за: мотокар, VAN, ремарке, Строителни машини, каравана, камион, трактори.</li>
	<li>Изработен от&nbsp;ABS пластмаса.</li>
	<li>Размери: 68 мм х 38 мм х 32 мм.</li>
	<li>Гумиран кабелен вход.</li>
	<li>Разстояние между винтовете M5: 44 мм.</li>
	<li>Напрежение: 12V.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Осветление, Осветление > Лед плафони","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","913","Плафон за номер TR011","Плафон за номер TR011. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28753-P","LED плафони регистрационен номер за BMW 1-Series / 6-Series / Z4","1","0","visible","LED плафони регистрационен номер за BMW 1-Series / 6-Series / Z4. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","LED плафони регистрационен номер за BMW 1-Series / 6-Series / Z4
<h4>Характеристики</h4>
<ul>
	
	<li>LED плафони за регистрационен номер за BMW<strong>:</strong><br>
	<br>
	<strong>BMW 1 Series</strong><br>
	E81 3 doors Hatchback - (2007-2011)<br>
	E87 5 doors Hatchback - (2004-2006)<br>
	E87 LCI 5 door Hatchback - (2007-2011)<br>
	F20 5 doors Hatchback - (2012+)<br>
	<br>
	<strong>BMW 6 Series</strong><br>
	E63 2 doors Coupe - (2004-2007)<br>
	E63 LCI 2 doors Coupe - (2007+)<br>
	E63 M6 2 doors Coupe - (2005-2010)<br>
	E64 2 doors Cabrio/Convertible - (2004-2007)<br>
	E64 LCI 2 doors Cabrio/Convertible - (2007+)<br>
	E64 M6 2 doors Cabrio/Convertible - (2005-2010)<br>
	F12 2 doors Coupe - (2011+)<br>
	F13 2 doors Cabrio/Convertible - (2011+)<br>
	F06 4 doors Gran Coupe Sedan/Saloon - (2013+)<br>
	<br>
	<strong>BMW Z4</strong><br>
	Z4 E85 2 doors Cabrio/Roadster - (2002-2008)<br>
	Z4 E85 LCI 2 doors Cabrio/Roadster - (2006-2008)<br>
	Z4 E85 Z4M 2 doors Cabrio/Roadster - (2004-2008)<br>
	Z4 E86 2 doors Coupe - (2005-2008)<br>
	Z4 E86 Z4M 2 doors Coupe - (2005-2008)<br>
	Z4 E89 2 doors Cabrio/Convertible 2009+)<br>
	&nbsp;</li>
	<li>3бр. Cree CANBUS диода, които не дават грешка и светят в ярко бяла светлина.</li>
	<li>Придават нов и модерен вид на вашият автомобил.</li>
	<li>2бр. кабели за захранване от оригиналните букси.</li>
	<li>Захранване: 12V.</li>
	<li>Перфектно пасване без преправяне.</li>
	<li>Бърз и лесен монтаж.<br>
	<br>
	<strong>Размери</strong></li>
	<li>Дължина: 103мм</li>
	<li>Ширина: 34мм</li>
	<li>Дебелина: 21мм<br>
	<br>
	Посочената цена е за комплект от 2 броя LED плафони за регистрационен номер.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","47","Осветление, Осветление > Лед плафони","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","913","LED плафони регистрационен номер за BMW 1-Series / 6-Series / Z4","LED плафони регистрационен номер за BMW 1-Series / 6-Series / Z4. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","282030-P","LED плафони регистрационен номер за Honda","1","0","visible","LED плафони регистрационен номер за Honda. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","LED плафони регистрационен номер за Honda
<h4>Характеристики</h4>
<ul>
	
	<li>LED плафони за регистрационен номер за <strong>Honda:</strong><br>
	&gt; Civic VII 4/5Doors - (2006-2012)<br>
	&gt; Civic VIII - (2001-2005)<br>
	&gt; Civic Sedan - (2013-2015)<br>
	&gt; &nbsp;Accord 4DOORS ONLY&nbsp;- (2003-2017)<br>
	&gt; &nbsp;City 4Doors - (2003-2009)</li>
	<li>18бр. CANBUS диода, които не дават грешка и светят в ярко бяла светлина.</li>
	<li>Придават нов и модерен вид на вашият автомобил.</li>
	<li>Захранване: 12V.</li>
	<li>Перфектно пасване без преправяне.</li>
	<li>Бърз и лесен монтаж.<br>
	<br>
	<strong>Размери</strong></li>
	<li>Дължина: 70мм</li>
	<li>Ширина: 35мм</li>
	<li>Дебелина:30мм<br>
	<br>
	Посочената цена е за комплект от 2 броя LED плафони за регистрационен номер.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","24","Осветление, Осветление > Лед плафони","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","913","LED плафони регистрационен номер за Honda","LED плафони регистрационен номер за Honda. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
