Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","185749-P","Алкална Батерия VARTA LONGLIFE - AАA","1","0","visible","Алкална Батерия VARTA LONGLIFE - AАA. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Алкална Батерия VARTA LONGLIFE - AАA
<h4>Характеристики</h4>
<ul>
	
	<li>Батерии&nbsp;VARTA&nbsp;Longlife AАА&nbsp;(LR03)</li>
	<li>Напрежение 1,5 V</li>
	<li>Капацитет 2800 mAh</li>
	<li>Температурен диапазон -10 до +50 ºC</li>
	<li><strong>Цената е за 1бр батерия</strong></li>
	<li><strong>Предлагат се само на пакет&nbsp;по 6 броя.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Осветление, Осветление > Работни лампи и фенери","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","912","Алкална Батерия VARTA LONGLIFE - AАA","Алкална Батерия VARTA LONGLIFE - AАA. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","185748-P","Алкална Батерия VARTA LONGLIFE - AA","1","0","visible","Алкална Батерия VARTA LONGLIFE - AA. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Алкална Батерия VARTA LONGLIFE - AA
<h4>Характеристики</h4>
<ul>
	
	<li>Батерия&nbsp;Longlife AA LR6</li>
	<li>Напрежение 1,5 V</li>
	<li>Капацитет 2800 mAh</li>
	<li>Температурен диапазон -10 до +50 ºC</li>
	<li><strong>Цената е за 1бр батерия</strong></li>
	<li><strong>Предлагат се на пакет&nbsp;по 6 броя.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Осветление, Осветление > Работни лампи и фенери","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","912","Алкална Батерия VARTA LONGLIFE - AA","Алкална Батерия VARTA LONGLIFE - AA. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","45034-P","Работна лампа с акумулаторна батерия - 8860 55W","1","0","visible","Работна лампа с акумулаторна батерия - 8860 55W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Работна лампа с акумулаторна батерия - 8860 55W
<h4>Характеристики</h4>
<ul>
	
	<li>Изключително подходящ при извършване на ремонтни дейности в дома, в гаража и т.н.</li>
	<li>Енергоспестяващи светодиоди.</li>
	<li>Светодиодите са с живот над 100 000 часа.</li>
	<li>Защита срещу претоварване.</li>
	<li>Практичен и удобен.</li>
	<li>Изключително ярка светлина в бял цвят.</li>
	<li>Сгъваема кука, за да може да го закачате, където пожелаете.</li>
	<li>Магнит в долната част.</li>
	<li>Зарежда се чрез кабел в колата или в домашни условия.<br>
	<br>
	<strong>Размери</strong><br>
	Дължина: 37,5см<br>
	Ширина: 3,5см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","16","Осветление, Осветление > Работни лампи и фенери","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","912","Работна лампа с акумулаторна батерия - 8860 55W","Работна лампа с акумулаторна батерия - 8860 55W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","45028-P","Работна лампа - 2288","1","0","visible","Работна лампа - 2288. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Работна лампа - 2288
<h4>Характеристики</h4>
<ul>
	
	<li>Работна лампа с чупеща се глава, подходяща за всякаква работа изискваща светлина - при ремонт на колата, ремонти вкъщи, къмпинг, туризъм, лов, риболов и още.</li>
	<li>Лек компактен и преносим модел.</li>
	<li>Сгъваем дизайн за удобно съхранение.</li>
	<li>Силен магнит в долната си част, което позволява и двете ръце да са свободни.</li>
	<li>Допълнителна кука за закачане.</li>
	<li>Пластмасова матирана повърхност, която не позволява хлъзгане.</li>
	<li>Клипс за носене.</li>
	<li>Работи с вграден акумулатор, който се зарежда посредством приложения USB кабел, може и със зарядно за GSM microUSB.</li>
	<li>Акумулаторна батерия: 1800mAh.</li>
	<li>Време за зареждане: ca. 7 ~ 8 часа.</li>
	<li>Фенерът работи с 5 режима на светене.</li>
	<li>1 степен - натиснете бутона веднъж, за да се включи бяла силна светлина.</li>
	<li>2 степен - натиснете още веднъж за да намалите яркостта.</li>
	<li>3 степен - натиснете отново за да светне само фенерчето в горният ъгъл.</li>
	<li>4 степен - задръжте продължително, за да светне червена светлина.</li>
	<li>5 степен - натиснете бутона, за да се включи червена премигваща светлина.</li>
	<li>Размер при сгънато положение: 11 см.</li>
	<li>Размер при разгънато положение: 20 см.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","16","Осветление, Осветление > Работни лампи и фенери","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","912","Работна лампа - 2288","Работна лампа - 2288. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","45024-P","Работна лампа с акумулаторна батерия - 812 107см","1","0","visible","Работна лампа с акумулаторна батерия - 812 107см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Работна лампа с акумулаторна батерия - 812 107см
<h4>Характеристики</h4>
<ul>
	
	<li>Изключително подходящ при извършване на ремонтни дейности в дома,&nbsp;гаража и т.н.</li>
	<li>Енергоспестяващи светодиоди.</li>
	<li>Светодиодите са с живот над 100 000 часа.</li>
	<li>2 режима на светлина&nbsp;</li>
	<li>Батерията издържа 3 часа , след пълно зареждане от 4-6 часа</li>
	<li>Защита срещу претоварване.</li>
	<li>Изключително ярка светлина в бял цвят.</li>
	<li>Сгъваема кука + магнити , за да може да го закачате, където пожелаете.&nbsp;</li>
	<li>Зарежда се чрез кабел в колата или в домашни условия.<br>
	&nbsp;</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","54","Осветление, Осветление > Работни лампи и фенери","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","912","Работна лампа с акумулаторна батерия - 812 107см","Работна лампа с акумулаторна батерия - 812 107см. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","45022-P","Работна лампа с акумулаторна батерия - 8836","1","0","visible","Работна лампа с акумулаторна батерия - 8836. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Работна лампа с акумулаторна батерия - 8836
<h4>Характеристики</h4>
<ul>
	
	<li>Изключително подходящ при извършване на ремонтни дейности в дома, в гаража и т.н.</li>
	<li>Енергоспестяващи светодиоди.</li>
	<li>Светодиодите са с живот над 100 000 часа.</li>
	<li>Вградена батерия Ni-Mh 3.6V 1200mA.</li>
	<li>Живот на батерията: Над 500 цикъла на зареждане.</li>
	<li>Защита срещу претоварване.</li>
	<li>Практичен и удобен.</li>
	<li>Изключително ярка светлина в бял цвят.</li>
	<li>Сгъваема кука, за да може да го закачате, където пожелаете.</li>
	<li>Магнит в долната част.</li>
	<li>Зарежда се чрез кабел в колата или в домашни условия.<br>
	<br>
	<strong>Размери</strong><br>
	Дължина: 22см<br>
	Ширина: 5.5см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","31","Осветление, Осветление > Работни лампи и фенери","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","912","Работна лампа с акумулаторна батерия - 8836","Работна лампа с акумулаторна батерия - 8836. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","185658-P","Батерия VARTA LONGLIFE - AAА","1","0","visible","Батерия VARTA LONGLIFE - AAА. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Батерия VARTA LONGLIFE - AAА
<h4>Характеристики</h4>
<ul>
	
	<li>Батерия&nbsp;Longlife AAA LR03</li>
	<li>Цената е за 1бр батерия</li>
	<li><strong>Предлагат се само на пакет от по 24 броя.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Осветление, Осветление > Работни лампи и фенери","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","912","Батерия VARTA LONGLIFE - AAА","Батерия VARTA LONGLIFE - AAА. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","185659-P","Батерия VARTA LONGLIFE - AA","1","0","visible","Батерия VARTA LONGLIFE - AA. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Батерия VARTA LONGLIFE - AA
<h4>Характеристики</h4>
<ul>
	
	<li>Батерии&nbsp;Longlife AA&nbsp;LR6</li>
	<li>Цената е за 1бр батерия.</li>
	<li><strong>Предлагат се само на пакет от по 24 броя.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Осветление, Осветление > Работни лампи и фенери","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","912","Батерия VARTA LONGLIFE - AA","Батерия VARTA LONGLIFE - AA. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181771-P","Батерия VARTA SUPERLIFE - AA","1","0","visible","Батерия VARTA SUPERLIFE - AA. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Батерия VARTA SUPERLIFE - AA
<h4>Характеристики</h4>
<ul>
	
	<li>Цената е за 1бр батерия.</li>
	<li><strong>Продават се по 4 броя в опаковка.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","1","Осветление, Осветление > Работни лампи и фенери","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","912","Батерия VARTA SUPERLIFE - AA","Батерия VARTA SUPERLIFE - AA. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","181772-P","Батерия VARTA SUPERLIFE - AAА","1","0","visible","Батерия VARTA SUPERLIFE - AAА. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Батерия VARTA SUPERLIFE - AAА
<h4>Характеристики</h4>
<ul>
	
	<li>Цената е за 1бр батерия.</li>
	<li><strong>Продават се по 4 броя в опаковка.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","1","Осветление, Осветление > Работни лампи и фенери","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","912","Батерия VARTA SUPERLIFE - AAА","Батерия VARTA SUPERLIFE - AAА. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
