Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","331002-P","Сигнална лампа - маяк 1002 2 БР/К-Т WIRELESS","1","0","visible","Сигнална лампа - маяк 1002 2 БР/К-Т WIRELESS. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Сигнална лампа - маяк 1002 2 БР/К-Т WIRELESS
<h4>Характеристики</h4>
<ul>
	
	<li>Акумулаторни предупредителни светлини, 2 броя в комплект с по 12 светодиода.</li>
	<li>Време за зареждане около 2 часа, време за разреждане около 8 часа.</li>
	<li>Размери на светлината: 110 мм х 110 мм</li>
	<li>Подходящи за: платформи, влекачи, бусове, трактори, мотокари, ремаркета и каравани.</li>
	<li>Магнитно закрепване.</li>
	<li>Стоповете работят на 12-24V.</li>
	<li>Мощност: 5W</li>
	<li>Входно напрежение: 5V</li>
	<li>Степен на водоустойчевост IP67.</li>
	<li>Цвят на светодиода: оранжев</li>
	<li>Работна температура: -40°C~65°C</li>
	<li>Доставя се в удобен куфар.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","124","Осветление, Осветление > Сигнални лампи и маяци","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","911","Сигнална лампа - маяк 1002 2 БР/К-Т WIRELESS","Сигнална лампа - маяк 1002 2 БР/К-Т WIRELESS. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","331003-P","Сигнална лампа - маяк 1003","1","0","visible","Сигнална лампа - маяк 1003. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Сигнална лампа - маяк 1003
<h4>Характеристики</h4>
<ul>
	
	<li>Стоповете работят на 12-24V.</li>
	<li>Мощност: 5W</li>
	<li>12 броя LED</li>
	<li>Захранване на сигналната лампа от запалката на превозното средство.</li>
	<li>Подходящ&nbsp;за платформи, влекачи, бусове, трактори, мотокари, ремаркета и каравани.</li>
	<li>Водоустойчева&nbsp;предупредителна светлина, защита IP67.</li>
	<li>Закрепване с магнит.</li>
	<li><strong>Цената е за 1 брой.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","54","Осветление, Осветление > Сигнални лампи и маяци","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","911","Сигнална лампа - маяк 1003","Сигнална лампа - маяк 1003. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","32026-P","Сигнална лампа 1174 - 60 диода 9-30V","1","0","visible","Сигнална лампа 1174 - 60 диода 9-30V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Сигнална лампа 1174 - 60 диода 9-30V
<p>Сигнална лампа тип (маяк) работеща от 9 до 30 волта. С изключително силна и ярка блиц светлина с цел безопасност, предупреждение, внимание, сигнализация.</p>
<p>Маякът е подходящ за автомобили, бусове, камиони, трактори и за извънгабаритни товари.</p>
<p>Основата на лампата е гумена и е направена да се монтира на специална стойка, която влиза в комплекта.</p>
<p>Лампата е изработена от пластмаса и гума, които са устойчиви на механични повреди.</p>
<h4>Характеристики</h4>
<ul>
	
	<li>Сигнална лампа с метална поставка</li>
	<li>Три режима на работа.</li>
	<li>Отлична работа при дъжд, мъгла, сняг и т.н.</li>
	<li>Мощни 60 LED диода.</li>
	<li>Работно напрежение 9-30 волта.</li>
	<li>Цвят на светлината оранжев (amber).</li>
	<li>Материал на маяка PVC.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","50","Осветление, Осветление > Сигнални лампи и маяци","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","911","Сигнална лампа 1174 - 60 диода 9-30V","Сигнална лампа 1174 - 60 диода 9-30V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","331006-P","Сигнална лампа-маяк 1006","1","0","visible","Сигнална лампа-маяк 1006. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Сигнална лампа-маяк 1006
<h4>Характеристики</h4>
<ul>
	
	<li>Сигнална лампа със 7 режима на работа.</li>
	<li>10 LED диода.</li>
	<li>Работно напрежение 12-24 V.</li>
	<li>Цвят на светлината оранжев (amber).</li>
	<li>Устойчив на атмосферни влияния и вибрации - IP67 защита.</li>
	<li>Монтаж с единичен винт.</li>
	<li>Материал на маяка PVC.</li>
	<li>Височина: 2092 мм.</li>
	<li>Диаметър: 130 мм.</li>
	<li>Подходящ за автомобили, камиони, трактори или извънгабаритни товари.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","62","Осветление, Осветление > Сигнални лампи и маяци","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","911","Сигнална лампа-маяк 1006","Сигнална лампа-маяк 1006. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","32030-P","Сигнална лампа 2019-48 диода 12-24V","1","0","visible","Сигнална лампа 2019-48 диода 12-24V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Сигнална лампа 2019-48 диода 12-24V
<p>Сигнална лампа тип (маяк) работеща както на 12 така и на 24 волта. С изключително силна и ярка блиц светлина с цел безопасност.<br>
Маякът е подходящ за автомобили, бусове, камиони, трактори и за извън габаритни товари.</p>
<h4>Характеристики</h4>
<ul>
	
	<li>Мощни 48 SMD диода.</li>
	<li>Работно напрежение 12-24 V.</li>
	<li>Цвят на светлината: Оранжев (amber).</li>
	<li>Захранване на лампата от запалката на превозното средство.</li>
	<li>Разтеглив спираловиден кабел с накрайник за запалка с бутон.</li>
	<li>Монтаж с магнит.</li>
	<li>Материал на маяка PVC.</li>
	<li>Височина: 11см</li>
	<li>Диаметър: 13.5см</li>
	<li>Дължина на кабела: ~2 метра.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","25","Осветление, Осветление > Сигнални лампи и маяци","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","911","Сигнална лампа 2019-48 диода 12-24V","Сигнална лампа 2019-48 диода 12-24V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","32031-P","Сигнална лампа 2019-108 диода 12-24V","1","0","visible","Сигнална лампа 2019-108 диода 12-24V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Сигнална лампа 2019-108 диода 12-24V
<p>Сигнална лампа тип (маяк) работеща както на 12 така и на 24 волта. С изключително силна и ярка блиц светлина с цел безопасност.<br>
Маякът е подходящ за автомобили, бусове, камиони, трактори и за извън габаритни товари.</p>
<h4>Характеристики</h4>
<ul>
	
	<li>Мощни 108 SMD диода.</li>
	<li>Работно напрежение 12-24 V.</li>
	<li>Цвят на светлината: Оранжев (amber).</li>
	<li>Захранване на лампата от запалката на превозното средство.</li>
	<li>Разтеглив спираловиден кабел с накрайник за запалка с бутон.</li>
	<li>Монтаж с магнит.</li>
	<li>Материал на маяка PVC.</li>
	<li>Височина: 11см</li>
	<li>Диаметър: 13.5см</li>
	<li>Дължина на кабела: ~2 метра.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","28","Осветление, Осветление > Сигнални лампи и маяци","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","911","Сигнална лампа 2019-108 диода 12-24V","Сигнална лампа 2019-108 диода 12-24V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","32028-P","Сигнална лампа 2017 12-24V","1","0","visible","Сигнална лампа 2017 12-24V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Сигнална лампа 2017 12-24V
<p>Сигнална лампа тип (маяк) работеща както на 12 така и на 24 волта. С изключително силна и ярка блиц светлина с цел безопасност. Маякът е подходящ за автомобили, бусове, камиони, трактори и за извън габаритни товари.</p>
<h4>Характеристики</h4>
<ul>
	
	<li>Мощни 30 smd диода.</li>
	<li>Работно напрежение 12-24 волта.</li>
	<li>Цвят на светлината оранжев (amber).</li>
	<li>Захранване на лампата от запалката на превозното средство.</li>
	<li>Разтеглив спираловиден кабел с накрайник за запалка с бутон.</li>
	<li>Монтаж с магнит.</li>
	<li>Материал на маяка PVC.</li>
	<li>Височина: 10см.</li>
	<li>Диаметър: 28см.</li>
	<li>Дължина на кабела ~ 2 метра.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","22","Осветление, Осветление > Сигнални лампи и маяци","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","911","Сигнална лампа 2017 12-24V","Сигнална лампа 2017 12-24V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","32059-P","Сигнална лампа маяк 218 / 8 диода - соларна","1","0","visible","Сигнална лампа маяк 218 / 8 диода - соларна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Сигнална лампа маяк 218 / 8 диода - соларна
<h4>Характеристики</h4>
<ul>
	
	<li>Солидна конструкция: IP 67 водоустойчиви</li>
	<li>Висока видимост: Супер-яркочервеният светодиоден масив може да се вижда&nbsp;на километър през нощта.</li>
	<li>Вградена батерия</li>
	<li>Копче за включване&nbsp;</li>
	<li>Магнит</li>
	<li>Цвят на светлината: жълт</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","34","Осветление, Осветление > Сигнални лампи и маяци","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","911","Сигнална лампа маяк 218 / 8 диода - соларна","Сигнална лампа маяк 218 / 8 диода - соларна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","32042-P","Диодна соларна сигнална лампа-маяк 2475 18 диода","1","0","visible","Диодна соларна сигнална лампа-маяк 2475 18 диода. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодна соларна сигнална лампа-маяк 2475 18 диода
<p>Сигнална лампа тип (маяк) зареждаща се от слънцето, и също така от 12v източник. С изключително силна и ярка блиц светлина с цел безопасност. Маякът е подходящ за автомобили, бусове, камиони, трактори и за извън габаритни товари.</p>
<h4>Характеристики</h4>
<ul>
	
	<li>Мощни 18 smd диода.</li>
	<li>Работно напрежение 12v</li>
	<li>Цвят на светлината оранжев (amber).</li>
	<li>Захранване с презареждаща батерия.</li>
	<li>Соларна.</li>
	<li>Монтаж с магнит.</li>
	<li>Материал на маяка PVC.</li>
	<li>Височина: 95мм.</li>
	<li>Диаметър: 115мм.</li>
	<li>В комплекта са включени кабели за зареждане към запалка и USB.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","47","Осветление, Осветление > Сигнални лампи и маяци","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","911","Диодна соларна сигнална лампа-маяк 2475 18 диода","Диодна соларна сигнална лампа-маяк 2475 18 диода. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","32043-P","Диодна сигнална лампа-маяк 2476 12 диода","1","0","visible","Диодна сигнална лампа-маяк 2476 12 диода. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодна сигнална лампа-маяк 2476 12 диода
<p>Сигнална лампа тип (маяк) работеща както на 12 така и на 24 волта. С изключително силна и ярка блиц светлина с цел безопасност. Маякът е подходящ за автомобили, бусове, камиони, трактори и за извън габаритни товари.</p>
<h4>Характеристики</h4>
<ul>
	
	<li>Мощни 12 smd диода.</li>
	<li>Работно напрежение 12-24 волта.</li>
	<li>Цвят на светлината оранжев (amber).</li>
	<li>Захранване на лампата от запалката на превозното средство.</li>
	<li>Разтеглив спираловиден кабел с накрайник за запалка с бутон.</li>
	<li>Монтаж с магнит.</li>
	<li>Материал на маяка PVC.</li>
	<li>Височина: 95мм.</li>
	<li>Диаметър: 129мм.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","24","Осветление, Осветление > Сигнални лампи и маяци","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","911","Диодна сигнална лампа-маяк 2476 12 диода","Диодна сигнална лампа-маяк 2476 12 диода. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
