Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","53103-P","Диоден стоп-165","1","0","visible","Диоден стоп-165. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диоден стоп-165
<h4>Характеристики</h4>
<ul>
	
	<li>Стоповете са универсални.</li>
	<li>Подходящи за камиони, трактори, ремаркета, влекачи, бусове, каравани, мотокари и др.</li>
	<li>Високо качество на изработка.</li>
	<li>Водоустойчеви и прахоустойчеви.</li>
	<li>Работно напрежение: 24V.</li>
	<li>Широчина: 415мм.</li>
	<li>Височина: 130мм.</li>
	<li>Дебелина: 80мм.</li>
	<li>Разстояние между закрепващите болтове: 150мм.</li>
	<li>Функции: габарит, стоп, мигач, мъгла и задна.</li>
	<li><strong>Цената е за 1 брой стоп</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","28","Осветление, Осветление > Стопове за ремаркета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","909","Диоден стоп-165","Диоден стоп-165. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","76072-P","Стъкло за стоп - 026","1","0","visible","Стъкло за стоп - 026. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Стъкло за стоп - 026
<h4>Характеристики</h4>
<ul>
	
	<li><strong>Стъкло за стоп</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","7","Осветление, Осветление > Стопове за ремаркета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","909","Стъкло за стоп - 026","Стъкло за стоп - 026. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","5370-P","Диодни стопове за камион - 026","1","0","visible","Диодни стопове за камион - 026. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни стопове за камион - 026
<h4>Характеристики</h4>
<ul>
	
	<li><font face=""verdana, geneva, sans-serif"">Работно напрежение: 24V.</font></li>
	<li>5 функции на стоповете: габарит, мигач, стоп светлина, светлина за заден ход, светлина за мъгла.</li>
	<li>Брой диоди: 46 диода</li>
	<li><font face=""verdana, geneva, sans-serif"">Разстояние между монтажните отвори: 15см.</font></li>
	<li>Подходящи за: платформи, влекачи, бусове, трактори, мотокари, ремаркета и каравани.</li>
	<li>Високо качество на изработка.</li>
	<li>Водоустойчиви.</li>
	<li>Ярко открояващи се от далеч за ясна видимост и безопасност.</li>
	<li><strong style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">Цената е за 1&nbsp;брой стоп</strong></li>
</ul>
<ol>
	<li>Дължина: 350 мм.</li>
	<li>Височина: 135 мм.</li>
	<li>Широчина: 85 мм.</li>
</ol>","","","taxable","","1","","","0","0","","","","","1","","","17","Осветление, Осветление > Стопове за ремаркета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","909","Диодни стопове за камион - 026","Диодни стопове за камион - 026. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","53058-P","Диодни стопове - 2252 24V 2бр./к-кт","1","0","visible","Диодни стопове - 2252 24V 2бр./к-кт. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни стопове - 2252 24V 2бр./к-кт
<h4>Характеристики</h4>
<ul>
	
	<li>Два броя LED светодиодни стопове (ляв и десен).</li>
	<li>Подходящи за платформи, влекачи, бусове, трактори, мотокари, ремаркета и каравани на 12V.</li>
	<li>Високо качество на изработка.</li>
	<li>Универсална употреба.</li>
	<li>Водоустойчиви.</li>
	<li>Ярко открояващи се от далеч за ясна видимост и безопасност.</li>
	<li>Размери:дължина 27,7см / височина 10,5 см.</li>
	<li><strong>Цената е за комплект от 2бр.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","25","Осветление, Осветление > Стопове за ремаркета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","909","Диодни стопове - 2252 24V 2бр./к-кт","Диодни стопове - 2252 24V 2бр./к-кт. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","53057-P","Диодни стопове - 2251","1","0","visible","Диодни стопове - 2251. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни стопове - 2251
<h4>Характеристики</h4>
<ul>
	
	<li>Два броя LED светодиодни стопове (ляв и десен).</li>
	<li>Подходящи за платформи, влекачи, бусове, трактори, мотокари, ремаркета и каравани на 12V.</li>
	<li>Високо качество на изработка.</li>
	<li>Универсална употреба.</li>
	<li>Водоустойчиви.</li>
	<li>Ярко открояващи се от далеч за ясна видимост и безопасност.</li>
	<li>Размери:дължина 30см / височина 8.5 см.</li>
	<li><strong>Цената е за 2 броя в комплект.</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","20","Осветление, Осветление > Стопове за ремаркета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","909","Диодни стопове - 2251","Диодни стопове - 2251. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","5334-P","Стоп ES 4020","1","0","visible","Стоп ES 4020. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Стоп ES 4020
<h4>Характеристики</h4>
<ul>
	
	<li>Размери: 48см</li>
	<li>4 режима на светене</li>
	<li>Напрежение: 12V</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Осветление, Осветление > Стопове за ремаркета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","909","Стоп ES 4020","Стоп ES 4020. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","33027-P","Стопове за камион - TR002","1","0","visible","Стопове за камион - TR002. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Стопове за камион - TR002
<h4>Характеристики</h4>
<ul>
	
	<li><font face=""arial, helvetica, sans-serif"">Работно напрежение: 12V.</font></li>
	<li><font face=""arial, helvetica, sans-serif"">Във всеки стоп има включени по 3 броя крушки.</font></li>
	<li><font face=""arial, helvetica, sans-serif"">Тип на крушката: P21 12V 5W.</font></li>
	<li>Функции на стопа: мигач, габарит, задна и стоп.</li>
	<li>Подходящи за: платформи, влекачи, бусове, трактори, мотокари, ремаркета и каравани.</li>
	<li>Високо качество на изработка.</li>
	<li>Водоустойчиви.</li>
	<li>Ярко открояващи се от далеч за ясна видимост и безопасност.</li>
	<li><strong style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">Цената е за 1 брой стоп</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","27","Осветление, Осветление > Стопове за ремаркета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","909","Стопове за камион - TR002","Стопове за камион - TR002. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","53024-P","Диодни стопове за ремарке - TRS008","1","0","visible","Диодни стопове за ремарке - TRS008. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Диодни стопове за ремарке - TRS008
<h4>Характеристики</h4>
<ul>
	
	<li>Комбинирани диодни стопове LED (диоди) 12/24V.</li>
	<li>Функции на стопа: мигач, стоп-светлина, габарит.</li>
	<li>Подходящи за: платформи, влекачи, бусове, трактори, мотокари, ремаркета и каравани.</li>
	<li>Високо качество на изработка.</li>
	<li>Водоустойчиви.</li>
	<li>Ярко открояващи се от далеч за ясна видимост и безопасност.</li>
	<li><strong style=""font-family: arial, helvetica, sans-serif; font-size: 10pt;"">Цената е за 1 брой стоп</strong></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","37","Осветление, Осветление > Стопове за ремаркета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","909","Диодни стопове за ремарке - TRS008","Диодни стопове за ремарке - TRS008. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","33057-P","Стопове за камион - TR027","1","0","visible","Стопове за камион - TR027. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Стопове за камион - TR027
<h4>Характеристики</h4>
<ul>
	
	<li>Комплектът е снабден с 12V крушки, но може да работи и с 24V крушки.</li>
	<li>Във всеки стоп има включени по 2 броя крушки.</li>
	<li>Тип на крушката: P21 12V 5W.</li>
	<li>Функции на стопа: мигач, габарит, осветяване на регистрационния номер, стоп.</li>
	<li>Подходящи за: платформи, влекачи, бусове, трактори, мотокари, ремаркета и каравани.</li>
	<li>Високо качество на изработка.</li>
	<li>Водоустойчеви.</li>
	<li><em><strong>Размери:</strong></em></li>
</ul>
<ol>
	<li>Височина: 80мм.</li>
	<li>Широчина: 165мм.</li>
	<li>Дълбочина на монтаж: 55мм.</li>
	<li>Закреване: 65мм.</li>
</ol>
<ul>
	<li>Ярко открояващи се от далеч за ясна видимост и безопастност.</li>
	<li><em><strong>Цената е за 1&nbsp;брой</strong></em></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","9","Осветление, Осветление > Стопове за ремаркета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","909","Стопове за камион - TR027","Стопове за камион - TR027. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","53028-P","Стопове за ремарке - 1858","1","0","visible","Стопове за ремарке - 1858. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Стопове за ремарке - 1858
<h4>Характеристики</h4>
<ul>
	
	<li>Пластмасов корпус.</li>
	<li>Работно напрежение: 12V</li>
	<li>Функции на стопа: мигач, габарит, стоп, светлоотразител.</li>
	<li>Захващането на стоповете се осъществява посредством 2 монтажни болта.&nbsp;</li>
	<li>Високо качество на изработка.</li>
	<li>Водоустойчиви.</li>
	<li>Ярко открояващи се от далеч за ясна видимост и безопасност.</li>
	<li><u><strong>Цената е за 1 брой</strong></u></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","14","Осветление, Осветление > Стопове за ремаркета","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","909","Стопове за ремарке - 1858","Стопове за ремарке - 1858. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
