Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","441034-P","Стойка за халоген на мотоциклет 001","1","0","visible","Стойка за халоген на мотоциклет 001. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Стойка за халоген на мотоциклет 001
<h4>Характеристики</h4>
<ul>
	
	<li>Многофункционален&nbsp;удължителен адаптер за велосипеди и мотоциклети.</li>
	<li>Идеален за захващане на огледала,&nbsp;смартфони&nbsp;или прожектори.</li>
	<li>Диаметър на резбата: M10 / M8</li>
	<li>Материал: Алуминий</li>
	<li>Цвят: черен</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","13","Осветление, Осветление > Халогени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","915","Стойка за халоген на мотоциклет 001","Стойка за халоген на мотоциклет 001. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63442-P","Захранващ кабел за лед бар 102 с дистанционно","1","0","visible","Захранващ кабел за лед бар 102 с дистанционно. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Захранващ кабел за лед бар 102 с дистанционно
<h4>Характеристики</h4>
<ul>
	
	<li>Захранващ&nbsp;кабел за ЛЕД БАР + Дистанционно</li>
	<li>Комплект окабеляване за лед барове ,Фарове и други ,с кабелни обувки ,предпазител ,реле и ключ - прекъсвач с led индикация за включени и изключени светлини.</li>
	<li>40 ампера бушон</li>
	<li>12 волта</li>
	<li>3.5 метра дължина.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","40","Осветление, Осветление > Халогени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","915","Захранващ кабел за лед бар 102 с дистанционно","Захранващ кабел за лед бар 102 с дистанционно. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","6312-P-1","Халоген 090 2бр/к-т бял","1","0","visible","Халоген 090 2бр/к-т бял. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Халоген 090 2бр/к-т бял
<h4>Характеристики</h4>
<ul>
	
	<li>Размер: 10см х 4см</li>
	<li>Цвят:&nbsp; Бял</li>
	<li>Цената е за 2бр в комплект</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","11","Осветление, Осветление > Халогени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","915","Халоген 090 2бр/к-т бял","Халоген 090 2бр/к-т бял. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","6313-P-1","Халоген 110 2бр/к-т бял","1","0","visible","Халоген 110 2бр/к-т бял. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Халоген 110 2бр/к-т бял
<h4>Характеристики</h4>
<ul>
	
	<li>Размер: 14см х 5см</li>
	<li>Цвят: БЯЛ</li>
	<li>Цокъл на крушката Н3</li>
	<li>Напрежение: 12/24V</li>
	<li>Цената е за 2бр халогени</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","13","Осветление, Осветление > Халогени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","915","Халоген 110 2бр/к-т бял","Халоген 110 2бр/к-т бял. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63217-P","Халоген 166 2бр/к-т син","1","0","visible","Халоген 166 2бр/к-т син. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Халоген 166 2бр/к-т син
<h4>Характеристики</h4>
<ul>
	
	<li><b>Размер: 7см х 5см</b></li>
	<li><b>Цвят: Син</b></li>
	<li><b>Цената е за 2бр в комплект</b></li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","12","Осветление, Осветление > Халогени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","915","Халоген 166 2бр/к-т син","Халоген 166 2бр/к-т син. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63217-P-1","Халогени 166 2бр/к-т бели","1","0","visible","Халогени 166 2бр/к-т бели. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Халогени 166 2бр/к-т бели
<h4>Характеристики</h4>
<ul>
	
	<li>Размер: 9см х 5см</li>
	<li>Цвят: Бял</li>
	<li>Цената е за 2бр в комплект.</li>
	<li>Включени са монтажни елементи.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","12","Осветление, Осветление > Халогени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","915","Халогени 166 2бр/к-т бели","Халогени 166 2бр/к-т бели. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63030-P","Халоген 27381","1","0","visible","Халоген 27381. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Халоген 27381
<h4>Характеристики</h4>
<ul>
	
	<li>WESEM правоъгълен халоген</li>
	<li>Крушка: Н3</li>
	<li>Цвят на халогена: Бял.</li>
	<li>Плътност: IP65</li>
	<li>Размери: 138&nbsp;&nbsp;х 78 х 68 мм.</li>
	<li>Черен, пластмасов корпус и&nbsp;метален рефлектор.</li>
	<li>Лампата може да се монтира&nbsp;във всяка позиция,&nbsp;където има 12V или 24V захранване.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","25","Осветление, Осветление > Халогени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","915","Халоген 27381","Халоген 27381. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63218-P","Халоген 170 2бр/к-т СИН","1","0","visible","Халоген 170 2бр/к-т СИН. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Халоген 170 2бр/к-т СИН
<h4>Характеристики</h4>
<ul>
	
	<li>Размер: 9см х 6см</li>
	<li>Цвят: СИН</li>
	<li>Цокъл на крушката Н3</li>
	<li>Напрежение: 12/24V</li>
	<li>Цената е за 2бр халогени</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","12","Осветление, Осветление > Халогени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","915","Халоген 170 2бр/к-т СИН","Халоген 170 2бр/к-т СИН. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","33022-P","Фар за МПС - 1036","1","0","visible","Фар за МПС - 1036. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Фар за МПС - 1036
<h4>Характеристики</h4>
<ul>
	
	<li>Комплект универсални фарове за МПС - ляв и десен.</li>
	<li>Подходящи за всякакви селскостопански машини, багери и други.</li>
	<li>Халогенни фарове с мигач и габарит.</li>
	<li>Висококачествени.</li>
	<li>Осигуряват отлична светлина по всяко време на денонощието и при лоши метеорологични условия - мъгла и т.н.</li>
	<li>Работно напрежение: 12/24V</li>
	<li>Цената е за 1бр </li>
</ul>
Размери<br>
Дължина: 21.5см
Височина: 14см<br>
Ширина: 10см","","","taxable","","1","","","0","0","","","","","1","","","44","Осветление, Осветление > Халогени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","915","Фар за МПС - 1036","Фар за МПС - 1036. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","63218-P-1","Халоген 170 2бр/к-т БЯЛ","1","0","visible","Халоген 170 2бр/к-т БЯЛ. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Халоген 170 2бр/к-т БЯЛ
<h4>Характеристики</h4>
<ul>
	
	<li>Размер: 8см х 6см</li>
	<li>Цвят: БЯЛ</li>
	<li>Цокъл на крушката Н3</li>
	<li>Напрежение: 12/24V</li>
	<li>Цената е за 2бр халогени</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","12","Осветление, Осветление > Халогени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","915","Халоген 170 2бр/к-т БЯЛ","Халоген 170 2бр/к-т БЯЛ. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
