Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","28472-P","Крушка H4 24V","1","0","visible","Крушка H4 24V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушка H4 24V
<h4>Характеристики</h4>
<ul>
	
	<li>Тип крушка: H4</li>
	<li>Напрежение: 24V</li>
	<li>Вид цокъл: P43T</li>
	<li>Мощност: 60W</li>
	<li>Цветна температура:&nbsp;Неутрално бяла</li>
	<li>Цената е за 1бр.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","1","Осветление, Осветление > Халогенни крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","922","Крушка H4 24V","Крушка H4 24V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28882-P","Крушка Маxxx Light - PSX24W 12V","1","0","visible","Крушка Маxxx Light - PSX24W 12V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушка Маxxx Light - PSX24W 12V
<h4>Характеристики</h4>
<ul>
	
	<li>Халогенна крушка Маxxx Light PSX24W&nbsp;за автомобил.</li>
	<li>Материал: UV филтър кварцово стъкло.</li>
	<li>Напрежение: 12V</li>
	<li>Мощност: 24W</li>
	<li>Цената е за 1бр</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Осветление, Осветление > Халогенни крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","922","Крушка Маxxx Light - PSX24W 12V","Крушка Маxxx Light - PSX24W 12V. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28611-P","Крушки Maxxx Light H3 12V 55W P22S Жълти","1","0","visible","Крушки Maxxx Light H3 12V 55W P22S Жълти. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушки Maxxx Light H3 12V 55W P22S Жълти
<h4>Характеристики</h4>
<ul>
	
	<li>Халогенна крушка&nbsp;Maxxx Light за фар.</li>
	<li>Висока яркост и ниска консумация на енергия.</li>
	<li>Тип лампа: H3</li>
	<li>Тип цокъл: P22S</li>
	<li>Цвят: Жълт.</li>
	<li>Напрежение: 12V.</li>
	<li>Мощност: 55W.</li>
	<li>Цената е за 1 бр.</li>
	<li>Продават се на пакет х 10 броя.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Осветление, Осветление > Халогенни крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","922","Крушки Maxxx Light H3 12V 55W P22S Жълти","Крушки Maxxx Light H3 12V 55W P22S Жълти. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","281054-P","Халогеннa крушкa H7 HNG 100W","1","0","visible","Халогеннa крушкa H7 HNG 100W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Халогеннa крушкa H7 HNG 100W
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 12V.</li>
	<li>Перфектно осветяващи пътя с максимална видимост за безопастното Ви шофиране.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Осветление, Осветление > Халогенни крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","922","Халогеннa крушкa H7 HNG 100W","Халогеннa крушкa H7 HNG 100W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","281131-P","Халогеннa крушкa H4 DUML - 100/90W 2бр/к-т","1","0","visible","Халогеннa крушкa H4 DUML - 100/90W 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Халогеннa крушкa H4 DUML - 100/90W 2бр/к-т
<h4>Характеристики</h4>
<ul>
	
	<li>Работно напрежение: 12V.</li>
	<li>Перфектно осветяващи пътя с максимална видимост за безопастното Ви шофиране.</li>
	<li>Цената е за&nbsp;комплект от 2бр крушки.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Осветление, Осветление > Халогенни крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","922","Халогеннa крушкa H4 DUML - 100/90W 2бр/к-т","Халогеннa крушкa H4 DUML - 100/90W 2бр/к-т. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28721-P","Крушки Маxxx light Т20 12V 21W бели","1","0","visible","Крушки Маxxx light Т20 12V 21W бели. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушки Маxxx light Т20 12V 21W бели
<h4>Характеристики</h4>
<ul>
	
	<li>Тип крушка: халогенна лампа.</li>
	<li>Цвят: хладно бял.</li>
	<li>Тип гнездо: T20</li>
	<li>Напрежение: само 12V.</li>
	<li>Мощност: 21W.</li>
	<li>Цената е за 1 бр.</li>
	<li>В една кутия 10бр крушки</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","10","Осветление, Осветление > Халогенни крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","922","Крушки Маxxx light Т20 12V 21W бели","Крушки Маxxx light Т20 12V 21W бели. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28616-P","Крушки Maxxx Light S25 12V 21W BA15S","1","0","visible","Крушки Maxxx Light S25 12V 21W BA15S. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушки Maxxx Light S25 12V 21W BA15S
<h4>Характеристики</h4>
<ul>
	
	<li>Автомобилна крушка&nbsp;Maxxx Light&nbsp;</li>
	<li>Тип лампа: P21W (S25)</li>
	<li>Основа на лампата: BA15s</li>
	<li>Цвят: бял.</li>
	<li>Напрежение: само 12V.</li>
	<li>Мощност: 21W.</li>
	<li>Цената е за 10 броя крушки&nbsp;в кутия.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Осветление, Осветление > Халогенни крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","922","Крушки Maxxx Light S25 12V 21W BA15S","Крушки Maxxx Light S25 12V 21W BA15S. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28885-P","Крушка Маxxx light - H4 24V 70W","1","0","visible","Крушка Маxxx light - H4 24V 70W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушка Маxxx light - H4 24V 70W
<h4>Характеристики</h4>
<ul>
	
	<li>Тип крушка: H4</li>
	<li>Напрежение: 24V</li>
	<li>Вид цокъл: P43T</li>
	<li>Мощност: 70W</li>
	<li>Цената е за 1бр.</li>
	<li>Продават се на пакет по 10 броя.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Осветление, Осветление > Халогенни крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","922","Крушка Маxxx light - H4 24V 70W","Крушка Маxxx light - H4 24V 70W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28879-P","Крушка Маxxx light - H8 12V 35W","1","0","visible","Крушка Маxxx light - H8 12V 35W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушка Маxxx light - H8 12V 35W
<h4>Характеристики</h4>
<ul>
	
	<li>Цокъл: Н8</li>
	<li>Напрежение: 12V</li>
	<li>Мощност: 35W</li>
	<li>Цената е за 1бр</li>
	<li>Продават се на пакет по 10 броя.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Осветление, Осветление > Халогенни крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","922","Крушка Маxxx light - H8 12V 35W","Крушка Маxxx light - H8 12V 35W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","28881-P","Крушка Маxxx Light - PS 12V 19W","1","0","visible","Крушка Маxxx Light - PS 12V 19W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Крушка Маxxx Light - PS 12V 19W
<h4>Характеристики</h4>
<ul>
	
	<li>Халогенна крушка Маxxx Light PS19W.</li>
	<li>Материал: UV филтър кварцово стъкло.</li>
	<li>Напрежение: 12V</li>
	<li>Мощност: 19W</li>
	<li>Цената е за 1бр</li>
	<li>Продават се на пакет по 10 броя.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","8","Осветление, Осветление > Халогенни крушки","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","922","Крушка Маxxx Light - PS 12V 19W","Крушка Маxxx Light - PS 12V 19W. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
